table_id,row_id,time_period,_b_median_earnings_b_level_1,_b_median_earnings_b_level_2,_b_median_earnings_b_hierarchy_depth,value
11013,r001_1,Automotive service technicians and mechanics,Median earnings,All workers,2,42903
11013,r001_2,Automotive service technicians and mechanics,Median earnings,White,2,45926
11013,r001_3,Automotive service technicians and mechanics,Median earnings,Asian,2,43743
11013,r001_4,Automotive service technicians and mechanics,Median earnings,Black or African American,2,39734
11013,r001_5,Automotive service technicians and mechanics,Median earnings,American Indian or Alaska Native,2,46826
11013,r001_6,Automotive service technicians and mechanics,Median earnings,Other race alone or in combination,2,39940
11013,r001_7,Automotive service technicians and mechanics,Median earnings,Hispanic,2,38744
11013,r002_1,Carpenters,Median earnings,All workers,2,41576
11013,r002_2,Carpenters,Median earnings,White,2,44997
11013,r002_3,Carpenters,Median earnings,Asian,2,46089
11013,r002_4,Carpenters,Median earnings,Black or African American,2,34594
11013,r002_5,Carpenters,Median earnings,American Indian or Alaska Native,2,39771
11013,r002_6,Carpenters,Median earnings,Other race alone or in combination,2,39959
11013,r002_7,Carpenters,Median earnings,Hispanic,2,39551
11013,r003_1,Computer and information systems managers,Median earnings,All workers,2,119581
11013,r003_2,Computer and information systems managers,Median earnings,White,2,119593
11013,r003_3,Computer and information systems managers,Median earnings,Asian,2,144788
11013,r003_4,Computer and information systems managers,Median earnings,Black or African American,2,97287
11013,r003_5,Computer and information systems managers,Median earnings,American Indian or Alaska Native,2,105250
11013,r003_6,Computer and information systems managers,Median earnings,Other race alone or in combination,2,108446
11013,r003_7,Computer and information systems managers,Median earnings,Hispanic,2,99159
11013,r004_1,"Computer occupations, all other",Median earnings,All workers,2,72981
11013,r004_2,"Computer occupations, all other",Median earnings,White,2,73378
11013,r004_3,"Computer occupations, all other",Median earnings,Asian,2,94438
11013,r004_4,"Computer occupations, all other",Median earnings,Black or African American,2,64959
11013,r004_5,"Computer occupations, all other",Median earnings,American Indian or Alaska Native,2,46596
11013,r004_6,"Computer occupations, all other",Median earnings,Other race alone or in combination,2,71719
11013,r004_7,"Computer occupations, all other",Median earnings,Hispanic,2,59331
11013,r005_1,Computer support specialists,Median earnings,All workers,2,59968
11013,r005_2,Computer support specialists,Median earnings,White,2,60825
11013,r005_3,Computer support specialists,Median earnings,Asian,2,87389
11013,r005_4,Computer support specialists,Median earnings,Black or African American,2,52270
11013,r005_5,Computer support specialists,Median earnings,American Indian or Alaska Native,2,39742
11013,r005_6,Computer support specialists,Median earnings,Other race alone or in combination,2,59329
11013,r005_7,Computer support specialists,Median earnings,Hispanic,2,54622
