table_id,row_id,primary_source_of_support_and_sex_full_path,primary_source_of_support_and_sex_level_1,primary_source_of_support_and_sex_level_2,primary_source_of_support_and_sex_level_3,primary_source_of_support_and_sex_level_4,primary_source_of_support_and_sex_level_5,primary_source_of_support_and_sex_hierarchy_depth,field_all_s_e,field_sciencea_all_science,field_sciencea_agricultural_sciences_and_natural_resources,field_sciencea_biological_and_biomedical_sciences,field_sciencea_computer_and_information_sciences,field_sciencea_geosciences_atmospheric_sciences_and_ocean_sciences,field_sciencea_health_sciencesb,field_sciencea_mathematics_and_statistics,field_sciencea_physical_sciences_and_earth_sciences,field_sciencea_psychology,field_sciencea_social_sciences,field_engineering
3287,r001,All recipients (number)<sup>c</sup>,All recipients (number)<sup>c</sup>,,,,,1,126169,104993,3982,31163,3900,3866,8911,4762,18536,16478,17261,21176
3287,r002,All recipients (number)<sup>c</sup> -> All sources,All recipients (number)<sup>c</sup>,All sources,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3287,r003,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,,,3,13.8,15.26,10.1,7.14,13.77,5.74,33.73,5.59,3.88,31.17,21.63,6.52
3287,r004,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds -> Loans,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,Loans,,4,6.42,7.39,3.57,2.08,3.77,1.99,16.99,1.22,1.08,19.75,10.42,1.58
3287,r005,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds -> Savings,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,Savings,,4,1.18,1.19,0.98,0.71,2.15,0.72,3.3,0.73,0.35,1.41,1.64,1.12
3287,r006,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds -> Other earnings in graduate school,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,Other earnings in graduate school,,4,2.91,3.02,3.19,1.66,5.62,1.89,8.01,1.51,0.97,3.05,4.89,2.36
3287,r007,All recipients (number)<sup>c</sup> -> All sources -> Personal or family funds -> Other family earnings or savings,All recipients (number)<sup>c</sup>,All sources,Personal or family funds,Other family earnings or savings,,4,3.29,3.65,2.36,2.7,2.23,1.14,5.43,2.12,1.48,6.95,4.69,1.46
3287,r008,All recipients (number)<sup>c</sup> -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,All sources,Teaching assistantship,,,3,16.9,18.97,11.45,11.42,10.28,16.3,10.2,54.37,21.02,19.33,28.5,6.66
3287,r009,"All recipients (number)<sup>c</sup> -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,All sources,"Research assistantship, traineeship, or internship",,,3,29.64,26.96,42.37,30.32,40.05,39.45,18.03,13.25,44.18,19.1,11.76,42.95
3287,r010,"All recipients (number)<sup>c</sup> -> All sources -> Research assistantship, traineeship, or internship -> Research assistantship",All recipients (number)<sup>c</sup>,All sources,"Research assistantship, traineeship, or internship",Research assistantship,,4,26.78,23.81,40.81,24.99,38.82,38.54,14.07,12.2,43.37,14.46,10.49,41.53
3287,r011,"All recipients (number)<sup>c</sup> -> All sources -> Research assistantship, traineeship, or internship -> Traineeship, internship or clinical residency, other assistantship",All recipients (number)<sup>c</sup>,All sources,"Research assistantship, traineeship, or internship","Traineeship, internship or clinical residency, other assistantship",,4,2.86,3.15,1.56,5.33,1.23,0.91,3.96,1.05,0.81,4.64,1.27,1.42
3287,r012,"All recipients (number)<sup>c</sup> -> All sources -> Fellowship, scholarship, or grant",All recipients (number)<sup>c</sup>,All sources,"Fellowship, scholarship, or grant",,,3,28.96,28.72,23.68,43.42,20.67,31.4,21.75,17.6,23.8,17.14,28.15,30.18
