table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
7965,r001,All institutions,All institutions,,1,-,"['49,143,460', '']","['7,363,495', '']","['2,218,358', '']","['27,532,379', '']","['1,768,703', '']","['5,410,561', '']","['1,302,288', '']","['3,547,676', '']"
7965,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['2,774,643', '']","['1,459,350', '']","['11,697', '']","['722,250', '']","['368,276', '']","['36,823', '']","['1,284', '']","['174,963', '']"
7965,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['1,046,377', '']","['100,320', '']","['37,322', '']","['694,428', '']","['20,873', '']","['115,139', '']","['7,815', '']","['70,480', '']"
7965,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['891,125', '']","['78,334', '']","['42,146', '']","['608,464', '']","['27,565', '']","['97,499', '']","['1,988', '']","['35,129', '']"
7965,r005,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,4,"['852,319', '']","['626,448', '']","['20,533', '']","['50,559', '']","['12,063', '']","['60,036', '']","['1,402', '']","['81,278', '']"
7965,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['831,648', '']","['49,219', '']","['21,961', '']","['642,785', '']","['20,968', '']","['89,066', '']","['71', '']","['7,578', '']"
7965,r007,All institutions -> Stanford U.,All institutions,Stanford U.,2,6,"['811,183', '']","['76,467', '']","['28,660', '']","['599,239', '']","['18,233', '']","['79,576', '']","['444', '']","['8,564', '']"
7965,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['801,117', '']","['79,587', '']","['24,307', '']","['446,030', '']","['10,171', '']","['90,861', '']","['1,472', '']","['148,689', '']"
7965,r009,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,8,"['792,089', '']","['51,902', '']","['10,770', '']","['663,458', '']","['4,250', '']","['47,054', '']","['1,014', '']","['13,641', '']"
7965,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,"['776,632', '']","['61,602', '']","['16,169', '']","['634,171', '']","['2,454', '']","['33,567', '']","['512', '']","['28,157', '']"
7965,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['747,895', '']","['24,324', '']","['7,609', '']","['603,949', '']","['1,868', '']","['40,150', '']","['2,659', '']","['67,336', '']"
7965,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['724,993', '']","['45,446', '']","['10,401', '']","['623,521', '']","['1,951', '']","['29,667', '']","['92', '']","['13,915', '']"
7965,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,"['721,043', '']","['50,437', '']","['38,905', '']","['529,539', '']","['26,042', '']","['59,959', '']","['400', '']","['15,761', '']"
7965,r014,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,13,"['713,283', '']","['116,368', '']","['22,459', '']","['345,707', '']","['70,478', '']","['54,776', '']","['23,512', '']","['79,983', '']"
7965,r015,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,14,"['683,179', '']","['37,403', '']","['764', '']","['630,137', '']","['582', '']","['9,402', '']","['0', '']","['4,891', '']"
7965,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,"['647,656', '']","['27,839', '']","['10,818', '']","['562,251', '']","['3,577', '']","['31,835', '']","['633', '']","['10,703', '']"
7965,r017,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,16,"['646,764', '']","['33,479', '']","['75,231', '']","['374,530', '']","['11,307', '']","['90,800', '']","['26,285', '']","['35,132', '']"
7965,r018,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,17,"['622,532', '']","['263,661', '']","['36,453', '']","['149,293', '']","['15,518', '']","['68,873', '']","['32,604', '']","['56,130', '']"
7965,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,18,"['616,589', '']","['72,042', '']","['16,476', '']","['456,919', '']","['8,549', '']","['47,086', '']","['175', '']","['15,342', '']"
7965,r020,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,19,"['606,127', '']","['21,588', '']","['6,708', '']","['547,520', '']","['8,814', '']","['19,938', '']","['481', '']","['1,078', '']"
7965,r021,All institutions -> Cornell U.,All institutions,Cornell U.,2,20,"['592,359', '']","['49,165', '']","['21,928', '']","['350,981', '']","['7,536', '']","['110,332', '']","['37,981', '']","['14,436', '']"
7965,r022,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,21,"['586,880', '']","['34,170', '']","['11,471', '']","['497,479', '']","['2,346', '']","['25,555', '']","['879', '']","['14,980', '']"
7965,r023,All institutions -> U. Southern California,All institutions,U. Southern California,2,22,"['574,185', '']","['126,122', '']","['9,045', '']","['367,995', '']","['3,338', '']","['49,721', '']","['52', '']","['17,912', '']"
