table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_design_number,field_research_and_development_design_se,field_research_and_development_development_number,field_research_and_development_development_se,field_total_number,field_total_se,field_computer_applications_number,field_computer_applications_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
3696,r001,Doctorate recipient,Doctorate recipient,,,,1,857200,1975,351000,1975,168650,1775,92700,1700,24050,975,65600,1400,506250,2300,44450,950,165400,2025,97050,1625,161000,1700,38300,975
3696,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,546050,1750,242850,1725,110700,1425,63300,1450,19350,850,49500,1275,303150,2100,37650,875,104100,1625,47200,1300,93000,1575,21250,800
3696,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,311200,1200,108100,1125,57950,925,29400,675,4700,375,16050,575,203050,1350,6800,400,61300,1075,49850,925,68050,1075,17050,550
3696,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>c</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>c</sup>,,3,37250,550,14200,400,7250,300,3800,225,900,125,2250,150,23050,500,1100,125,6900,325,4900,250,8200,350,1900,150
3696,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,,3,,,,,,,,,,,,,,,,,,,,,,,,
3696,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,American Indian or Alaska Native,4,1300,125,400,75,200,50,150,50,50,25,50,25,900,100,,,250,50,250,75,300,75,50,50
3696,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Asian,4,213350,1325,112800,1225,46400,1075,28550,950,9100,575,28750,950,100550,1300,21600,750,33650,875,14650,725,22500,825,8150,425
3696,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Black or African American,4,31100,400,8850,300,5300,275,1800,175,400,75,1400,125,22200,425,500,75,7200,325,3950,300,8850,325,1700,150
