table_id,row_id,time_period,gdp_level_1,gdp_level_2,gdp_level_3,gdp_hierarchy_depth,value
5930,r001,1953,GDP,Current $billions,,2,389.2
5930,r002,1953,GDP,Constant 2012 $billions,,2,2695.6
5930,r003,1953,GDP,Deflatora (2012 = 1.00000),,2,0.14438
5930,r004,1953,Total R&D,Current $billions,,2,5.2
5930,r005,1953,Total R&D,Constant 2012 $billions,,2,35.7
5930,r006,1953,R&D/ GDP (%),Total,,2,1.33
5930,r007,1953,R&D/ GDP (%),"R&D, by performer",Business,3,0.93
5930,r008,1953,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.29
5930,r009,1953,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.07
5930,r010,1953,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.03
5930,r011,1953,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.58
5930,r012,1953,R&D/ GDP (%),"R&D, by source of funding",Federal,3,0.71
5930,r013,1953,R&D/ GDP (%),"R&D, by source of funding",Otherd,3,0.03
5930,r014,1954,GDP,Current $billions,,2,390.5
5930,r015,1954,GDP,Constant 2012 $billions,,2,2680.0
5930,r016,1954,GDP,Deflatora (2012 = 1.00000),,2,0.14571
5930,r017,1954,Total R&D,Current $billions,,2,5.6
5930,r018,1954,Total R&D,Constant 2012 $billions,,2,38.6
5930,r019,1954,R&D/ GDP (%),Total,,2,1.44
5930,r020,1954,R&D/ GDP (%),"R&D, by performer",Business,3,1.04
5930,r021,1954,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.29
5930,r022,1954,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.08
5930,r023,1954,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.03
5930,r024,1954,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.61
5930,r025,1954,R&D/ GDP (%),"R&D, by source of funding",Federal,3,0.79
5930,r026,1954,R&D/ GDP (%),"R&D, by source of funding",Otherd,3,0.04
5930,r027,1955,GDP,Current $billions,,2,425.5
5930,r028,1955,GDP,Constant 2012 $billions,,2,2871.2
5930,r029,1955,GDP,Deflatora (2012 = 1.00000),,2,0.1482
5930,r030,1955,Total R&D,Current $billions,,2,6.2
5930,r031,1955,Total R&D,Constant 2012 $billions,,2,41.7
5930,r032,1955,R&D/ GDP (%),Total,,2,1.45
5930,r033,1955,R&D/ GDP (%),"R&D, by performer",Business,3,1.04
5930,r034,1955,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.3
5930,r035,1955,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.08
5930,r036,1955,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.03
5930,r037,1955,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.59
5930,r038,1955,R&D/ GDP (%),"R&D, by source of funding",Federal,3,0.82
5930,r039,1955,R&D/ GDP (%),"R&D, by source of funding",Otherd,3,0.04
5930,r040,1956,GDP,Current $billions,,2,449.4
5930,r041,1956,GDP,Constant 2012 $billions,,2,2932.4
5930,r042,1956,GDP,Deflatora (2012 = 1.00000),,2,0.15325
5930,r043,1956,Total R&D,Current $billions,,2,8.5
5930,r044,1956,Total R&D,Constant 2012 $billions,,2,55.5
5930,r045,1956,R&D/ GDP (%),Total,,2,1.89
5930,r046,1956,R&D/ GDP (%),"R&D, by performer",Business,3,1.4
5930,r047,1956,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.38
5930,r048,1956,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.09
5930,r049,1956,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.03
5930,r050,1956,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.74
5930,r051,1956,R&D/ GDP (%),"R&D, by source of funding",Federal,3,1.11
5930,r052,1956,R&D/ GDP (%),"R&D, by source of funding",Otherd,3,0.04
5930,r053,1957,GDP,Current $billions,,2,474.0
5930,r054,1957,GDP,Constant 2012 $billions,,2,2994.1
5930,r055,1957,GDP,Deflatora (2012 = 1.00000),,2,0.15831
5930,r056,1957,Total R&D,Current $billions,,2,9.9
5930,r057,1957,Total R&D,Constant 2012 $billions,,2,62.6
5930,r058,1957,R&D/ GDP (%),Total,,2,2.09
5930,r059,1957,R&D/ GDP (%),"R&D, by performer",Business,3,1.55
5930,r060,1957,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.42
5930,r061,1957,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.09
5930,r062,1957,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.04
5930,r063,1957,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.73
5930,r064,1957,R&D/ GDP (%),"R&D, by source of funding",Federal,3,1.31
5930,r065,1957,R&D/ GDP (%),"R&D, by source of funding",Otherd,3,0.04
5930,r066,1958,GDP,Current $billions,,2,481.2
5930,r067,1958,GDP,Constant 2012 $billions,,2,2972.0
5930,r068,1958,GDP,Deflatora (2012 = 1.00000),,2,0.16191
5930,r069,1958,Total R&D,Current $billions,,2,10.9
5930,r070,1958,Total R&D,Constant 2012 $billions,,2,67.4
5930,r071,1958,R&D/ GDP (%),Total,,2,2.27
5930,r072,1958,R&D/ GDP (%),"R&D, by performer",Business,3,1.68
5930,r073,1958,R&D/ GDP (%),"R&D, by performer",Federalb,3,0.45
5930,r074,1958,R&D/ GDP (%),"R&D, by performer",Higher education,3,0.1
5930,r075,1958,R&D/ GDP (%),"R&D, by performer",Otherc,3,0.04
5930,r076,1958,R&D/ GDP (%),"R&D, by source of funding",Business,3,0.77
