table_id,row_id,country_or_economy_full_path,country_or_economy_level_1,country_or_economy_level_2,country_or_economy_level_3,country_or_economy_hierarchy_depth,field_rank,field_doctorate_recipients
970,r001,All temporary visa holders (160 countries or economies)<sup>a</sup>,All temporary visa holders (160 countries or economies)<sup>a</sup>,,,1,-,16181
970,r002,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,,2,-,14980
970,r003,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> China<sup>b</sup>,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,China<sup>b</sup>,3,1,5564
970,r004,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> India ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,India ,3,2,1974
970,r005,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> South Korea ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,South Korea ,3,3,1126
970,r006,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Iran ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Iran ,3,4,771
970,r007,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Taiwan ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Taiwan ,3,5,520
970,r008,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Turkey ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Turkey ,3,6,498
970,r009,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Canada ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Canada ,3,7,408
970,r010,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Saudi Arabia ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Saudi Arabia ,3,8,340
970,r011,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Bangladesh ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Bangladesh ,3,9,238
970,r012,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Nepal ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Nepal ,3,10,223
970,r013,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Colombia ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Colombia ,3,11,190
970,r014,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Mexico ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Mexico ,3,12,180
970,r015,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Thailand ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Thailand ,3,13,172
970,r016,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Brazil,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Brazil,3,14,167
