table_id,row_id,state_or_location,rank,doctorate_recipients
945,r001,California,1,6105
945,r002,Texas,2,4068
945,r003,New York,3,4064
945,r004,Massachusetts,4,2879
945,r005,Pennsylvania,5,2628
945,r006,Illinois,6,2534
945,r007,Florida,7,2336
945,r008,Ohio,8,2028
945,r009,Michigan,9,1906
945,r010,North Carolina,10,1833
945,r011,Indiana,11,1572
945,r012,Virginia,12,1513
945,r013,Georgia,13,1492
945,r014,Minnesota,14,1374
945,r015,Maryland,15,1295
945,r016,Wisconsin,16,1130
945,r017,New Jersey,17,1115
945,r018,Tennessee,18,1032
945,r019,Missouri,19,1022
945,r020,Colorado,20,1005
945,r021,Washington,21,914
945,r022,Arizona,22,801
945,r023,Connecticut,23,748
945,r024,Iowa,24,715
945,r025,Alabama,25,707
945,r026,District of Columbia,26,623
945,r027,Louisiana,27,607
945,r028,Oregon,28,572
945,r029,Kansas,29,530
945,r030,Oklahoma,30,524
945,r031,Utah,31,508
945,r032,South Carolina,32,506
945,r033,Kentucky,33,497
945,r034,Mississippi,34,460
945,r035,Nebraska,35,363
945,r036,Rhode Island,36,322
945,r037,New Mexico,37,299
945,r038,Delaware,38,238
945,r039,Arkansas,39,202
945,r040,Nevada,40,200
945,r041,Hawaii,41,189
945,r042,West Virginia,42,183
945,r043,North Dakota,43,181
945,r044,New Hampshire,44,158
945,r045,Montana,45,119
945,r046,South Dakota,46,110
945,r047,Idaho,47,103
945,r048,Wyoming,48,101
945,r049,Puerto Rico,49,84
945,r050,Vermont,50,61
945,r051,Maine,51,56
945,r052,Alaska,52,52
