table_id,row_id,field_and_primary_source_of_support_full_path,field_and_primary_source_of_support_level_1,field_and_primary_source_of_support_level_2,field_and_primary_source_of_support_level_3,field_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
2832,r001,All fields (number),All fields (number),,,1,49291,26755,22535,32362,16749,2590,101,3167,2215,22821,1074,265,129
2832,r002,All fields (number) -> Teaching assistantships,All fields (number),Teaching assistantships,,2,21.4,21.4,21.2,20.2,23.5,19.2,11.9,19.0,12.1,21.5,18.1,18.9,18.6
2832,r003,All fields (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Research assistantships or traineeships<sup>b</sup>,,2,33.4,38.7,27.1,26.8,46.2,19.1,12.9,34.4,14.5,28.0,24.6,21.5,25.6
2832,r004,"All fields (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),"Fellowships, scholarships, or dissertation grants",,2,24.8,23.0,26.9,27.5,19.6,35.9,45.5,31.6,26.1,25.6,34.3,30.6,25.6
2832,r005,All fields (number) -> Own resources,All fields (number),Own resources,,2,15.2,11.4,19.8,21.1,3.9,22.5,23.8,11.6,41.8,20.2,20.0,21.9,23.3
2832,r006,All fields (number) -> Employer,All fields (number),Employer,,2,2.7,2.6,2.9,3.9,0.6,2.5,5.0,2.9,4.7,4.1,2.9,4.5,7.0
2832,r007,All fields (number) -> Other,All fields (number),Other,,2,2.5,2.9,2.0,0.6,6.2,0.9,1.0,0.5,0.7,0.6,0.2,2.6,0.0
2832,r008,All fields (number) -> Life sciences (number)<sup>c</sup>,All fields (number),Life sciences (number)<sup>c</sup>,,2,11581,5258,6323,8434,3117,715,23,968,496,5856,286,59,31
2832,r009,All fields (number) -> Life sciences (number)<sup>c</sup> -> Teaching assistantships,All fields (number),Life sciences (number)<sup>c</sup>,Teaching assistantships,3,13.0,13.8,12.4,12.4,14.9,11.5,,,9.3,13.4,10.1,6.8,6.5
2832,r010,All fields (number) -> Life sciences (number)<sup>c</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Life sciences (number)<sup>c</sup>,Research assistantships or traineeships<sup>b</sup>,3,37.1,39.7,34.8,33.6,46.3,24.3,26.1,36.0,23.6,35.4,33.2,30.5,22.6
2832,r011,"All fields (number) -> Life sciences (number)<sup>c</sup> -> Fellowships, scholarships, or dissertation grants",All fields (number),Life sciences (number)<sup>c</sup>,"Fellowships, scholarships, or dissertation grants",3,33.0,32.5,33.3,35.6,25.9,48.4,39.1,39.8,35.3,33.0,40.6,45.8,35.5
2832,r012,All fields (number) -> Life sciences (number)<sup>c</sup> -> Own resources,All fields (number),Life sciences (number)<sup>c</sup>,Own resources,3,11.5,8.6,13.8,14.5,3.2,13.4,,,27.8,14.2,13.3,11.9,19.4
2832,r013,All fields (number) -> Life sciences (number)<sup>c</sup> -> Employer,All fields (number),Life sciences (number)<sup>c</sup>,Employer,3,2.6,2.3,2.9,3.3,0.8,1.7,,,3.0,3.5,2.1,3.4,16.1
2832,r014,All fields (number) -> Life sciences (number)<sup>c</sup> -> Other,All fields (number),Life sciences (number)<sup>c</sup>,Other,3,2.9,3.1,2.7,0.6,9.0,0.7,0.0,0.6,1.0,0.5,0.7,1.7,0.0
