table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_physical_sciences,field_2023_astronomy_and_astrophysics,field_2023_chemistry,field_2023_materials_science,field_2023_physics,field_2023_physical_sciences_nec
12696,r001,All institutions,All institutions,,1,-,"['3,789,953', '']","['3,846,606', '']","['4,211,858', '']","['4,621,763', '']","['659,781', '']","['1,413,489', '']","['205,797', '']","['2,123,118', '']","['219,578', '']"
12696,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['372,067', '']","['321,641', '']","['300,741', '']","['318,657', '']","['20,704', '']","['25,138', '']","['3,130', '']","['248,916', '']","['20,769', '']"
12696,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['178,896', '']","['160,456', '']","['181,341', '']","['160,855', '']","['51,376', '']","['22,744', '']","['0', '']","['81,849', '']","['4,886', '']"
12696,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['84,023', '']","['90,707', '']","['134,927', '']","['157,546', '']","['118,279', '']","['27,813', '']","['0', '']","['7,112', '']","['4,342', '']"
12696,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['100,092', '']","['122,143', '']","['133,138', '']","['154,210', '']","['65', '']","['9,393', '']","['0', '']","['144,752', '']","['0', '']"
12696,r006,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,5,"['106,414', '']","['111,234', '']","['127,772', '']","['146,786', '']","['58,334', '']","['9,936', '']","['0', '']","['71,502', '']","['7,014', '']"
12696,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['105,097', '']","['114,108', '']","['127,635', '']","['132,434', '']","['33,267', '']","['23,384', '']","['3,788', '']","['56,056', '']","['15,939', '']"
12696,r008,All institutions -> U. Rochester,All institutions,U. Rochester,2,7,"['94,572', '']","['92,680', '']","['103,745', '']","['117,139', '']","['0', '']","['6,196', '']","['0', '']","['110,943', '']","['0', '']"
12696,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['96,374', '']","['93,608', '']","['94,346', '']","['105,708', '']","['9,890', '']","['21,632', '']","['1,980', '']","['42,061', '']","['30,145', '']"
12696,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['81,584', '']","['83,425', '']","['86,830', '']","['102,096', '']","['45,793', '']","['6,534', '']","['7,215', '']","['33,004', '']","['9,550', '']"
