table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_innovation_r_d_activity_number_yes,field_innovation_r_d_activity_number_no,field_innovation_r_d_activity_percent_yes,field_innovation_r_d_activity_percent_no
7431,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['530,124', '&nbsp;']","['165,871', '&nbsp;']","['364,253', '&nbsp;']","['31.3', '&nbsp;']","['68.7', '&nbsp;']"
7431,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7431,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['440,438', '&nbsp;']","['138,428', '&nbsp;']","['302,010', '&nbsp;']","['31.4', '&nbsp;']","['68.6', '&nbsp;']"
7431,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['68,345', '&nbsp;']","['19,344', '&nbsp;']","['49,001', '&nbsp;']","['28.3', '&nbsp;']","['71.7', '&nbsp;']"
7431,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['12,780', '&nbsp;']","['3,838', '&nbsp;']","['8,942', '&nbsp;']","['30.0', '&nbsp;']","['70.0', '&nbsp;']"
7431,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['2,250', '&nbsp;']","['807', '&nbsp;']","['1,443', '&nbsp;']","['35.9', '&nbsp;']","['64.1', '&nbsp;']"
7431,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['776', '&nbsp;']","['201', '&nbsp;']","['575', '&nbsp;']","['25.9', '&nbsp;']","['74.1', '&nbsp;']"
7431,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7431,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['37,848', '&nbsp;']","['10,111', '&nbsp;']","['27,737', '&nbsp;']","['26.7', '&nbsp;']","['73.3', '&nbsp;']"
7431,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['5,657', '&nbsp;']","['1,830', '&nbsp;']","['3,827', '&nbsp;']","['32.3', '&nbsp;']","['67.7', '&nbsp;']"
7431,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['481,240', '&nbsp;']","['150,656', '&nbsp;']","['330,584', '&nbsp;']","['31.3', '&nbsp;']","['68.7', '&nbsp;']"
7431,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7431,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['119,938', '&nbsp;']","['33,759', '&nbsp;']","['86,179', '&nbsp;']","['28.1', '&nbsp;']","['71.9', '&nbsp;']"
7431,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['51,304', '&nbsp;']","['14,315', '&nbsp;']","['36,989', '&nbsp;']","['27.9', '&nbsp;']","['72.1', '&nbsp;']"
7431,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['11,342', '&nbsp;']","['3,400', '&nbsp;']","['7,942', '&nbsp;']","['30.0', '&nbsp;']","['70.0', '&nbsp;']"
7431,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['393,466', '&nbsp;']","['125,440', '&nbsp;']","['268,026', '&nbsp;']","['31.9', '&nbsp;']","['68.1', '&nbsp;']"
7431,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['5,380', '&nbsp;']","['3,273', '&nbsp;']","['2,107', '&nbsp;']","['60.8', '&nbsp;']","['39.2', '&nbsp;']"
