table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3833,r001,Number of early career doctorates for whom the item was applicable (denominator),Number of early career doctorates for whom the item was applicable (denominator),,,,,1,184100,176500,176500,177700,170600,91100,164900,160900,168600,182700,96200
3833,r002,Number of early career doctorates for whom the item was applicable (denominator) -> Percentage of early career doctorates,Number of early career doctorates for whom the item was applicable (denominator),Percentage of early career doctorates,,,,2,87.2,77.2,73.4,80.8,84.1,57.4,79.8,65.2,72.0,77.3,41.8
3833,r003,Number of early career doctorates for whom the item was applicable (denominator) -> Doctoral degree type,Number of early career doctorates for whom the item was applicable (denominator),Doctoral degree type,,,,2,,,,,,,,,,,
3833,r004,Number of early career doctorates for whom the item was applicable (denominator) -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>a</sup>,Number of early career doctorates for whom the item was applicable (denominator),Doctoral degree type,Professional degree or doctoral equivalent<sup>a</sup>,,,3,88.8,67.8,62.5,69.6,87.0,72.0,87.9,56.3,60.0,82.7,42.2
3833,r005,Number of early career doctorates for whom the item was applicable (denominator) -> Doctoral degree type -> Research degree,Number of early career doctorates for whom the item was applicable (denominator),Doctoral degree type,Research degree,,,3,87.1,78.0,74.3,81.7,83.8,55.2,79.1,65.9,73.0,76.8,41.7
3833,r006,Number of early career doctorates for whom the item was applicable (denominator) -> Years since doctoral degree,Number of early career doctorates for whom the item was applicable (denominator),Years since doctoral degree,,,,2,,,,,,,,,,,
3833,r007,Number of early career doctorates for whom the item was applicable (denominator) -> Years since doctoral degree -> 1 year or less,Number of early career doctorates for whom the item was applicable (denominator),Years since doctoral degree,1 year or less,,,3,89.2,79.5,73.9,80.1,73.9,52.6,75.7,60.9,73.1,78.3,43.7
3833,r008,Number of early career doctorates for whom the item was applicable (denominator) -> Years since doctoral degree -> 2&#8211;5 years,Number of early career doctorates for whom the item was applicable (denominator),Years since doctoral degree,2&#8211;5 years,,,3,86.9,76.6,72.2,80.4,83.5,57.1,78.0,64.1,71.5,76.6,40.5
3833,r009,Number of early career doctorates for whom the item was applicable (denominator) -> Years since doctoral degree -> 6&#8211;10 years,Number of early career doctorates for whom the item was applicable (denominator),Years since doctoral degree,6&#8211;10 years,,,3,86.6,76.7,74.6,81.7,90.0,60.3,84.3,68.8,72.1,77.5,42.2
3833,r010,Number of early career doctorates for whom the item was applicable (denominator) -> Origin of doctoral degree,Number of early career doctorates for whom the item was applicable (denominator),Origin of doctoral degree,,,,2,,,,,,,,,,,
3833,r011,Number of early career doctorates for whom the item was applicable (denominator) -> Origin of doctoral degree -> U.S. degree,Number of early career doctorates for whom the item was applicable (denominator),Origin of doctoral degree,U.S. degree,,,3,86.7,76.5,73.0,81.2,87.2,58.8,80.5,65.4,70.9,76.8,41.6
3833,r012,Number of early career doctorates for whom the item was applicable (denominator) -> Origin of doctoral degree -> Non-U.S. degree,Number of early career doctorates for whom the item was applicable (denominator),Origin of doctoral degree,Non-U.S. degree,,,3,90.5,81.8,75.7,78.5,60.4,45.6,75.8,64.2,78.9,80.5,43.0
3833,r013,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,,,,2,,,,,,,,,,,
3833,r014,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,,,3,88.4,81.0,75.4,81.6,78.2,51.6,80.5,68.7,77.4,79.3,43.3
