table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total,field_r_d,field_r_d_plant,field_total_by_performers_intramural_performers,field_total_by_performers_percentage_of_total,field_total_by_performers_extramural_performers,field_total_by_performers_percentage_of_total
10943,r001,All agencies,All agencies,,1,196595,190422,6173,90694,46.1,105903,53.9
10943,r002,All agencies -> Department of Defense ,All agencies,Department of Defense ,2,72608,72352,256,29899,41.2,42709,58.8
10943,r003,All agencies -> Department of Health and Human Services ,All agencies,Department of Health and Human Services ,2,74388,74097,291,35442,47.6,38946,52.4
10943,r004,All agencies -> Department of Energy ,All agencies,Department of Energy ,2,17977,13697,4280,13156,73.2,4821,26.8
10943,r005,All agencies -> National Aeronautics and Space Administration ,All agencies,National Aeronautics and Space Administration ,2,11750,11623,127,4053,34.5,7697,65.5
10943,r006,All agencies -> National Science Foundation ,All agencies,National Science Foundation ,2,7425,6896,529,425,5.7,7000,94.3
10943,r007,All agencies -> Department of Commerce ,All agencies,Department of Commerce ,2,2390,2011,379,1820,76.2,570,23.8
10943,r008,All agencies -> Department of Agriculture ,All agencies,Department of Agriculture ,2,3314,3135,179,2024,61.1,1290,38.9
10943,r009,All agencies -> Department of Veterans Affairs ,All agencies,Department of Veterans Affairs ,2,1696,1696,0,1696,100.0,0,0.0
10943,r010,All agencies -> Department of Transportation ,All agencies,Department of Transportation ,2,1111,1073,38,291,26.2,819,73.8
10943,r011,All agencies -> Department of the Interior ,All agencies,Department of the Interior ,2,947,940,7,835,88.3,111,11.7
10943,r012,All agencies -> Department of Homeland Security ,All agencies,Department of Homeland Security ,2,582,571,11,280,48.2,301,51.8
10943,r013,All agencies -> Environmental Protection Agency ,All agencies,Environmental Protection Agency ,2,531,525,6,274,51.6,257,48.4
10943,r014,All agencies -> Patient-Centered Outcomes Research Trust Fund ,All agencies,Patient-Centered Outcomes Research Trust Fund ,2,522,522,0,0,0.0,522,100.0
10943,r015,All agencies -> Department of Education ,All agencies,Department of Education ,2,402,402,0,0,0.0,401,100.0
10943,r016,All agencies -> Smithsonian Institution ,All agencies,Smithsonian Institution ,2,297,227,70,297,100.0,0,0.0
10943,r017,All agencies -> Agency for International Development ,All agencies,Agency for International Development ,2,221,221,0,23,10.5,197,89.5
10943,r018,All agencies -> Department of Justice ,All agencies,Department of Justice ,2,111,111,0,8,7.2,103,92.8
10943,r019,All agencies -> Social Security Administration ,All agencies,Social Security Administration ,2,79,79,0,47,59.5,32,40.5
10943,r020,All agencies -> All other agencies,All agencies,All other agencies,2,244,244,0,123,49.0,128,51.0
