table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nasa_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12711,r001,All institutions,All institutions,,1,-,"['2,295,593', '']","['30,726', '']","['538,770', '']","['91,364', '']","['101,103', '']","['769,296', '']","['16,442', '']","['15,219', '']","['7,513', '']","['713,488', '']","['11,672', '']"
12711,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['515,047', '']","['11,481', '']","['39,163', '']","['1,800', '']","['95,859', '']","['68,429', '']","['0', '']","['0', '']","['272', '']","['298,043', '']","['0', '']"
12711,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['166,802', '']","['220', '']","['35,642', '']","['418', '']","['82', '']","['67,605', '']","['0', '']","['0', '']","['284', '']","['62,547', '']","['4', '']"
12711,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['100,825', '']","['0', '']","['1,076', '']","['795', '']","['0', '']","['94,976', '']","['0', '']","['28', '']","['1,816', '']","['2,134', '']","['0', '']"
12711,r005,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,4,"['83,337', '']","['735', '']","['26,425', '']","['1,073', '']","['0', '']","['46,937', '']","['0', '']","['5,722', '']","['0', '']","['2,445', '']","['0', '']"
12711,r006,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,5,"['72,312', '']","['0', '']","['16,671', '']","['671', '']","['0', '']","['54,158', '']","['0', '']","['6', '']","['0', '']","['806', '']","['0', '']"
12711,r007,All institutions -> U. Arizona,All institutions,U. Arizona,2,6,"['70,176', '']","['0', '']","['2,050', '']","['704', '']","['0', '']","['62,937', '']","['0', '']","['625', '']","['0', '']","['3,860', '']","['0', '']"
12711,r008,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,7,"['64,820', '']","['99', '']","['63,914', '']","['99', '']","['0', '']","['235', '']","['0', '']","['0', '']","['0', '']","['160', '']","['313', '']"
12711,r009,All institutions -> U. Iowa,All institutions,U. Iowa,2,8,"['49,232', '']","['0', '']","['0', '']","['0', '']","['0', '']","['47,632', '']","['0', '']","['156', '']","['0', '']","['1,444', '']","['0', '']"
12711,r010,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,9,"['43,106', '']","['0', '']","['35,671', '']","['682', '']","['0', '']","['838', '']","['0', '']","['2,610', '']","['0', '']","['3,297', '']","['8', '']"
12711,r011,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,10,"['42,341', '']","['698', '']","['26,010', '']","['23', '']","['0', '']","['15,582', '']","['0', '']","['0', '']","['0', '']","['20', '']","['8', '']"
12711,r012,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,11,"['38,045', '']","['104', '']","['5,221', '']","['0', '']","['64', '']","['19,579', '']","['0', '']","['0', '']","['611', '']","['12,411', '']","['55', '']"
12711,r013,All institutions -> Utah State U.,All institutions,Utah State U.,2,12,"['37,647', '']","['0', '']","['0', '']","['925', '']","['0', '']","['1,160', '']","['0', '']","['0', '']","['0', '']","['35,562', '']","['0', '']"
12711,r014,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,13,"['36,648', '']","['4,079', '']","['18,454', '']","['39', '']","['38', '']","['6,671', '']","['0', '']","['0', '']","['0', '']","['7,367', '']","['0', '']"
12711,r015,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,14,"['31,693', '']","['0', '']","['518', '']","['560', '']","['0', '']","['3,240', '']","['16', '']","['0', '']","['0', '']","['27,359', '']","['0', '']"
12711,r016,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,15,"['30,978', '']","['0', '']","['24,150', '']","['215', '']","['0', '']","['2,974', '']","['0', '']","['844', '']","['0', '']","['2,795', '']","['0', '']"
12711,r017,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,16,"['27,360', '']","['0', '']","['26,680', '']","['12', '']","['0', '']","['633', '']","['0', '']","['0', '']","['0', '']","['7', '']","['28', '']"
12711,r018,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,17,"['26,172', '']","['485', '']","['2,848', '']","['360', '']","['2,262', '']","['7,943', '']","['0', '']","['0', '']","['0', '']","['12,226', '']","['48', '']"
12711,r019,All institutions -> Catholic U. of America,All institutions,Catholic U. of America,2,18,"['25,243', '']","['0', '']","['0', '']","['0', '']","['0', '']","['24,788', '']","['0', '']","['0', '']","['0', '']","['455', '']","['0', '']"
12711,r020,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,19,"['25,141', '']","['35', '']","['19,828', '']","['235', '']","['0', '']","['4,012', '']","['0', '']","['0', '']","['0', '']","['1,031', '']","['0', '']"
12711,r021,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,20,"['24,482', '']","['0', '']","['14,518', '']","['273', '']","['0', '']","['6,621', '']","['0', '']","['0', '']","['0', '']","['3,070', '']","['0', '']"
12711,r022,All institutions -> Princeton U.,All institutions,Princeton U.,2,21,"['22,689', '']","['0', '']","['398', '']","['0', '']","['0', '']","['21,442', '']","['0', '']","['0', '']","['0', '']","['849', '']","['0', '']"
12711,r023,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,22,"['22,518', '']","['129', '']","['10,051', '']","['2,474', '']","['0', '']","['3,485', '']","['0', '']","['0', '']","['0', '']","['6,379', '']","['0', '']"
12711,r024,All institutions -> Stanford U.,All institutions,Stanford U.,2,23,"['22,178', '']","['0', '']","['1,637', '']","['924', '']","['0', '']","['13,259', '']","['0', '']","['69', '']","['0', '']","['5,274', '']","['1,015', '']"
12711,r025,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,24,"['20,924', '']","['87', '']","['4,095', '']","['197', '']","['41', '']","['10,412', '']","['35', '']","['0', '']","['0', '']","['6,013', '']","['44', '']"
12711,r026,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,25,"['17,355', '']","['160', '']","['1,412', '']","['84', '']","['17', '']","['4,189', '']","['0', '']","['2', '']","['0', '']","['11,293', '']","['198', '']"
12711,r027,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,26,"['17,145', '']","['0', '']","['983', '']","['0', '']","['0', '']","['400', '']","['15,743', '']","['0', '']","['0', '']","['19', '']","['0', '']"
12711,r028,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,27,"['16,704', '']","['404', '']","['9,391', '']","['545', '']","['0', '']","['3,268', '']","['0', '']","['0', '']","['0', '']","['3,096', '']","['0', '']"
12711,r029,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,28,"['16,235', '']","['506', '']","['7,358', '']","['4,267', '']","['0', '']","['3,253', '']","['0', '']","['0', '']","['1', '']","['850', '']","['0', '']"
12711,r030,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,29,"['15,323', '']","['3', '']","['3,469', '']","['372', '']","['0', '']","['550', '']","['0', '']","['0', '']","['0', '']","['10,929', '']","['0', '']"
12711,r031,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,30,"['15,272', '']","['0', '']","['0', '']","['15,272', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12711,r032,All institutions -> U. Florida,All institutions,U. Florida,2,31,"['14,102', '']","['36', '']","['405', '']","['2,989', '']","['0', '']","['2,092', '']","['0', '']","['11', '']","['0', '']","['8,353', '']","['216', '']"
12711,r033,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,32,"['12,752', '']","['767', '']","['0', '']","['98', '']","['0', '']","['5,742', '']","['0', '']","['0', '']","['13', '']","['6,132', '']","['0', '']"
12711,r034,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,33,"['12,685', '']","['0', '']","['6,254', '']","['184', '']","['0', '']","['6,081', '']","['0', '']","['0', '']","['0', '']","['166', '']","['0', '']"
12711,r035,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,34,"['12,578', '']","['0', '']","['8,258', '']","['2,108', '']","['31', '']","['0', '']","['0', '']","['0', '']","['347', '']","['1,834', '']","['0', '']"
12711,r036,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,35,"['12,335', '']","['251', '']","['1,451', '']","['466', '']","['9', '']","['3,752', '']","['0', '']","['90', '']","['79', '']","['6,063', '']","['174', '']"
12711,r037,All institutions -> Cornell U.,All institutions,Cornell U.,2,36,"['11,790', '']","['57', '']","['1,012', '']","['1,153', '']","['0', '']","['7,044', '']","['0', '']","['0', '']","['0', '']","['2,524', '']","['0', '']"
12711,r038,All institutions -> Boston U.,All institutions,Boston U.,2,37,"['11,762', '']","['0', '']","['3,067', '']","['0', '']","['0', '']","['6,370', '']","['0', '']","['0', '']","['0', '']","['1,988', '']","['337', '']"
12711,r039,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,38,"['10,949', '']","['0', 'i']","['10,178', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['771', '']","['0', '']"
12711,r040,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,39,"['10,851', '']","['90', '']","['4,069', '']","['0', '']","['0', '']","['5,451', '']","['0', '']","['0', '']","['0', '']","['1,241', '']","['0', '']"
12711,r041,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,40,"['10,485', '']","['98', '']","['2,835', '']","['1,002', '']","['232', '']","['2,032', '']","['0', '']","['0', '']","['0', '']","['4,137', '']","['149', '']"
12711,r042,All institutions -> U. Chicago,All institutions,U. Chicago,2,41,"['9,904', '']","['0', '']","['2,383', '']","['0', '']","['0', '']","['7,521', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12711,r043,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,42,"['9,283', '']","['0', '']","['747', '']","['2,110', '']","['69', '']","['4,511', '']","['0', '']","['69', '']","['0', '']","['1,777', '']","['0', '']"
12711,r044,All institutions -> George Mason U.,All institutions,George Mason U.,2,43,"['9,030', '']","['0', '']","['6,514', '']","['0', '']","['0', '']","['2,226', '']","['0', '']","['0', '']","['0', '']","['244', '']","['46', '']"
12711,r045,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,44,"['8,720', '']","['1', '']","['709', '']","['603', '']","['0', '']","['4,521', '']","['0', '']","['0', '']","['2,594', '']","['221', '']","['71', '']"
12711,r046,All institutions -> Morgan State U.,All institutions,Morgan State U.,2,45,"['8,502', '']","['0', '']","['8,259', '']","['8', '']","['0', '']","['44', '']","['0', '']","['0', '']","['0', '']","['164', '']","['27', '']"
12711,r047,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,46,"['8,390', '']","['0', '']","['411', '']","['1,257', '']","['0', '']","['952', '']","['0', '']","['0', '']","['0', '']","['5,770', '']","['0', '']"
12711,r048,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,47,"['8,028', '']","['0', '']","['729', '']","['377', '']","['0', '']","['2,379', '']","['0', '']","['47', '']","['0', '']","['4,496', '']","['0', '']"
12711,r049,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,48,"['8,020', '']","['0', '']","['1,021', '']","['153', '']","['9', '']","['2,232', '']","['0', '']","['0', '']","['90', '']","['4,497', '']","['18', '']"
12711,r050,All institutions -> Harvard U.,All institutions,Harvard U.,2,49,"['7,992', '']","['0', '']","['3,161', '']","['443', '']","['0', '']","['3,706', '']","['0', '']","['31', '']","['0', '']","['651', '']","['0', '']"
12711,r051,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,50,"['7,446', '']","['24', '']","['0', '']","['69', '']","['0', '']","['1,951', '']","['0', '']","['0', '']","['0', '']","['5,402', '']","['0', '']"
12711,r052,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,51,"['7,085', '']","['2,067', '']","['253', '']","['0', '']","['0', '']","['3,369', '']","['0', '']","['0', '']","['254', '']","['1,142', '']","['0', '']"
12711,r053,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,52,"['6,837', '']","['121', '']","['709', '']","['115', '']","['2', '']","['2,286', '']","['0', '']","['0', '']","['0', '']","['328', '']","['3,276', '']"
12711,r054,All institutions -> U. Delaware,All institutions,U. Delaware,2,53,"['6,369', '']","['4', '']","['711', '']","['307', '']","['0', '']","['3,253', '']","['0', '']","['42', '']","['0', '']","['2,052', '']","['0', '']"
12711,r055,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,54,"['6,084', '']","['35', '']","['3,432', '']","['1,798', '']","['0', '']","['138', '']","['11', '']","['0', '']","['0', '']","['604', '']","['66', '']"
