table_id,row_id,agency,fy_2011,fy_2012,fy_2013,fy_2014,fy_2015,fy_2016,fy_2017,fy_2018,fy_2019,fy_2020
10575,r001,DHS,0,0,0,0,3,1,0,0,0,0
10575,r002,DOC,5,6,7,7,13,15,19,11,15,15
10575,r003,DOD,63,44,59,24,69,35,162,168,58,70
10575,r004,DOE,822,757,568,573,648,621,567,662,686,700
10575,r005,DOI,2,1,3,0,3,0,0,2,2,17
10575,r006,DOT,1,0,1,0,0,2,1,1,0,0
10575,r007,EPA,6,2,2,6,0,8,5,1,3,2
10575,r008,HHS,264,231,184,212,279,278,334,335,346,365
10575,r009,NASA,30,33,38,51,74,107,119,105,96,172
10575,r010,USDA,35,34,25,31,37,31,40,40,51,93
10575,r011,VA,11,8,9,3,3,1,1,0,0,0
