table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020_all_non_s_e_fields,field_2020_business_management_and_business_administration,field_2020_communication_and_communications_technologies,field_2020_education,field_2020_humanities,field_2020_law,field_2020_social_work,field_2020_visual_and_performing_arts,field_2020_other
5439,r001,All institutions,All institutions,,1,-,"['4,641,376', '']","['4,864,950', '']","['5,035,615', '']","['878,721', '']","['191,813', '']","['1,603,978', '']","['563,007', '']","['267,565', '']","['307,145', '']","['171,605', '']","['1,051,781', '']"
5439,r002,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,1,"['137,640', '']","['137,448', '']","['146,396', '']","['89,756', '']","['6,079', '']","['16,188', '']","['9,065', '']","['12,632', '']","['0', '']","['2,918', '']","['9,758', '']"
5439,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['106,759', '']","['110,578', '']","['123,639', '']","['36,568', '']","['3,004', '']","['50,226', '']","['10,009', '']","['21,871', '']","['0', '']","['1,961', '']","['0', '']"
5439,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['107,516', '']","['104,485', '']","['100,931', '']","['13,243', '']","['1,821', '']","['12,071', '']","['25,098', '']","['4,437', '']","['7,954', '']","['3,825', '']","['32,482', '']"
5439,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['91,550', '']","['88,107', '']","['91,878', '']","['11,647', '']","['4,152', '']","['29,494', '']","['14,630', '']","['3,865', '']","['815', '']","['2,099', '']","['25,176', '']"
5439,r006,All institutions -> New York U.,All institutions,New York U.,2,5,"['85,597', '']","['89,471', '']","['89,103', '']","['7,050', '']","['0', '']","['27,628', '']","['14,449', '']","['21,952', '']","['9,578', '']","['1,069', '']","['7,377', '']"
5439,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['71,393', '']","['77,934', '']","['85,569', '']","['521', '']","['11,359', '']","['37,374', '']","['1,818', '']","['1,312', '']","['14,934', '']","['391', '']","['17,860', '']"
5439,r008,All institutions -> Florida State U.,All institutions,Florida State U.,2,7,"['37,175', '']","['71,549', '']","['80,379', '']","['12,108', '']","['2,447', '']","['33,404', '']","['10,933', '']","['4,063', '']","['9,082', '']","['5,912', '']","['2,430', '']"
5439,r009,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,8,"['58,326', '']","['67,049', '']","['78,430', '']","['20,895', '']","['5,797', '']","['29,988', '']","['7,714', '']","['4,490', '']","['6,217', '']","['3,329', '']","['0', '']"
5439,r010,All institutions -> U. Kansas,All institutions,U. Kansas,2,9,"['69,552', '']","['70,001', '']","['76,326', '']","['311', '']","['35', '']","['60,801', '']","['1,426', '']","['119', '']","['12,160', '']","['26', '']","['1,448', '']"
5439,r011,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,10,"['67,933', '']","['69,347', '']","['76,064', '']","['20,524', '']","['11,742', '']","['28,711', '']","['581', '']","['3,860', '']","['7,910', '']","['2,449', '']","['287', '']"
5439,r012,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,11,"['69,109', '']","['70,687', '']","['71,962', '']","['22,783', '']","['4,452', '']","['7,565', '']","['11,013', '']","['5,417', '']","['940', '']","['4,962', '']","['14,830', '']"
5439,r013,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,12,"['62,214', '']","['76,182', '']","['70,284', '']","['4,708', '']","['10,087', '']","['19,359', '']","['9,673', '']","['691', '']","['6,528', '']","['158', '']","['19,080', '']"
