table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_health_or_medical_companiesb_number_,field_health_or_medical_amount,field_defense_companiesb_number_,field_defense_amount,field_agriculture_companiesb_number_,field_agriculture_amount
1408,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",4790,"['56,954', '&nbsp;']","['1,526', 'i']","['17,989', 'i']","['1,316', 'i']","['17,680', '&nbsp;']","['376', 'i']","['686', '&nbsp;']"
1408,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,2545,"['38,893', '&nbsp;']","['681', 'i']","['8,799', '&nbsp;']","['398', 'i']","['13,943', '&nbsp;']","['271', 'i']","['625', '&nbsp;']"
1408,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,123,"['217', '&nbsp;']","['18', 'i']","['22', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['50', 'i']","['36', '&nbsp;']"
1408,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,657,"['9,410', '&nbsp;']","['280', '&nbsp;']","['8,342', '&nbsp;']","['69', 'i']","['158', 'i']","['157', 'i']","['509', '&nbsp;']"
1408,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,101,"['261', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['32', 'i']","['10', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
1408,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,363,"['8,644', '&nbsp;']","['268', '&nbsp;']","['8,340', '&nbsp;']","['16', '&nbsp;']","['133', 'i']","['119', 'i']","['300', 'i']"
1408,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,193,"['505', '&nbsp;']","['9', 'i']","['1', '&nbsp;']","['21', 'i']","['14', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1408,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,97,"['169', '&nbsp;']","['25', 'i']","['27', 'i']","['10', 'i']","['12', 'i']","['10', 'i']","['8', 'i']"
1408,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,84,"['14', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1408,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,269,"['112', 'i']","['6', '&nbsp;']","['2', '&nbsp;']","['4', '&nbsp;']","['8', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']"
