table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_a_percentage_of_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_a_percentage_of_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_a_percentage_of_sales
7386,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['14,795,588', '&nbsp;']","['35', '&nbsp;']","['7,091,687', '&nbsp;']","['33', '&nbsp;']","['7,703,901', '&nbsp;']","['37', '&nbsp;']"
7386,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,587,305', '&nbsp;']","['39', '&nbsp;']","['632,124', '&nbsp;']","['43', '&nbsp;']","['955,181', '&nbsp;']","['37', '&nbsp;']"
7386,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['18,702', '&nbsp;']","['32', 'r']","['7,334', 'r']","['55', 'r']","['11,368', 'r']","['16', 'r']"
7386,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['1,433', 'r']","['16', 'r']","['1,433', 'r']","['16', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['41', 'r']","['10,000', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['41', 'r']","['10,000', '&nbsp;']"
7386,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['2,323', '&nbsp;']","['24', 'r']","['253', 'r']","['56', 'r']","['2,070', '&nbsp;']","['20', '&nbsp;']"
7386,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['313,780', '&nbsp;']","['57', '&nbsp;']","['148,886', '&nbsp;']","['58', 'r']","['164,894', '&nbsp;']","['55', '&nbsp;']"
7386,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['139,834', '&nbsp;']","['84', 'r']","['80,667', '&nbsp;']","['70', 'r']","['59,166', '&nbsp;']","['104', 'r']"
7386,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['173,946', '&nbsp;']","['35', '&nbsp;']","['68,219', '&nbsp;']","['45', '&nbsp;']","['105,727', '&nbsp;']","['28', 'r']"
7386,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['31,117', 'r']","['20', 'r']","['14,262', 'r']","['22', 'r']","['16,855', 'r']","['18', 'r']"
7386,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['521', '&nbsp;']","['1,125', '&nbsp;']","['521', '&nbsp;']","['41', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['733', 'r']","['321', 'r']","['733', 'r']","['321', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['54,892', 'r']","['37', '&nbsp;']","['14,439', 'r']","['68', 'r']","['40,454', 'r']","['26', 'r']"
7386,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['225,319', '&nbsp;']","['10', 'r']","['97,469', '&nbsp;']","['13', 'r']","['127,850', 'r']","['7', '&nbsp;']"
7386,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['678,482', '&nbsp;']","['34', '&nbsp;']","['281,719', '&nbsp;']","['36', '&nbsp;']","['396,763', '&nbsp;']","['32', '&nbsp;']"
7386,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['116,001', '&nbsp;']","['33', 'r']","['85,326', '&nbsp;']","['25', 'r']","['30,675', '&nbsp;']","['56', 'r']"
7386,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['495,090', '&nbsp;']","['33', '&nbsp;']","['188,687', '&nbsp;']","['41', '&nbsp;']","['306,403', '&nbsp;']","['28', '&nbsp;']"
7386,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['67,391', '&nbsp;']","['41', 'r']","['7,706', '&nbsp;']","['55', 'r']","['59,685', '&nbsp;']","['39', 'r']"
7386,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['49,902', 'r']","['19', 'r']","['4,262', '&nbsp;']","['146', 'r']","['45,641', 'r']","['7', 'r']"
7386,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['42,777', '&nbsp;']","['58', 'r']","['16,928', '&nbsp;']","['109', 'r']","['25,849', '&nbsp;']","['24', 'r']"
7386,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['38,145', '&nbsp;']","['31', 'r']","['14,605', '&nbsp;']","['46', '&nbsp;']","['23,540', 'r']","['22', 'r']"
7386,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['4,632', '&nbsp;']","['275', 'r']","['2,323', '&nbsp;']","['504', 'r']","['2,309', '&nbsp;']","['43', '&nbsp;']"
7386,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7386,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['167,285', '&nbsp;']","['69', '&nbsp;']","['43,885', '&nbsp;']","['55', 'r']","['123,399', '&nbsp;']","['74', '&nbsp;']"
7386,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,208,283', '&nbsp;']","['35', '&nbsp;']","['6,459,563', '&nbsp;']","['32', '&nbsp;']","['6,748,720', '&nbsp;']","['37', '&nbsp;']"
7386,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,301,893', '&nbsp;']","['17', 'r']","['737,390', 'r']","['11', 'r']","['564,503', '&nbsp;']","['25', 'r']"
7386,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['1,862,457', '&nbsp;']","['32', '&nbsp;']","['597,022', '&nbsp;']","['45', '&nbsp;']","['1,265,435', '&nbsp;']","['26', '&nbsp;']"
7386,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,093,050', '&nbsp;']","['30', '&nbsp;']","['419,604', '&nbsp;']","['43', '&nbsp;']","['673,447', '&nbsp;']","['22', '&nbsp;']"
7386,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['769,406', '&nbsp;']","['35', '&nbsp;']","['177,418', '&nbsp;']","['51', '&nbsp;']","['591,989', '&nbsp;']","['30', 'r']"
7386,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,696,811', '&nbsp;']","['27', '&nbsp;']","['1,047,902', '&nbsp;']","['27', '&nbsp;']","['648,910', '&nbsp;']","['27', '&nbsp;']"
7386,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['6,013,691', '&nbsp;']","['24', '&nbsp;']","['3,179,717', '&nbsp;']","['22', '&nbsp;']","['2,833,974', '&nbsp;']","['26', '&nbsp;']"
