table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_2012,field_2013,field_2015,field_2017,field_2019
2531,r001,FFRDCs with postdocs,FFRDCs with postdocs,,,,1,21,21,24,23,24
2531,r002,All postdocs,All postdocs,,,,1,2793,2613,2696,2975,3335
2531,r003,All postdocs -> Male,All postdocs,Male,,,2,2115,2020,2048,2259,2476
2531,r004,All postdocs -> Female,All postdocs,Female,,,2,678,593,648,716,859
2531,r005,All postdocs -> Unknown sex,All postdocs,Unknown sex,,,2,0,0,0,0,0
2531,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1156,1150,1246,1341,1429
2531,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,54,52,55,67,76
2531,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1045,1065,1140,1217,1311
2531,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,4,3,5,4,0
2531,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,137,171,181,170,193
2531,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,14,14,19,27,38
2531,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,3,2,0,0,2
2531,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,853,861,908,991,1043
2531,r014,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,34,14,27,25,35
2531,r015,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,57,33,51,57,42
2531,r016,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1637,1463,1450,1634,1906
2531,r017,All postdocs -> Unknown citizenship ,All postdocs,Unknown citizenship ,,,2,0,0,0,0,0
2531,r018,All postdocs -> Source of support,All postdocs,Source of support,,,2,,,,,
2531,r019,All postdocs -> Source of support -> Federal support,All postdocs,Source of support,Federal support,,3,2707,2531,2543,2544,2956
2531,r020,All postdocs -> Source of support -> Nonfederal support,All postdocs,Source of support,Nonfederal support,,3,86,82,150,116,379
2531,r021,All postdocs -> Source of support -> Unknown support source,All postdocs,Source of support,Unknown support source,,3,0,0,3,315,0
