table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_social_sciences,field_2020_anthropology,field_2020_economics,field_2020_political_science_and_government,field_2020_sociology_demography_and_population_studies,field_2020_social_sciences_nec
5434,r001,All institutions,All institutions,,1,-,"['2,554,562', '']","['2,721,772', '']","['2,808,228', '']","['2,947,338', '']","['119,329', '']","['562,192', '']","['425,267', '']","['591,754', '']","['1,248,796', '']"
5434,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['191,304', '']","['192,919', '']","['191,336', '']","['187,421', '']","['6,178', '']","['31,063', '']","['25,466', '']","['25,750', '']","['98,964', '']"
5434,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['124,966', '']","['134,493', '']","['141,321', '']","['142,484', '']","['2,117', '']","['33,563', '']","['41,849', '']","['2,059', '']","['62,896', '']"
5434,r004,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,3,"['69,971', '']","['80,110', '']","['86,570', '']","['83,980', '']","['14,943', '']","['8,585', '']","['16,566', '']","['4,850', '']","['39,036', '']"
5434,r005,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,4,"['108,178', '']","['114,814', '']","['108,095', '']","['82,154', '']","['534', '']","['368', '']","['2,760', '']","['66,550', '']","['11,942', '']"
5434,r006,All institutions -> George Mason U.,All institutions,George Mason U.,2,5,"['35,286', '']","['51,552', '']","['57,278', '']","['67,966', '']","['77', '']","['55,028', '']","['2,354', '']","['2,018', '']","['8,489', '']"
5434,r007,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,6,"['na', '']","['na', '']","['66,691', '']","['64,636', '']","['567', '']","['1,180', '']","['5,673', '']","['4,945', '']","['52,271', '']"
5434,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['41,188', '']","['69,184', '']","['58,050', '']","['60,591', '']","['0', '']","['1,145', '']","['4,826', '']","['12,319', '']","['42,301', '']"
5434,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['52,879', '']","['58,150', '']","['61,374', '']","['60,568', '']","['453', '']","['31,706', '']","['9,380', '']","['3,929', '']","['15,100', '']"
5434,r010,All institutions -> U. Southern California,All institutions,U. Southern California,2,9,"['34,390', '']","['39,649', '']","['52,212', '']","['59,926', '']","['282', '']","['1,250', '']","['374', '']","['861', '']","['57,159', '']"
5434,r011,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,10,"['43,324', '']","['47,110', '']","['48,019', '']","['59,239', '']","['1,022', '']","['8,756', '']","['6,515', '']","['6,535', '']","['36,411', '']"
5434,r012,All institutions -> Princeton U.,All institutions,Princeton U.,2,11,"['45,670', '']","['50,613', '']","['58,918', '']","['57,913', '']","['541', '']","['9,014', '']","['27,497', '']","['15,765', '']","['5,096', '']"
5434,r013,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,12,"['32,081', '']","['38,166', '']","['46,532', '']","['51,477', '']","['0', '']","['30,800', '']","['3,185', '']","['38', '']","['17,454', '']"
5434,r014,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,13,"['48,579', '']","['49,776', '']","['49,088', '']","['51,374', '']","['1,167', '']","['6,148', '']","['4,260', '']","['23,377', '']","['16,422', '']"
5434,r015,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,14,"['23,813', '']","['25,610', '']","['27,037', '']","['50,407', '']","['984', '']","['22,755', '']","['2,799', '']","['3,269', '']","['20,600', '']"
5434,r016,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,15,"['35,749', '']","['38,541', '']","['44,681', '']","['47,029', '']","['1,533', '']","['3,707', '']","['12,193', '']","['10,934', '']","['18,662', '']"
5434,r017,All institutions -> Duke U.,All institutions,Duke U.,2,16,"['32,382', '']","['34,186', '']","['34,532', '']","['36,760', '']","['1,742', '']","['3,790', '']","['770', '']","['10,273', '']","['20,185', '']"
5434,r018,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,17,"['31,825', '']","['33,270', '']","['37,195', '']","['35,933', '']","['0', '']","['365', '']","['31,775', '']","['403', '']","['3,390', '']"
5434,r019,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,18,"['4,871', '']","['5,764', '']","['5,773', '']","['33,645', '']","['0', '']","['905', '']","['0', '']","['1,628', '']","['31,112', '']"
5434,r020,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,19,"['34,608', '']","['41,077', '']","['41,008', '']","['32,157', '']","['478', '']","['1,200', '']","['1,263', '']","['13,671', '']","['15,545', '']"
5434,r021,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,20,"['39,578', '']","['25,741', '']","['30,138', '']","['31,616', '']","['2,217', '']","['819', '']","['1,073', '']","['2,080', '']","['25,427', '']"
5434,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['35,824', '']","['35,191', '']","['35,278', '']","['31,218', '']","['191', '']","['6,218', '']","['6,691', '']","['15,108', '']","['3,010', '']"
5434,r023,All institutions -> Brown U.,All institutions,Brown U.,2,22,"['12,079', '']","['18,539', '']","['24,887', '']","['30,782', '']","['310', '']","['1,153', '']","['2,754', '']","['1,109', '']","['25,456', '']"
5434,r024,All institutions -> New York U.,All institutions,New York U.,2,23,"['31,205', '']","['29,375', '']","['31,003', '']","['30,676', '']","['43', '']","['1,748', '']","['7,151', '']","['7,563', '']","['14,171', '']"
5434,r025,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,24,"['26,008', '']","['28,983', '']","['30,686', '']","['29,389', '']","['3,961', '']","['6,300', '']","['6,638', '']","['2,070', '']","['10,420', '']"
