table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5451,r001,United States,United States,,,,1,"['86,296,178', '']","['46,143,829', '']","['4,596,633', '']","['21,946,790', '']","['5,184,925', '']","['5,745,238', '']","['2,678,763', '']"
5451,r002,United States -> Public,United States,Public,,,2,"['56,663,756', '']","['28,492,277', '']","['4,204,494', '']","['15,609,925', '']","['3,175,941', '']","['3,281,118', '']","['1,900,001', '']"
5451,r003,United States -> Private,United States,Private,,,2,"['29,632,422', '']","['17,651,552', '']","['392,139', '']","['6,336,865', '']","['2,008,984', '']","['2,464,120', '']","['778,762', '']"
5451,r004,United States -> Alabama,United States,Alabama,,,2,"['1,186,697', '']","['668,862', '']","['64,666', '']","['329,347', '']","['70,597', '']","['36,810', '']","['16,415', '']"
5451,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,165,724', '']","['653,740', '']","['62,042', '']","['326,641', '']","['70,597', '']","['36,810', '']","['15,894', '']"
5451,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['8,749', '']","['5,643', '']","['2,541', '']","['448', '']","['117', '']","['0', '']","['0', '']"
5451,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,582', '']","['2,582', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5451,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['255,281', '']","['73,468', '']","['31,628', '']","['130,268', '']","['6,700', '']","['1,632', '']","['11,585', '']"
5451,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['1,244', '']","['1,216', '']","['0', '']","['28', '']","['0', '']","['0', '']","['0', '']"
5451,r010,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['1,692', '']","['1,591', '']","['0', '']","['66', '']","['16', '']","['19', '']","['0', '']"
