table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
9640,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
9640,r002,Company and financial information (US$millions) -> 1.12,Company and financial information (US$millions),1.12,2,Worldwide net sales and operating revenues,"['17,410,590', '&nbsp;']"
9640,r003,Company and financial information (US$millions) -> 1.13,Company and financial information (US$millions),1.13,2,Net sales and operating revenues from domestic operations,"['13,097,756', '&nbsp;']"
9640,r004,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
9640,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['755,069', '&nbsp;']"
9640,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,"Worldwide R&D paid for by the company (expense), adjustments","['45,406', '&nbsp;']"
9640,r007,Company and financial information (US$millions) -> 2.4/ 2.7c,Company and financial information (US$millions),2.4/ 2.7c,2,Worldwide R&D paid for by the company and performed by the company and others,"['709,663', '&nbsp;']"
9640,r008,Company and financial information (US$millions) -> 2.7a,Company and financial information (US$millions),2.7a,2,Domestic R&D paid for by the company and performed by the company and others,"['577,661', '&nbsp;']"
9640,r009,Company and financial information (US$millions) -> 2.7b,Company and financial information (US$millions),2.7b,2,Foreign R&D paid for by the company and performed by the company and others,"['132,002', '&nbsp;']"
9640,r010,Company and financial information (US$millions) -> 2.5,Company and financial information (US$millions),2.5,2,Indirect R&D charges to be recouped from the U.S. federal government (independent R&D [IR&D])a,"['5,909', '&nbsp;']"
9640,r011,Company and financial information (US$millions) -> 2.8m(1),Company and financial information (US$millions),2.8m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['577,661', '&nbsp;']"
9640,r012,Company and financial information (US$millions) -> 2.8a(1),Company and financial information (US$millions),2.8a(1),2,"Salaries, wages, and fringe benefits","['287,984', '&nbsp;']"
9640,r013,Company and financial information (US$millions) -> 2.8b(1),Company and financial information (US$millions),2.8b(1),2,Stock-based compensation,"['60,491', '&nbsp;']"
9640,r014,Company and financial information (US$millions) -> 2.8c(1),Company and financial information (US$millions),2.8c(1),2,"Leased or temporary staffing, including on-site contractors, working on R&D","['23,725', '&nbsp;']"
9640,r015,Company and financial information (US$millions) -> 2.8d(1),Company and financial information (US$millions),2.8d(1),2,Expensed equipment (not capitalized),"['8,605', '&nbsp;']"
9640,r016,Company and financial information (US$millions) -> 2.8e(1),Company and financial information (US$millions),2.8e(1),2,Materials and supplies,"['32,925', '&nbsp;']"
9640,r017,Company and financial information (US$millions) -> 2.8f(1),Company and financial information (US$millions),2.8f(1),2,Leased facilities and equipment,"['7,770', '&nbsp;']"
9640,r018,Company and financial information (US$millions) -> 2.8g(1),Company and financial information (US$millions),2.8g(1),2,"Depreciation and amortization on R&D property, plant, equipment, and intangible assets","['18,433', '&nbsp;']"
9640,r019,Company and financial information (US$millions) -> 2.8h(1),Company and financial information (US$millions),2.8h(1),2,Royalties and licensing fees,"['3,450', '&nbsp;']"
9640,r020,Company and financial information (US$millions) -> 2.8i(1),Company and financial information (US$millions),2.8i(1),2,Collaborative R&D payments,"['14,091', '&nbsp;']"
9640,r021,Company and financial information (US$millions) -> 2.8j(1),Company and financial information (US$millions),2.8j(1),2,Contract R&D,"['35,765', '&nbsp;']"
9640,r022,Company and financial information (US$millions) -> 2.8k(1),Company and financial information (US$millions),2.8k(1),2,Other purchased services,"['15,319', '&nbsp;']"
9640,r023,Company and financial information (US$millions) -> 2.8l(1),Company and financial information (US$millions),2.8l(1),2,All other costs,"['69,102', '&nbsp;']"
9640,r024,Company and financial information (US$millions) -> 2.9(3),Company and financial information (US$millions),2.9(3),2,Worldwide R&D paid for by the company and performed by others,"['61,588', '&nbsp;']"
9640,r025,Company and financial information (US$millions) -> 2.9(1),Company and financial information (US$millions),2.9(1),2,Domestic R&D paid for by the company and performed by others,"['49,856', '&nbsp;']"
9640,r026,Company and financial information (US$millions) -> 2.9(2),Company and financial information (US$millions),2.9(2),2,Foreign R&D paid for by the company and performed by others,"['11,732', '&nbsp;']"
9640,r027,Company and financial information (US$millions) -> 2.10(3),Company and financial information (US$millions),2.10(3),2,Worldwide R&D paid for and performed by the company,"['648,075', '&nbsp;']"
9640,r028,Company and financial information (US$millions) -> 2.10(1),Company and financial information (US$millions),2.10(1),2,Domestic R&D paid for and performed by the company,"['527,804', '&nbsp;']"
9640,r029,Company and financial information (US$millions) -> 2.10(2),Company and financial information (US$millions),2.10(2),2,Foreign R&D paid for and performed by the company,"['120,270', '&nbsp;']"
9640,r030,Company and financial information (US$millions) -> 2.9(3) + 2.10(3) + 3.4(3) + 3.5(3),Company and financial information (US$millions),2.9(3) + 2.10(3) + 3.4(3) + 3.5(3),2,Worldwide R&D paid for by the company and others and performed by the company and others,"['807,429', '&nbsp;']"
9640,r031,Company and financial information (US$millions) -> 2.10(3) + 3.5(3),Company and financial information (US$millions),2.10(3) + 3.5(3),2,Worldwide R&D paid for by the company and others and performed by the company,"['737,911', '&nbsp;']"
9640,r032,Company and financial information (US$millions) -> 2.9(1) + 2.10(1) + 3.4(1) + 3.5(1),Company and financial information (US$millions),2.9(1) + 2.10(1) + 3.4(1) + 3.5(1),2,Domestic R&D paid for by the company and others and performed by the company and others,"['659,458', '&nbsp;']"
9640,r033,Company and financial information (US$millions) -> 2.10(1) + 3.5 (1),Company and financial information (US$millions),2.10(1) + 3.5 (1),2,Domestic R&D paid for by the company and others and performed by the company,"['602,499', '&nbsp;']"
9640,r034,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,Domestic R&D paid for and performed by the company,"['&nbsp;', '&nbsp;']"
9640,r035,Company and financial information (US$millions) -> 2.14,Company and financial information (US$millions),2.14,2,Performed at largest domestic location,"['304,919', '&nbsp;']"
9640,r036,Company and financial information (US$millions) -> 2.16,Company and financial information (US$millions),2.16,2,Performed at second-largest domestic location,"['44,689', '&nbsp;']"
9640,r037,Company and financial information (US$millions) -> 2.18,Company and financial information (US$millions),2.18,2,Domestic R&D paid for by foreign operations or subsidiaries and performed by the companya,"['32,055', '&nbsp;']"
9640,r038,Company and financial information (US$millions) -> 2.19,Company and financial information (US$millions),2.19,2,Foreign R&D paid for by domestic operations or subsidiaries and performed by the companya,"['26,188', '&nbsp;']"
9640,r039,Company and financial information (US$millions) -> 2.9(1)/ 2.20i,Company and financial information (US$millions),2.9(1)/ 2.20i,2,Domestic R&D paid for by the company and performed by others,"['49,856', '&nbsp;']"
9640,r040,Company and financial information (US$millions) -> 2.20a,Company and financial information (US$millions),2.20a,2,Companies in United States,"['43,700', '&nbsp;']"
9640,r041,Company and financial information (US$millions) -> 2.20b,Company and financial information (US$millions),2.20b,2,Your company's foreign parent or owner,"['1,291', 'i']"
9640,r042,Company and financial information (US$millions) -> 2.20c,Company and financial information (US$millions),2.20c,2,Companies outside United States,"['3,620', '&nbsp;']"
9640,r043,Company and financial information (US$millions) -> 2.20d,Company and financial information (US$millions),2.20d,2,U.S. federal government agencies or laboratories,"['109', '&nbsp;']"
