table_id,row_id,position_race_or_ethnicity_and_field_full_path,position_race_or_ethnicity_and_field_level_1,position_race_or_ethnicity_and_field_level_2,position_race_or_ethnicity_and_field_level_3,position_race_or_ethnicity_and_field_level_4,position_race_or_ethnicity_and_field_hierarchy_depth,field_1973,field_1977,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4411,r001,All positions,All positions,,,,1,,,,,,,,,,,,,,,,,,,,,
4411,r002,"All positions -> All races or ethnicities, all fields",All positions,"All races or ethnicities, all fields",,,2,118.0,145.4,167.1,176.1,190.2,195.9,206.6,210.6,213.8,217.5,232.5,240.2,245.5,259.5,272.8,276.5,294.8,309.0,329.3,326.6,350.4
4411,r003,"All positions -> All races or ethnicities, all fields -> Physical sciences",All positions,"All races or ethnicities, all fields",Physical sciences,,3,25.5,29.2,29.9,29.9,32.2,32.8,33.6,33.8,35.0,35.8,37.5,38.7,38.6,39.9,39.6,39.9,43.7,44.9,48.4,46.9,49.8
4411,r004,"All positions -> All races or ethnicities, all fields -> Mathematics and statistics",All positions,"All races or ethnicities, all fields",Mathematics and statistics,,3,9.7,11.7,12.4,12.9,13.6,13.8,14.5,15.2,15.5,14.6,15.6,15.2,14.9,16.7,17.3,18.0,18.7,19.0,20.9,20.6,20.6
4411,r005,"All positions -> All races or ethnicities, all fields -> Computer and information sciences",All positions,"All races or ethnicities, all fields",Computer and information sciences,,3,NA,NA,0.3,0.5,0.8,1.1,1.5,2.0,2.5,3.1,3.3,3.7,3.8,5.2,5.8,6.9,7.3,8.4,9.1,8.9,10.8
4411,r006,"All positions -> All races or ethnicities, all fields -> Life sciences",All positions,"All races or ethnicities, all fields",Life sciences,,3,34.9,42.6,51.3,54.8,58.7,61.2,64.8,66.9,68.2,71.6,77.3,81.9,84.3,90.0,95.5,94.2,102.0,109.8,112.7,112.6,119.8
4411,r007,"All positions -> All races or ethnicities, all fields -> Psychology",All positions,"All races or ethnicities, all fields",Psychology,,3,12.2,16.2,20.1,21.0,23.1,23.7,25.0,25.2,25.0,26.1,27.3,29.0,30.4,31.8,35.0,34.5,35.4,36.3,38.7,38.0,39.8
4411,r008,"All positions -> All races or ethnicities, all fields -> Social sciences",All positions,"All races or ethnicities, all fields",Social sciences,,3,23.4,31.1,36.9,38.8,41.9,42.1,44.5,44.8,44.4,42.5,44.9,46.2,46.9,48.1,50.1,52.5,54.9,55.9,59.7,59.9,64.8
4411,r009,"All positions -> All races or ethnicities, all fields -> Engineering",All positions,"All races or ethnicities, all fields",Engineering,,3,12.4,14.8,16.1,18.1,19.9,21.2,22.8,22.8,23.1,23.8,26.6,25.5,26.6,27.8,29.6,30.4,32.8,34.7,39.7,39.8,45.0
4411,r010,"All positions -> All races or ethnicities, all fields -> White, all fields",All positions,"All races or ethnicities, all fields","White, all fields",,3,107.7,131.4,149.9,157.2,168.4,172.8,181.0,183.5,181.8,182.6,193.2,198.2,201.0,204.3,212.2,211.8,219.7,225.8,237.0,229.9,243.5
