table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10163,r001,United States,United States,,,,1,"['97,680,528', '']","['3,224,949', '']","['3,690,235', '']","['56,498,207', '']","['879,526', '']","['6,167,583', '']","['1,443,894', '']","['3,165,440', '']","['1,156,452', '']","['15,596,634', '']","['5,857,608', '']"
10163,r002,United States -> Public,United States,Public,,,2,"['63,712,945', '']","['1,953,690', '']","['2,908,828', '']","['34,947,019', '']","['509,716', '']","['3,867,258', '']","['1,080,636', '']","['2,134,847', '']","['928,285', '']","['11,119,207', '']","['4,263,459', '']"
10163,r003,United States -> Private,United States,Private,,,2,"['33,967,583', '']","['1,271,259', '']","['781,407', '']","['21,551,188', '']","['369,810', '']","['2,300,325', '']","['363,258', '']","['1,030,593', '']","['228,167', '']","['4,477,427', '']","['1,594,149', '']"
10163,r004,United States -> Alabama,United States,Alabama,,,2,"['1,431,393', '']","['86,237', '']","['38,775', '']","['856,109', '']","['8,397', '']","['53,814', '']","['21,830', '']","['19,400', '']","['3,089', '']","['239,349', '']","['104,393', '']"
10163,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,409,452', '']","['85,362', '']","['38,775', '']","['841,037', '']","['7,509', '']","['51,904', '']","['21,722', '']","['19,311', '']","['3,089', '']","['236,394', '']","['104,349', '']"
10163,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['9,611', '']","['372', 'i']","['0', 'i']","['5,654', 'i']","['78', 'i']","['758', 'i']","['201', 'i']","['237', 'i']","['0', 'i']","['1,925', 'i']","['386', 'i']"
10163,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['3,178', '']","['192', '']","['0', '']","['2,471', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['483', '']","['32', '']"
10163,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['304,439', '']","['5,174', '']","['4,791', '']","['128,578', '']","['3,875', '']","['17,011', '']","['3,848', '']","['3,856', '']","['3,031', '']","['93,219', '']","['41,056', '']"
10163,r009,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['2,517', '']","['1', '']","['71', '']","['180', '']","['4', '']","['1,916', '']","['3', '']","['40', '']","['0', '']","['56', '']","['246', '']"
10163,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['713,480', '']","['898', '']","['66', '']","['653,373', '']","['263', '']","['6,282', '']","['9,755', '']","['494', '']","['0', '']","['30,637', '']","['11,712', '']"
10163,r011,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['169,532', '']","['60,893', '']","['23,111', '']","['2,695', '']","['655', '']","['17,852', '']","['349', '']","['1,113', '']","['0', '']","['53,958', '']","['8,906', '']"
10163,r012,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['163,204', '']","['16,400', '']","['5,895', '']","['22,348', '']","['2,367', '']","['7,524', '']","['5,349', '']","['12,938', '']","['58', '']","['49,885', '']","['40,440', '']"
10163,r013,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['43,491', '']","['1,432', '']","['4,841', '']","['25,738', '']","['267', '']","['561', '']","['2,217', '']","['633', '']","['0', '']","['6,231', '']","['1,571', '']"
10163,r014,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['21,941', '']","['875', '']","['0', '']","['15,072', '']","['888', '']","['1,910', '']","['108', '']","['89', '']","['0', '']","['2,955', '']","['44', '']"
10163,r015,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['21,941', '']","['875', '']","['0', '']","['15,072', '']","['888', '']","['1,910', '']","['108', '']","['89', '']","['0', '']","['2,955', '']","['44', '']"
10163,r016,United States -> Alaska,United States,Alaska,,,2,"['226,717', '']","['955', '']","['129,232', '']","['37,609', '']","['181', '']","['14,453', '']","['116', '']","['2,763', '']","['18,288', '']","['19,826', '']","['3,294', '']"
10163,r017,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['225,110', '']","['955', '']","['127,684', '']","['37,589', '']","['181', '']","['14,453', '']","['116', '']","['2,763', '']","['18,288', '']","['19,826', '']","['3,255', '']"
10163,r018,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['21,024', '']","['48', '']","['5,286', '']","['8,875', '']","['0', '']","['577', '']","['57', '']","['1,529', '']","['1,296', '']","['1,957', '']","['1,399', '']"
10163,r019,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['202,516', '']","['907', '']","['121,905', '']","['28,235', '']","['181', '']","['13,832', '']","['59', '']","['1,184', '']","['16,488', '']","['17,869', '']","['1,856', '']"
10163,r020,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,570', '']","['0', '']","['493', '']","['479', '']","['0', '']","['44', '']","['0', '']","['50', '']","['504', '']","['0', '']","['0', '']"
10163,r021,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['1,607', '']","['0', '']","['1,548', '']","['20', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['39', '']"
10163,r022,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['1,607', '']","['0', '']","['1,548', '']","['20', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['39', '']"
10163,r023,United States -> Arizona,United States,Arizona,,,2,"['1,690,904', '']","['42,176', '']","['106,317', '']","['658,110', '']","['7,528', '']","['177,723', '']","['22,471', '']","['103,143', '']","['131,012', '']","['281,557', '']","['160,867', '']"
10163,r024,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['1,690,384', '']","['42,176', '']","['106,317', '']","['657,590', '']","['7,528', '']","['177,723', '']","['22,471', '']","['103,143', '']","['131,012', '']","['281,557', '']","['160,867', '']"
10163,r025,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['797,224', '']","['21,414', '']","['67,062', '']","['141,306', '']","['3,418', '']","['27,777', '']","['15,720', '']","['80,307', '']","['119,141', '']","['192,681', '']","['128,398', '']"
