table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3173,r001,All institutions,All institutions,,1,-,"['24,413,353', '']","['119,910', '']","['62,036', '']","['21,373,795', '']","['66,235', '']","['599,981', '']","['545,727', '']","['373,777', '']","['109,025', '']","['890,968', '']","['271,899', '']"
3173,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['673,751', '']","['2,704', '']","['10,390', '']","['620,254', '']","['59', '']","['5,375', '']","['3,559', '']","['182', '']","['593', '']","['30,526', '']","['109', '']"
3173,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['655,533', '']","['1,133', '']","['2,134', '']","['589,276', '']","['1,150', '']","['11,607', '']","['6,315', '']","['3,127', '']","['0', '']","['25,226', '']","['15,565', '']"
3173,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['623,113', '']","['0', '']","['0', '']","['590,676', '']","['0', '']","['32,437', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3173,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['615,534', '']","['2,102', '']","['9', '']","['506,961', '']","['628', '']","['11,307', '']","['4,864', '']","['69,797', '']","['143', '']","['17,542', '']","['2,181', '']"
3173,r006,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,5,"['592,670', '']","['199', '']","['362', '']","['557,660', '']","['1,648', '']","['7,914', '']","['4,036', '']","['4,953', '']","['0', '']","['14,229', '']","['1,669', '']"
3173,r007,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,6,"['581,530', '']","['3,277', '']","['6,668', '']","['539,892', '']","['912', '']","['4,011', '']","['11,430', '']","['1,911', '']","['318', '']","['9,832', '']","['3,279', '']"
3173,r008,All institutions -> Duke U.,All institutions,Duke U.,2,7,"['571,613', '']","['1,333', '']","['0', '']","['513,989', '']","['2,406', '']","['4,400', '']","['8,602', '']","['14,306', '']","['106', '']","['26,352', '']","['119', '']"
3173,r009,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,8,"['554,504', '']","['8,638', '']","['363', '']","['484,549', '']","['722', '']","['10,905', '']","['14,332', '']","['17,361', '']","['0', '']","['8,278', '']","['9,356', '']"
3173,r010,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,9,"['548,047', '']","['221', '']","['1,626', '']","['514,636', '']","['968', '']","['4,760', '']","['2,902', '']","['19', '']","['0', '']","['16,611', '']","['6,304', '']"
