table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
3479,r001,1975,"All science, engineering, and health graduate students",Total,,2,328510
3479,r002,1975,"All science, engineering, and health graduate students",Full time,Number,3,219648
3479,r003,1975,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
3479,r004,1975,"All science, engineering, and health graduate students",Part time,Number,3,108862
3479,r005,1975,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
3479,r006,1975,All science graduate students,Total,,2,234649
3479,r007,1975,All science graduate students,Full time,Number,3,164437
3479,r008,1975,All science graduate students,Full time,Percent,3,70.1
3479,r009,1975,All science graduate students,Part time,Number,3,70212
3479,r010,1975,All science graduate students,Part time,Percent,3,29.9
3479,r011,1975,All engineering graduate students,Total,,2,68332
3479,r012,1975,All engineering graduate students,Full time,Number,3,37823
3479,r013,1975,All engineering graduate students,Full time,Percent,3,55.4
3479,r014,1975,All engineering graduate students,Part time,Number,3,30509
3479,r015,1975,All engineering graduate students,Part time,Percent,3,44.6
3479,r016,1975,All health graduate students,Total,,2,25529
3479,r017,1975,All health graduate students,Full time,Number,3,17388
3479,r018,1975,All health graduate students,Full time,Percent,3,68.1
3479,r019,1975,All health graduate students,Part time,Number,3,8141
3479,r020,1975,All health graduate students,Part time,Percent,3,31.9
3479,r021,1976,"All science, engineering, and health graduate students",Total,,2,333716
3479,r022,1976,"All science, engineering, and health graduate students",Full time,Number,3,223412
3479,r023,1976,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
3479,r024,1976,"All science, engineering, and health graduate students",Part time,Number,3,110304
3479,r025,1976,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
3479,r026,1976,All science graduate students,Total,,2,238675
3479,r027,1976,All science graduate students,Full time,Number,3,167867
3479,r028,1976,All science graduate students,Full time,Percent,3,70.3
3479,r029,1976,All science graduate students,Part time,Number,3,70808
3479,r030,1976,All science graduate students,Part time,Percent,3,29.7
3479,r031,1976,All engineering graduate students,Total,,2,66723
3479,r032,1976,All engineering graduate students,Full time,Number,3,36948
3479,r033,1976,All engineering graduate students,Full time,Percent,3,55.4
3479,r034,1976,All engineering graduate students,Part time,Number,3,29775
3479,r035,1976,All engineering graduate students,Part time,Percent,3,44.6
3479,r036,1976,All health graduate students,Total,,2,28318
3479,r037,1976,All health graduate students,Full time,Number,3,18597
3479,r038,1976,All health graduate students,Full time,Percent,3,65.7
3479,r039,1976,All health graduate students,Part time,Number,3,9721
3479,r040,1976,All health graduate students,Part time,Percent,3,34.3
3479,r041,1977,"All science, engineering, and health graduate students",Total,,2,345374
3479,r042,1977,"All science, engineering, and health graduate students",Full time,Number,3,226738
3479,r043,1977,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
3479,r044,1977,"All science, engineering, and health graduate students",Part time,Number,3,118636
3479,r045,1977,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
3479,r046,1977,All science graduate students,Total,,2,242932
3479,r047,1977,All science graduate students,Full time,Number,3,169184
3479,r048,1977,All science graduate students,Full time,Percent,3,69.6
3479,r049,1977,All science graduate students,Part time,Number,3,73748
3479,r050,1977,All science graduate students,Part time,Percent,3,30.4
3479,r051,1977,All engineering graduate students,Total,,2,68757
3479,r052,1977,All engineering graduate students,Full time,Number,3,37227
3479,r053,1977,All engineering graduate students,Full time,Percent,3,54.1
