table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_average_number_of_months_funded,field_average_number_of_months_federally_funded,field_average_number_of_grants,field_median_team_size
9335,r001,All funded doctorate recipients,All funded doctorate recipients,,,,1,34.8,30.8,3.6,6.0
9335,r002,All funded doctorate recipients -> Field of study,All funded doctorate recipients,Field of study,,,2,,,,
9335,r003,All funded doctorate recipients -> Field of study -> S&E fields,All funded doctorate recipients,Field of study,S&E fields,,3,36.4,31.5,3.7,6.0
9335,r004,All funded doctorate recipients -> Field of study -> S&E fields -> Life sciences,All funded doctorate recipients,Field of study,S&E fields,Life sciences,4,41.2,36.6,3.9,6.0
9335,r005,All funded doctorate recipients -> Field of study -> S&E fields -> Mathematics and computer sciences,All funded doctorate recipients,Field of study,S&E fields,Mathematics and computer sciences,4,27.1,23.1,3.4,4.0
9335,r006,All funded doctorate recipients -> Field of study -> S&E fields -> Physical sciences and earth sciences,All funded doctorate recipients,Field of study,S&E fields,Physical sciences and earth sciences,4,37.5,32.9,3.5,5.0
9335,r007,All funded doctorate recipients -> Field of study -> S&E fields -> Psychology and social sciences,All funded doctorate recipients,Field of study,S&E fields,Psychology and social sciences,4,22.8,20.8,2.9,6.0
9335,r008,All funded doctorate recipients -> Field of study -> S&E fields -> Engineering,All funded doctorate recipients,Field of study,S&E fields,Engineering,4,39.4,31.9,4.2,5.0
9335,r009,All funded doctorate recipients -> Field of study -> Non-S&E fields,All funded doctorate recipients,Field of study,Non-S&E fields,,3,21.7,21.7,2.8,9.0
9335,r010,All funded doctorate recipients -> Field of study -> Non-S&E fields -> Education,All funded doctorate recipients,Field of study,Non-S&E fields,Education,4,29.6,26.7,3.4,9.0
9335,r011,All funded doctorate recipients -> Field of study -> Non-S&E fields -> Humanities and arts,All funded doctorate recipients,Field of study,Non-S&E fields,Humanities and arts,4,12.8,12.6,2.1,12.0
9335,r012,All funded doctorate recipients -> Field of study -> Non-S&E fields -> Other non-S&E,All funded doctorate recipients,Field of study,Non-S&E fields,Other non-S&E,4,24.7,21.9,3.4,7.0
9335,r013,All funded doctorate recipients -> Sex,All funded doctorate recipients,Sex,,,2,,,,
9335,r014,All funded doctorate recipients -> Sex -> Female,All funded doctorate recipients,Sex,Female,,3,33.4,30.6,3.5,6.0
9335,r015,All funded doctorate recipients -> Sex -> Male,All funded doctorate recipients,Sex,Male,,3,35.8,31.0,3.7,5.0
9335,r016,All funded doctorate recipients -> Race and ethnicity,All funded doctorate recipients,Race and ethnicity,,,2,,,,
9335,r017,All funded doctorate recipients -> Race and ethnicity -> Hispanic or Latino<sup>a</sup>,All funded doctorate recipients,Race and ethnicity,Hispanic or Latino<sup>a</sup>,,3,34.7,31.3,3.4,6.5
9335,r018,All funded doctorate recipients -> Race and ethnicity -> Asian<sup>b</sup>,All funded doctorate recipients,Race and ethnicity,Asian<sup>b</sup>,,3,36.7,30.8,3.8,5.0
9335,r019,All funded doctorate recipients -> Race and ethnicity -> Black or African American<sup>b</sup>,All funded doctorate recipients,Race and ethnicity,Black or African American<sup>b</sup>,,3,29.1,27.4,2.9,8.0
9335,r020,All funded doctorate recipients -> Race and ethnicity -> White<sup>b</sup>,All funded doctorate recipients,Race and ethnicity,White<sup>b</sup>,,3,35.1,31.8,3.6,6.0
9335,r021,All funded doctorate recipients -> Race and ethnicity -> Other race<sup>c</sup>,All funded doctorate recipients,Race and ethnicity,Other race<sup>c</sup>,,3,28.3,26.0,3.2,5.0
9335,r022,All funded doctorate recipients -> Primary source of financial support,All funded doctorate recipients,Primary source of financial support,,,2,,,,
9335,r023,All funded doctorate recipients -> Primary source of financial support -> Teaching assistantships,All funded doctorate recipients,Primary source of financial support,Teaching assistantships,,3,17.7,16.1,2.6,5.0
9335,r024,All funded doctorate recipients -> Primary source of financial support -> Research assistantships or traineeships,All funded doctorate recipients,Primary source of financial support,Research assistantships or traineeships,,3,43.6,36.4,4.2,6.0
9335,r025,"All funded doctorate recipients -> Primary source of financial support -> Fellowships, scholarships, or dissertation grants",All funded doctorate recipients,Primary source of financial support,"Fellowships, scholarships, or dissertation grants",,3,33.5,30.5,3.4,6.0
9335,r026,All funded doctorate recipients -> Primary source of financial support -> Own resources,All funded doctorate recipients,Primary source of financial support,Own resources,,3,26.6,26.8,3.4,7.0
9335,r027,All funded doctorate recipients -> Primary source of financial support -> Other support,All funded doctorate recipients,Primary source of financial support,Other support,,3,28.3,25.9,3.4,5.0
9335,r028,All funded doctorate recipients -> Graduate education-related debt,All funded doctorate recipients,Graduate education-related debt,,,2,,,,
9335,r029,All funded doctorate recipients -> Graduate education-related debt -> No debt,All funded doctorate recipients,Graduate education-related debt,No debt,,3,36.7,32.0,3.7,6.0
9335,r030,"All funded doctorate recipients -> Graduate education-related debt -> $60,000 or less",All funded doctorate recipients,Graduate education-related debt,"$60,000 or less",,3,31.6,28.4,3.5,6.0
9335,r031,"All funded doctorate recipients -> Graduate education-related debt -> $60,001 or more",All funded doctorate recipients,Graduate education-related debt,"$60,001 or more",,3,29.8,27.6,3.4,7.0
9335,r032,All funded doctorate recipients -> Graduate education-related debt -> Unknown debt,All funded doctorate recipients,Graduate education-related debt,Unknown debt,,3,28.3,26.4,3.2,5.0
