table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_level_3,_b_institution_b_hierarchy_depth,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
11353,r001,All HHE institutions,All HHE institutions,,,1,3610231,4428,27537,383193,137530,14225,15247,20140,1491,1879589,117862,910811,90135,8044
11353,r002,All HHE institutions -> Top 20 recipient institutions,All HHE institutions,Top 20 recipient institutions,,2,2882191,4428,12298,300410,121157,8478,5152,18112,1491,1608339,106961,622491,68192,4679
11353,r003,All HHE institutions -> Top 20 recipient institutions -> U. Arizona,All HHE institutions,Top 20 recipient institutions,U. Arizona,3,364661,0,2586,41374,5018,86,0,0,0,200902,46834,55907,11955,0
11353,r004,"All HHE institutions -> Top 20 recipient institutions -> U. California, Irvine",All HHE institutions,Top 20 recipient institutions,"U. California, Irvine",3,283095,0,1842,14520,12275,454,0,3940,0,196447,4338,49277,0,0
11353,r005,"All HHE institutions -> Top 20 recipient institutions -> U. Texas, The, Austin<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"U. Texas, The, Austin<sup>b</sup>",3,280796,0,728,41584,44861,983,82,4339,741,80356,11802,94820,0,500
11353,r006,All HHE institutions -> Top 20 recipient institutions -> Arizona State U.<sup>b</sup>,All HHE institutions,Top 20 recipient institutions,Arizona State U.<sup>b</sup>,3,218246,4428,1050,34157,6299,0,200,2373,0,58136,20146,89170,2138,150
11353,r007,"All HHE institutions -> Top 20 recipient institutions -> U. Texas M. D. Anderson Cancer Center, The",All HHE institutions,Top 20 recipient institutions,"U. Texas M. D. Anderson Cancer Center, The",3,206906,0,0,28889,0,0,0,0,0,177774,0,242,0,0
11353,r008,"All HHE institutions -> Top 20 recipient institutions -> U. Illinois, Chicago",All HHE institutions,Top 20 recipient institutions,"U. Illinois, Chicago",3,197417,0,0,12987,2650,0,869,148,0,155406,0,25328,0,29
11353,r009,"All HHE institutions -> Top 20 recipient institutions -> U. Texas Medical Branch at Galveston, The<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"U. Texas Medical Branch at Galveston, The<sup>b</sup>",3,168877,0,0,1309,0,0,0,0,0,164765,316,0,1863,624
11353,r010,All HHE institutions -> Top 20 recipient institutions -> U. New Mexico<sup>b</sup>,All HHE institutions,Top 20 recipient institutions,U. New Mexico<sup>b</sup>,3,149074,0,374,15601,5275,635,0,750,0,92293,1328,31338,981,500
11353,r011,"All HHE institutions -> Top 20 recipient institutions -> U. California, Santa Barbara<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"U. California, Santa Barbara<sup>b</sup>",3,129808,0,543,28460,10751,293,0,0,0,17540,6003,64568,1650,0
11353,r012,"All HHE institutions -> Top 20 recipient institutions -> U. Texas Health Science Center, The, Houston<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"U. Texas Health Science Center, The, Houston<sup>b</sup>",3,127704,0,0,6627,0,0,0,2217,0,116757,124,1050,928,0
11353,r013,"All HHE institutions -> Top 20 recipient institutions -> U. Texas Health Science Center, The, San Antonio",All HHE institutions,Top 20 recipient institutions,"U. Texas Health Science Center, The, San Antonio",3,113446,0,0,9043,0,0,0,0,0,104403,0,0,0,0
11353,r014,"All HHE institutions -> Top 20 recipient institutions -> U. California, Riverside",All HHE institutions,Top 20 recipient institutions,"U. California, Riverside",3,100105,0,0,11964,5133,57,0,884,0,35822,0,40040,6205,0
11353,r015,All HHE institutions -> Top 20 recipient institutions -> Florida International U.,All HHE institutions,Top 20 recipient institutions,Florida International U.,3,93036,0,1082,6433,1703,978,0,426,0,42396,883,35305,1893,1937
11353,r016,"All HHE institutions -> Top 20 recipient institutions -> Texas A&M U., College Station<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"Texas A&M U., College Station<sup>b</sup>",3,90683,0,2399,471,7433,183,0,0,0,22309,0,36242,21196,450
11353,r017,All HHE institutions -> Top 20 recipient institutions -> U. Central Florida<sup>b</sup>,All HHE institutions,Top 20 recipient institutions,U. Central Florida<sup>b</sup>,3,81211,0,90,25749,4546,3223,0,500,0,11597,7981,27035,0,489
11353,r018,"All HHE institutions -> Top 20 recipient institutions -> U. California, Santa Cruz<sup>b</sup>",All HHE institutions,Top 20 recipient institutions,"U. California, Santa Cruz<sup>b</sup>",3,76842,0,945,9976,0,789,0,0,0,39289,2046,23046,750,0
11353,r019,"All HHE institutions -> Top 20 recipient institutions -> New Mexico State U., Las Cruces",All HHE institutions,Top 20 recipient institutions,"New Mexico State U., Las Cruces",3,57340,0,259,4551,2166,654,4001,0,0,17368,3203,8705,16433,0
11353,r020,"All HHE institutions -> Top 20 recipient institutions -> U. Texas, The, El Paso",All HHE institutions,Top 20 recipient institutions,"U. Texas, The, El Paso",3,48885,0,0,2888,45,0,0,0,0,17739,1555,25909,750,0
11353,r021,All HHE institutions -> Top 20 recipient institutions -> U. Houston,All HHE institutions,Top 20 recipient institutions,U. Houston,3,48487,0,400,0,3901,143,0,2535,750,40758,0,0,0,0
11353,r022,"All HHE institutions -> Top 20 recipient institutions -> U. Texas, The, San Antonio",All HHE institutions,Top 20 recipient institutions,"U. Texas, The, San Antonio",3,45572,0,0,3827,9101,0,0,0,0,16282,402,14509,1450,0
11353,r023,All HHE institutions -> All other HHE institutions,All HHE institutions,All other HHE institutions,,2,728046,0,15238,82784,16372,5746,10095,2028,0,271255,10901,288322,21942,3364
