table_id,row_id,_b_occupation_group_and_race_or_ethnicity_b_full_path,_b_occupation_group_and_race_or_ethnicity_b_level_1,_b_occupation_group_and_race_or_ethnicity_b_level_2,_b_occupation_group_and_race_or_ethnicity_b_level_3,_b_occupation_group_and_race_or_ethnicity_b_hierarchy_depth,field_with_a_bachelor_s_degree_or_higher,field_less_than_a_bachelor_s_degree_stw_
11007,r001,STEM workers,STEM workers,,,1,,
11007,r002,STEM workers -> Hispanic,STEM workers,Hispanic,,2,8.7,20.3
11007,r003,STEM workers -> White,STEM workers,White,,2,63.7,62.2
11007,r004,STEM workers -> Asian,STEM workers,Asian,,2,16.0,3.6
11007,r005,STEM workers -> American Indian or Alaska Native,STEM workers,American Indian or Alaska Native,,2,0.2,0.5
11007,r006,STEM workers -> Black or African American,STEM workers,Black or African American,,2,7.1,9.2
11007,r007,STEM workers -> Other race alone or in combination,STEM workers,Other race alone or in combination,,2,4.3,4.2
11007,r008,STEM workers -> S&E workers,STEM workers,S&E workers,,2,,
11007,r009,STEM workers -> S&E workers -> Hispanic,STEM workers,S&E workers,Hispanic,3,8.3,13.6
11007,r010,STEM workers -> S&E workers -> White,STEM workers,S&E workers,White,3,59.5,65.6
11007,r011,STEM workers -> S&E workers -> Asian,STEM workers,S&E workers,Asian,3,21.6,5.5
11007,r012,STEM workers -> S&E workers -> American Indian or Alaska Native,STEM workers,S&E workers,American Indian or Alaska Native,3,0.1,0.4
11007,r013,STEM workers -> S&E workers -> Black or African American,STEM workers,S&E workers,Black or African American,3,6.0,9.7
11007,r014,STEM workers -> S&E workers -> Other race alone or in combination,STEM workers,S&E workers,Other race alone or in combination,3,4.4,5.2
11007,r015,STEM workers -> S&E-related workers,STEM workers,S&E-related workers,,2,,
11007,r016,STEM workers -> S&E-related workers -> Hispanic,STEM workers,S&E-related workers,Hispanic,3,8.3,14.3
11007,r017,STEM workers -> S&E-related workers -> White,STEM workers,S&E-related workers,White,3,66.4,63.4
11007,r018,STEM workers -> S&E-related workers -> Asian,STEM workers,S&E-related workers,Asian,3,13.1,4.5
11007,r019,STEM workers -> S&E-related workers -> American Indian or Alaska Native,STEM workers,S&E-related workers,American Indian or Alaska Native,3,0.2,0.5
11007,r020,STEM workers -> S&E-related workers -> Black or African American,STEM workers,S&E-related workers,Black or African American,3,7.8,12.7
11007,r021,STEM workers -> S&E-related workers -> Other race alone or in combination,STEM workers,S&E-related workers,Other race alone or in combination,3,4.2,4.5
11007,r022,STEM workers -> STEM middle-skill workers,STEM workers,STEM middle-skill workers,,2,,
11007,r023,STEM workers -> STEM middle-skill workers -> Hispanic,STEM workers,STEM middle-skill workers,Hispanic,3,12.6,23.9
11007,r024,STEM workers -> STEM middle-skill workers -> White,STEM workers,STEM middle-skill workers,White,3,67.8,61.1
11007,r025,STEM workers -> STEM middle-skill workers -> Asian,STEM workers,STEM middle-skill workers,Asian,3,7.3,2.9
11007,r026,STEM workers -> STEM middle-skill workers -> American Indian or Alaska Native,STEM workers,STEM middle-skill workers,American Indian or Alaska Native,3,0.3,0.5
11007,r027,STEM workers -> STEM middle-skill workers -> Black or African American,STEM workers,STEM middle-skill workers,Black or African American,3,7.7,7.6
11007,r028,STEM workers -> STEM middle-skill workers -> Other race alone or in combination,STEM workers,STEM middle-skill workers,Other race alone or in combination,3,4.3,3.9
