table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9055,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['15,391', '&nbsp;']","['5,600,668', '&nbsp;']","['9,892', '&nbsp;']","['2,514,365', '&nbsp;']","['5,501', '&nbsp;']","['3,086,303', '&nbsp;']"
9055,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9055,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['11,879', '&nbsp;']","['4,250,837', '&nbsp;']","['7,568', '&nbsp;']","['1,965,834', '&nbsp;']","['4,312', '&nbsp;']","['2,285,003', '&nbsp;']"
9055,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['2,808', '&nbsp;']","['915,999', '&nbsp;']","['1,826', '&nbsp;']","['368,694', '&nbsp;']","['981', '&nbsp;']","['547,305', '&nbsp;']"
9055,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['158', '&nbsp;']","['41,358', '&nbsp;']","['139', '&nbsp;']","['34,375', '&nbsp;']","['20', '&nbsp;']","['6,983', '&nbsp;']"
9055,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['85', '&nbsp;']","['18,837', '&nbsp;']","['39', '&nbsp;']","['8,292', 'r']","['47', 'r']","['10,545', 'r']"
9055,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['8', 'r']","['630', '&nbsp;']","['0', '&nbsp;']","['263', '&nbsp;']","['7', 'r']","['367', 'r']"
9055,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9055,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['505', '&nbsp;']","['140,238', '&nbsp;']","['370', '&nbsp;']","['71,446', '&nbsp;']","['134', '&nbsp;']","['68,792', '&nbsp;']"
9055,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic/not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic/not Hispanic,,3,"['57', '&nbsp;']","['10,103', '&nbsp;']","['32', '&nbsp;']","['4,232', '&nbsp;']","['25', '&nbsp;']","['5,870', '&nbsp;']"
9055,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['14,496', '&nbsp;']","['5,120,171', '&nbsp;']","['9,311', '&nbsp;']","['2,348,895', '&nbsp;']","['5,186', '&nbsp;']","['2,771,276', '&nbsp;']"
9055,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9055,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['3,567', '&nbsp;']","['1,124,531', '&nbsp;']","['2,381', '&nbsp;']","['487,781', '&nbsp;']","['1,187', '&nbsp;']","['636,751', '&nbsp;']"
9055,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['733', '&nbsp;']","['199,039', '&nbsp;']","['536', '&nbsp;']","['112,982', '&nbsp;']","['198', '&nbsp;']","['86,057', '&nbsp;']"
9055,r015,All companies (race and ethnicity) -> Minority status -> Equally minority/non-minority,All companies (race and ethnicity),Minority status,Equally minority/non-minority,,3,"['394', '&nbsp;']","['105,620', '&nbsp;']","['321', '&nbsp;']","['77,724', '&nbsp;']","['74', '&nbsp;']","['27,896', '&nbsp;']"
9055,r016,All companies (race and ethnicity) -> Minority status -> Non-minority,All companies (race and ethnicity),Minority status,Non-minority,,3,"['11,097', '&nbsp;']","['4,040,361', '&nbsp;']","['7,014', '&nbsp;']","['1,859,069', '&nbsp;']","['4,084', '&nbsp;']","['2,181,292', '&nbsp;']"
9055,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['334', '&nbsp;']","['330,156', '&nbsp;']","['178', '&nbsp;']","['89,791', '&nbsp;']","['155', '&nbsp;']","['240,365', '&nbsp;']"
