table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9589,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
9589,r002,Cumulative debt -> All reporting education-related debt (number),Cumulative debt,All reporting education-related debt (number),,2,"['52,147', '']","['41,859', '']","['1,189', '']","['8,795', '']","['1,972', '']","['9,767', '']","['1,078', '']","['2,498', '']","['1,946', '']","['1,587', '']","['5,012', '']","['3,345', '']","['4,670', '']","['10,288', '']","['1,233', '']","['3,408', '']","['2,998', '']","['755', '']","['1,894', '']"
9589,r003,Cumulative debt -> Median debt (dollars),Cumulative debt,Median debt (dollars),,2,"['40,000', '']","['35,000', '']","['35,000', '']","['30,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['70,000', '']","['25,000', '']","['30,000', '']","['25,000', '']","['80,000', '']","['50,000', '']","['60,000', '']","['45,000', '']","['75,000', '']","['50,000', '']","['45,000', '']","['65,000', '']"
9589,r004,Cumulative debt -> ,Cumulative debt,,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
9589,r005,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['32,381', '62.1']","['27,126', '64.8']","['731', '61.5']","['5,487', '62.4']","['1,605', '81.4']","['7,196', '73.7']","['733', '68.0']","['1,263', '50.6']","['1,491', '76.6']","['1,156', '72.8']","['3,373', '67.3']","['1,342', '40.1']","['2,749', '58.9']","['5,255', '51.1']","['836', '67.8']","['1,473', '43.2']","['1,593', '53.1']","['384', '50.9']","['969', '51.2']"
9589,r006,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['3,538', '6.8']","['2,883', '6.9']","['100', '8.4']","['643', '7.3']","['110', '5.6']","['713', '7.3']","['95', '8.8']","['155', '6.2']","['92', '4.7']","['100', '6.3']","['387', '7.7']","['170', '5.1']","['318', '6.8']","['655', '6.4']","['76', '6.2']","['196', '5.8']","['208', '6.9']","['58', '7.7']","['117', '6.2']"
9589,r007,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['2,639', '5.1']","['2,098', '5.0']","['66', '5.6']","['545', '6.2']","['66', '3.3']","['423', '4.3']","['59', '5.5']","['105', '4.2']","['87', '4.5']","['65', '4.1']","['299', '6.0']","['158', '4.7']","['225', '4.8']","['541', '5.3']","['49', '4.0']","['168', '4.9']","['182', '6.1']","['50', '6.6']","['92', '4.9']"
9589,r008,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['2,306', '4.4']","['1,868', '4.5']","['56', '4.7']","['486', '5.5']","['48', '2.4']","['377', '3.9']","['44', '4.1']","['99', '4.0']","['59', '3.0']","['63', '4.0']","['254', '5.1']","['179', '5.4']","['203', '4.3']","['438', '4.3']","['39', '3.2']","['156', '4.6']","['137', '4.6']","['40', '5.3']","['66', '3.5']"
9589,r009,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['1,693', '3.2']","['1,313', '3.1']","['37', '3.1']","['379', '4.3']","['28', '1.4']","['237', '2.4']","['30', '2.8']","['66', '2.6']","['46', '2.4']","['37', '2.3']","['174', '3.5']","['142', '4.2']","['137', '2.9']","['380', '3.7']","['31', '2.5']","['132', '3.9']","['124', '4.1']","['29', '3.8']","['64', '3.4']"
9589,r010,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['1,216', '2.3']","['918', '2.2']","['34', '2.9']","['232', '2.6']","['23', '1.2']","['120', '1.2']","['17', '1.6']","['64', '2.6']","['30', '1.5']","['24', '1.5']","['116', '2.3']","['134', '4.0']","['124', '2.7']","['298', '2.9']","['24', '1.9']","['105', '3.1']","['89', '3.0']","['22', '2.9']","['58', '3.1']"
9589,r011,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['1,035', '2.0']","['741', '1.8']","['21', '1.8']","['162', '1.8']","['11', '0.6']","['131', '1.3']","['22', '2.0']","['69', '2.8']","['20', '1.0']","['14', '0.9']","['82', '1.6']","['92', '2.8']","['117', '2.5']","['294', '2.9']","['20', '1.6']","['94', '2.8']","['94', '3.1']","['28', '3.7']","['58', '3.1']"
9589,r012,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['871', '1.7']","['623', '1.5']","['19', '1.6']","['135', '1.5']","['11', '0.6']","['101', '1.0']","['17', '1.6']","['77', '3.1']","['15', '0.8']","['19', '1.2']","['68', '1.4']","['79', '2.4']","['82', '1.8']","['248', '2.4']","['11', '0.9']","['116', '3.4']","['60', '2.0']","['15', '2.0']","['46', '2.4']"
9589,r013,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['694', '1.3']","['501', '1.2']","['21', '1.8']","['99', '1.1']","['D', 'D']","['70', '0.7']","['D', 'D']","['59', '2.4']","['20', '1.0']","['11', '0.7']","['49', '1.0']","['81', '2.4']","['75', '1.6']","['193', '1.9']","['12', '1.0']","['82', '2.4']","['44', '1.5']","['14', '1.9']","['41', '2.2']"
9589,r014,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['721', '1.4']","['495', '1.2']","['12', '1.0']","['108', '1.2']","['7', '0.4']","['65', '0.7']","['6', '0.6']","['61', '2.4']","['12', '0.6']","['15', '0.9']","['42', '0.8']","['85', '2.5']","['82', '1.8']","['226', '2.2']","['10', '0.8']","['96', '2.8']","['59', '2.0']","['20', '2.6']","['41', '2.2']"
9589,r015,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['802', '1.5']","['599', '1.4']","['15', '1.3']","['129', '1.5']","['11', '0.6']","['94', '1.0']","['14', '1.3']","['65', '2.6']","['20', '1.0']","['17', '1.1']","['55', '1.1']","['113', '3.4']","['66', '1.4']","['203', '2.0']","['7', '0.6']","['102', '3.0']","['49', '1.6']","['8', '1.1']","['37', '2.0']"
