table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_humanities_fields,field_english_language_and_literature_letters,field_foreign_languages_literatures_and_linguistics,field_history,field_philosophy_and_religious_studies,field_humanities_other
11735,r001,Doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),,,,,1,2950,916,501,665,555,313
11735,r002,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,,2,16.7,12.1,13.8,23.2,24.7,7.3
11735,r003,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Definite employment plans,,,,2,49.9,53.8,49.7,43.9,44.1,62.0
11735,r004,Doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,,2,29.9,31.6,32.1,28.6,28.6,26.8
11735,r005,Doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,,2,3.2,2.4,4.4,4.1,2.3,3.5
11735,r006,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,,2,,,,,,
11735,r007,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,,3,95.5,90.1,95.7,96.1,99.3,95.7
11735,r008,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,,3,4.5,9.9,4.3,3.9,0.7,4.3
11735,r009,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,,2,,,,,,
11735,r010,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,,3,67.2,73.8,75.1,61.3,66.9,49.5
11735,r011,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),,4,33.3,34.1,29.4,34.6,36.0,31.3
11735,r012,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),,4,64.5,64.8,67.9,62.0,62.8,64.6
11735,r013,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,,3,3.9,,,9.2,4.1,3.1
