table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_doda,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_otherb
11243,r001,All systems,All systems,,1,-,17756234,210134,1921965,741171,99191,19003,10153260,835042,2988525,665245,122698
11243,r002,All systems -> U. California System,All systems,U. California System,2,1,3810224,23901,340723,122910,8266,5898,2556321,170066,520406,52252,9481
11243,r003,All systems -> U. Texas System,All systems,U. Texas System,2,2,1353107,1095,172324,56524,6556,741,938557,19376,150226,5537,2172
11243,r004,All systems -> U. North Carolina System,All systems,U. North Carolina System,2,3,889667,13004,48027,28485,7974,3092,627238,4468,111044,41621,4714
11243,r005,All systems -> State U. System of Florida,All systems,State U. System of Florida,2,4,849493,8529,91970,23831,10261,0,448357,27786,175836,49792,13131
11243,r006,All systems -> Columbia U. System,All systems,Columbia U. System,2,5,812062,2518,39424,14330,2270,0,641187,22809,88342,958,223
11243,r007,All systems -> U. Colorado System,All systems,U. Colorado System,2,6,754809,42424,52410,19821,294,992,349677,166896,120145,988,1163
11243,r008,All systems -> U. System of Georgia,All systems,U. System of Georgia,2,7,666027,8178,210403,35435,2705,1500,221570,21535,113891,47046,3763
11243,r009,All systems -> U. System of Maryland,All systems,U. System of Maryland,2,8,632258,20057,83438,13159,3110,1350,294356,103656,92665,19610,858
11243,r010,All systems -> U. System of Ohio,All systems,U. System of Ohio,2,9,612437,674,87380,29583,7790,0,339549,7174,94580,39916,5792
11243,r011,All systems -> U. Wisconsin System,All systems,U. Wisconsin System,2,10,596164,7549,34535,62698,3479,742,342028,18099,96081,30142,810
11243,r012,All systems -> Arizona U. System,All systems,Arizona U. System,2,11,590750,3983,87839,15234,2373,0,262795,70254,133973,8266,6033
11243,r013,All systems -> U. Minnesota System,All systems,U. Minnesota System,2,12,570913,1326,27338,19775,3830,982,416587,6961,69904,23717,494
11243,r014,All systems -> U. Illinois System,All systems,U. Illinois System,2,13,503444,369,51046,55287,148,1000,221622,12141,141624,17424,2783
11243,r015,All systems -> U. Alabama System,All systems,U. Alabama System,2,14,430130,3148,30244,8276,402,0,324099,26360,32859,25,4718
11243,r016,All systems -> Utah System of Higher Education,All systems,Utah System of Higher Education,2,15,428000,898,66539,39775,487,0,236800,13590,63974,5402,536
11243,r017,All systems -> SUNY System,All systems,SUNY System,2,16,393879,8221,62722,18609,1244,0,199757,4873,94103,3285,1065
11243,r018,All systems -> Texas A&M U. System,All systems,Texas A&M U. System,2,17,363498,6726,30204,26378,7084,750,87064,7999,124573,65076,7642
11243,r019,All systems -> Massachusetts Public Higher Education System,All systems,Massachusetts Public Higher Education System,2,18,326331,1689,22949,7061,1469,466,218057,8977,53692,11575,396
11243,r020,All systems -> Indiana U. System,All systems,Indiana U. System,2,19,318423,4216,11012,4709,359,0,255941,341,37141,1688,3015
