table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
12541,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,9924,5396,3162,1366,6322.4,3673.7,1763.6,885.1
12541,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,99,66,15,18,97.1,66.0,14.3,16.8
12541,r003,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,26,26,0,0,26.0,26.0,0.0,0.0
12541,r004,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,2,2,0,0,2.0,2.0,0.0,0.0
12541,r005,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,34,28,3,3,32.1,28.0,2.3,1.8
12541,r006,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,31,7,12,12,31.0,7.0,12.0,12.0
12541,r007,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,6,3,0,3,6.0,3.0,0.0,3.0
12541,r008,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,90,54,21,15,71.3,46.5,16.1,8.7
12541,r009,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,6,1,1,4,0.8,0.5,0.1,0.2
12541,r010,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,62,40,15,7,62.0,40.0,15.0,7.0
12541,r011,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,16,10,5,1,5.0,3.0,1.0,1.0
12541,r012,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,6,3,0,3,3.5,3.0,0.0,0.5
