table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_higher_education_subrecipients,field_total_to_businesses,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_higher_education_subrecipients,field_federally_financed_to_businesses,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
8021,r001,United States,United States,,,,1,"['7,576,989', '']","['4,070,435', '']","['1,487,533', '']","['1,382,664', '']","['636,357', '']","['6,537,697', '']","['3,648,190', '']","['1,222,751', '']","['1,177,985', '']","['488,771', '']"
8021,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['202', 'i']","['35', 'i']","['105', 'i']","['0', 'i']","['62', 'i']","['202', 'i']","['35', 'i']","['105', 'i']","['0', 'i']","['62', 'i']"
8021,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['350', '']","['350', '']","['0', '']","['0', '']","['0', '']","['350', '']","['350', '']","['0', '']","['0', '']","['0', '']"
8021,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['8,442', '']","['4,735', 'i']","['1,708', 'i']","['544', 'i']","['1,455', 'i']","['8,237', '']","['4,550', 'i']","['1,688', 'i']","['544', 'i']","['1,455', 'i']"
8021,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['68', '']","['68', '']","['0', '']","['0', '']","['0', '']","['68', '']","['68', '']","['0', '']","['0', '']","['0', '']"
8021,r008,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['255', '']","['235', '']","['0', '']","['20', '']","['0', '']","['255', '']","['235', '']","['0', '']","['20', '']","['0', '']"
8021,r009,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['73,982', '']","['42,101', '']","['23,116', '']","['8,453', '']","['312', '']","['68,838', '']","['42,078', '']","['20,676', '']","['5,829', '']","['255', '']"
8021,r010,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['4,484', '']","['3,739', '']","['150', '']","['595', '']","['0', '']","['4,453', '']","['3,708', '']","['150', '']","['595', '']","['0', '']"
8021,r011,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['5,253', '']","['2,998', '']","['1,224', '']","['513', '']","['518', '']","['4,982', '']","['2,796', '']","['1,192', '']","['476', '']","['518', '']"
8021,r012,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['3,522', '']","['1,938', '']","['122', '']","['226', '']","['1,236', '']","['2,758', '']","['1,721', '']","['122', '']","['218', '']","['697', '']"
8021,r013,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r014,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,200', '']","['1,100', '']","['88', '']","['12', '']","['0', '']","['1,200', '']","['1,100', '']","['88', '']","['12', '']","['0', '']"
8021,r015,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r016,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r017,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['2,168', '']","['11', '']","['NA', '']","['NA', '']","['2,157', '']","['2,168', '']","['11', '']","['0', '']","['0', '']","['2,157', '']"
8021,r018,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['14,941', '']","['NA', 'i']","['NA', 'i']","['13', '']","['14,928', 'i']","['14,941', '']","['0', '']","['0', '']","['13', '']","['14,928', '']"
8021,r019,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['44', '']","['0', '']","['0', '']","['0', '']","['44', '']","['44', '']","['0', '']","['0', '']","['0', '']","['44', '']"
8021,r020,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r021,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r022,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r023,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r024,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['59,196', '']","['24,871', '']","['18,342', '']","['11,833', '']","['4,150', '']","['53,670', '']","['22,141', '']","['17,616', '']","['10,351', '']","['3,562', '']"
8021,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['5,542', '']","['1,713', '']","['1,875', '']","['1,160', '']","['794', '']","['5,492', '']","['1,686', '']","['1,875', '']","['1,137', '']","['794', '']"
8021,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['49,787', '']","['26,936', '']","['12,373', '']","['8,798', '']","['1,680', '']","['48,495', '']","['25,994', '']","['12,258', '']","['8,692', '']","['1,551', '']"
8021,r027,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r028,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r029,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['294', '']","['294', '']","['0', '']","['0', '']","['0', '']","['287', '']","['287', '']","['0', '']","['0', '']","['0', '']"
8021,r030,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['10,172', '']","['8,156', '']","['888', '']","['1,070', '']","['58', '']","['9,503', '']","['7,663', '']","['886', '']","['927', '']","['27', '']"
