table_id,row_id,time_period,2017_satisfaction_class_level_1,2017_satisfaction_class_level_2,2017_satisfaction_class_hierarchy_depth,value
9171,r001_1,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.641
9171,r001_2,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.07
9171,r001_3,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.026
9171,r001_4,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.065
9171,r001_5,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.198
9171,r001_6,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2015 race and ethnicity,,1,Asian
9171,r002_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.657
9171,r002_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.063
9171,r002_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.033
9171,r002_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.109
9171,r002_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.138
9171,r002_6,,2015 race and ethnicity,,1,Black
9171,r003_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.699
9171,r003_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.081
9171,r003_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.034
9171,r003_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.078
9171,r003_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.108
9171,r003_6,,2015 race and ethnicity,,1,Hispanic
9171,r004_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.731
9171,r004_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.088
9171,r004_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.023
9171,r004_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.064
9171,r004_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.094
9171,r004_6,,2015 race and ethnicity,,1,White
9171,r005_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.676
9171,r005_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.053
9171,r005_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.046
9171,r005_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.079
9171,r005_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.145
9171,r005_6,,2015 race and ethnicity,,1,Other
9171,r006_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.705
9171,r006_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.085
9171,r006_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.031
9171,r006_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.069
9171,r006_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.109
9171,r006_6,,2015 race and ethnicity,,1,Entire sample
9171,r007_1,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.094
9171,r007_2,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.659
9171,r007_3,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.132
9171,r007_4,Very Satisfied with Everything (Class 2),2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.02
9171,r007_5,Very Satisfied with Everything (Class 2),2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.094
9171,r007_6,Very Satisfied with Everything (Class 2),2015 race and ethnicity,,1,Asian
9171,r008_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.11
9171,r008_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.707
9171,r008_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.125
9171,r008_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.011
9171,r008_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.048
9171,r008_6,,2015 race and ethnicity,,1,Black
9171,r009_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.081
9171,r009_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.717
9171,r009_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.14
9171,r009_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.023
9171,r009_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.039
9171,r009_6,,2015 race and ethnicity,,1,Hispanic
9171,r010_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.069
9171,r010_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.795
9171,r010_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.102
9171,r010_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.011
9171,r010_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.023
9171,r010_6,,2015 race and ethnicity,,1,White
9171,r011_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.023
9171,r011_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.757
9171,r011_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.144
9171,r011_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.025
9171,r011_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.052
9171,r011_6,,2015 race and ethnicity,,1,Other
