table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_graduate_students_number,field_all_graduate_students_percent,field_master_s_students_number,field_master_s_students_percent,field_doctoral_students_number,field_doctoral_students_percent
6041,r001,Institutions,Institutions,,,,,1,388,54.5,352,49.4,194,27.2
6041,r002,Schools,Schools,,,,,1,415,51.5,370,45.9,209,25.9
6041,r003,Units,Units,,,,,1,942,4.5,679,3.2,433,2.0
6041,r004,All graduate students,All graduate students,,,,,1,40894,100.0,30376,100.0,10518,100.0
6041,r005,All graduate students -> Male,All graduate students,Male,,,,2,9314,22.8,5944,19.6,3370,32.0
6041,r006,All graduate students -> Female,All graduate students,Female,,,,2,31580,77.2,24432,80.4,7148,68.0
6041,r007,All graduate students -> U.S. citizens and permanent residents<sup>a</sup>,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,,,,2,36450,89.1,28594,94.1,7856,74.7
6041,r008,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,4716,11.5,4065,13.4,651,6.2
6041,r009,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,
6041,r010,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,111,0.3,88,0.3,23,0.2
6041,r011,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,2692,6.6,1996,6.6,696,6.6
6041,r012,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,3156,7.7,2253,7.4,903,8.6
6041,r013,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,55,0.1,47,0.2,8,0.1
6041,r014,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,23127,56.6,18101,59.6,5026,47.8
6041,r015,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,1049,2.6,836,2.8,213,2.0
6041,r016,All graduate students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All graduate students,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,1544,3.8,1208,4.0,336,3.2
6041,r017,All graduate students -> Temporary visa holders,All graduate students,Temporary visa holders,,,,2,4444,10.9,1782,5.9,2662,25.3
6041,r018,All graduate students -> Part time,All graduate students,Part time,,,,2,11688,28.6,8384,27.6,3304,31.4
6041,r019,All graduate students -> Full time,All graduate students,Full time,,,,2,29206,71.4,21992,72.4,7214,68.6
6041,r020,All graduate students -> Full time -> First time,All graduate students,Full time,First time,,,3,10664,26.1,9330,30.7,1334,12.7
6041,r021,All graduate students -> Primary source of support for full-time students<sup>b</sup>,All graduate students,Primary source of support for full-time students<sup>b</sup>,,,,2,,,,,,
6041,r022,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,,,3,1977,4.8,712,2.3,1265,12.0
6041,r023,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> DOD,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,DOD,,4,89,0.2,41,0.1,48,0.5
6041,r024,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> DOE,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,DOE,,4,1,0.05,0,0.0,1,0.05
6041,r025,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> HHS,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,HHS,,4,1119,2.7,156,0.5,963,9.2
6041,r026,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> HHS -> NIH,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,HHS,NIH,5,952,2.3,96,0.3,856,8.1
6041,r027,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> HHS -> Other HHS,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,HHS,Other HHS,5,167,0.4,60,0.2,107,1.0
6041,r028,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> NASA,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,NASA,,4,3,0.05,0,0.0,3,0.05
6041,r029,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> NSF,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,NSF,,4,96,0.2,37,0.1,59,0.6
6041,r030,All graduate students -> Primary source of support for full-time students<sup>b</sup> -> Federal -> USDA,All graduate students,Primary source of support for full-time students<sup>b</sup>,Federal,USDA,,4,26,0.1,18,0.1,8,0.1
