table_id,row_id,ethnicity_race_and_debt_level_full_path,ethnicity_race_and_debt_level_level_1,ethnicity_race_and_debt_level_level_2,ethnicity_race_and_debt_level_level_3,ethnicity_race_and_debt_level_level_4,ethnicity_race_and_debt_level_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2831,r001,All U.S. citizen and permanent resident doctorate recipients,All U.S. citizen and permanent resident doctorate recipients,,,,1,,,,,,,,,
2831,r002,All U.S. citizen and permanent resident doctorate recipients -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Total (number)<sup>c</sup>,,,2,33411,8689,3751,1705,6266,4052,3637,3725,1586
2831,r003,"All U.S. citizen and permanent resident doctorate recipients -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,"Debt > $30,000 (%)",,,2,23.0,17.3,7.9,10.0,36.9,8.0,40.3,27.7,37.7
2831,r004,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,,,2,,,,,,,,,
2831,r005,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,Total (number)<sup>c</sup>,,3,2683,737,258,97,576,288,306,314,107
2831,r006,"All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,"Debt > $30,000 (%)",,3,30.0,19.0,15.9,16.5,44.6,12.2,51.0,33.8,50.5
2831,r007,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,
2831,r008,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,
2831,r009,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>c</sup>,4,103,23,7,,27,8,,8,6
2831,r010,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,39.8,30.4,,0.0,48.1,0.0,,,
2831,r011,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,,3,,,,,,,,,
2831,r012,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,Total (number)<sup>c</sup>,4,3297,1019,354,243,419,688,200,193,181
2831,r013,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,10.1,8.4,5.6,3.7,16.7,6.5,26.5,13.0,13.3
2831,r014,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,
2831,r015,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,Total (number)<sup>c</sup>,4,2361,522,83,67,564,172,571,168,214
2831,r016,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,56.0,46.0,24.1,34.3,66.0,18.0,66.9,60.1,71.0
2831,r017,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,,3,,,,,,,,,
2831,r018,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,Total (number)<sup>c</sup>,4,23427,5994,2865,1203,4359,2712,2391,2886,1017
2831,r019,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,20.5,15.7,6.9,9.4,33.6,7.3,33.4,25.7,33.8
2831,r020,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,,3,,,,,,,,,
2831,r021,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,Total (number)<sup>c</sup>,4,1106,294,140,67,238,122,107,102,36
2831,r022,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,25.7,21.4,5.7,11.9,40.3,8.2,48.6,33.3,36.1
2831,r023,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,
2831,r024,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>c</sup>,4,292,68,28,,58,38,,35,19
2831,r025,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,22.9,20.6,,5.0,41.4,5.3,,,
2831,r026,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,,,2,,,,,,,,,
2831,r027,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,Total (number)<sup>c</sup>,,3,142,32,16,7,25,24,13,19,6
2831,r028,"All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,"Debt > $30,000 (%)",,3,31.0,21.9,18.8,14.3,52.0,8.3,38.5,42.1,83.3
