table_id,row_id,time_period,percent_of_postdocs_who_are_br_underrepresented_minorities_level_1,percent_of_postdocs_who_are_br_underrepresented_minorities_level_2,percent_of_postdocs_who_are_br_underrepresented_minorities_hierarchy_depth,value
3797,r001_1,Number of responses,Percent of postdocs who are underrepresented minorities,None,2,148
3797,r001_2,Number of responses,Percent of postdocs who are underrepresented minorities,Under 10%,2,230
3797,r001_3,Number of responses,Percent of postdocs who are underrepresented minorities,10% or more,2,68
3797,r001_4,Number of responses,Percent of postdocs who are women,Under 25%,2,60
3797,r001_5,Number of responses,Percent of postdocs who are women,25%–49%,2,283
3797,r001_6,Number of responses,Percent of postdocs who are women,50% or more,2,103
3797,r001_7,Number of responses,Percent of postdocs who are on temporary visas,None,2,44
3797,r001_8,Number of responses,Percent of postdocs who are on temporary visas,Under 50%,2,117
3797,r001_9,Number of responses,Percent of postdocs who are on temporary visas,50% or more,2,285
3797,r002_1,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are underrepresented minorities,None,2,98.0
3797,r002_2,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,98.3
3797,r002_3,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are underrepresented minorities,10% or more,2,97.1
3797,r002_4,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are women,Under 25%,2,96.8
3797,r002_5,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are women,25%–49%,2,98.2
3797,r002_6,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are women,50% or more,2,97.1
3797,r002_7,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are on temporary visas,None,2,100.0
3797,r002_8,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are on temporary visas,Under 50%,2,95.7
3797,r002_9,Requires a PhD or an equivalent doctoral degree? ,Percent of postdocs who are on temporary visas,50% or more,2,98.6
3797,r003_1,Requires that the doctorate was recently awarded? ,Percent of postdocs who are underrepresented minorities,None,2,56.8
3797,r003_2,Requires that the doctorate was recently awarded? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,53.9
3797,r003_3,Requires that the doctorate was recently awarded? ,Percent of postdocs who are underrepresented minorities,10% or more,2,52.9
3797,r003_4,Requires that the doctorate was recently awarded? ,Percent of postdocs who are women,Under 25%,2,43.8
3797,r003_5,Requires that the doctorate was recently awarded? ,Percent of postdocs who are women,25%–49%,2,56.2
3797,r003_6,Requires that the doctorate was recently awarded? ,Percent of postdocs who are women,50% or more,2,54.4
3797,r003_7,Requires that the doctorate was recently awarded? ,Percent of postdocs who are on temporary visas,None,2,56.8
3797,r003_8,Requires that the doctorate was recently awarded? ,Percent of postdocs who are on temporary visas,Under 50%,2,52.1
3797,r003_9,Requires that the doctorate was recently awarded? ,Percent of postdocs who are on temporary visas,50% or more,2,55.4
3797,r004_1,Is a temporary position? ,Percent of postdocs who are underrepresented minorities,None,2,88.5
3797,r004_2,Is a temporary position? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,88.3
3797,r004_3,Is a temporary position? ,Percent of postdocs who are underrepresented minorities,10% or more,2,55.4
3797,r004_4,Is a temporary position? ,Percent of postdocs who are women,Under 25%,2,89.7
3797,r004_5,Is a temporary position? ,Percent of postdocs who are women,25%–49%,2,89.4
3797,r004_6,Is a temporary position? ,Percent of postdocs who are women,50% or more,2,83.5
3797,r004_7,Is a temporary position? ,Percent of postdocs who are on temporary visas,None,2,81.8
3797,r004_8,Is a temporary position? ,Percent of postdocs who are on temporary visas,Under 50%,2,85.5
3797,r004_9,Is a temporary position? ,Percent of postdocs who are on temporary visas,50% or more,2,90.5
3797,r005_1,Is intended to provide training in research? ,Percent of postdocs who are underrepresented minorities,None,2,96.0
3797,r005_2,Is intended to provide training in research? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,98.3
3797,r005_3,Is intended to provide training in research? ,Percent of postdocs who are underrepresented minorities,10% or more,2,97.1
3797,r005_4,Is intended to provide training in research? ,Percent of postdocs who are women,Under 25%,2,93.5
3797,r005_5,Is intended to provide training in research? ,Percent of postdocs who are women,25%–49%,2,98.2
3797,r005_6,Is intended to provide training in research? ,Percent of postdocs who are women,50% or more,2,95.2
3797,r005_7,Is intended to provide training in research? ,Percent of postdocs who are on temporary visas,None,2,97.7
3797,r005_8,Is intended to provide training in research? ,Percent of postdocs who are on temporary visas,Under 50%,2,96.6
3797,r005_9,Is intended to provide training in research? ,Percent of postdocs who are on temporary visas,50% or more,2,97.5
3797,r006_1,Is intended to advance professional skills? ,Percent of postdocs who are underrepresented minorities,None,2,95.3
3797,r006_2,Is intended to advance professional skills? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,97.0
3797,r006_3,Is intended to advance professional skills? ,Percent of postdocs who are underrepresented minorities,10% or more,2,95.6
3797,r006_4,Is intended to advance professional skills? ,Percent of postdocs who are women,Under 25%,2,93.2
3797,r006_5,Is intended to advance professional skills? ,Percent of postdocs who are women,25%–49%,2,96.5
3797,r006_6,Is intended to advance professional skills? ,Percent of postdocs who are women,50% or more,2,96.1
3797,r006_7,Is intended to advance professional skills? ,Percent of postdocs who are on temporary visas,None,2,97.7
3797,r006_8,Is intended to advance professional skills? ,Percent of postdocs who are on temporary visas,Under 50%,2,92.3
3797,r006_9,Is intended to advance professional skills? ,Percent of postdocs who are on temporary visas,50% or more,2,97.5
3797,r007_1,Requires a full-time commitment to research? ,Percent of postdocs who are underrepresented minorities,None,2,74.3
3797,r007_2,Requires a full-time commitment to research? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,83.9
3797,r007_3,Requires a full-time commitment to research? ,Percent of postdocs who are underrepresented minorities,10% or more,2,73.5
3797,r007_4,Requires a full-time commitment to research? ,Percent of postdocs who are women,Under 25%,2,69.4
3797,r007_5,Requires a full-time commitment to research? ,Percent of postdocs who are women,25%–49%,2,87.5
3797,r007_6,Requires a full-time commitment to research? ,Percent of postdocs who are women,50% or more,2,67.9
3797,r007_7,Requires a full-time commitment to research? ,Percent of postdocs who are on temporary visas,None,2,68.2
3797,r007_8,Requires a full-time commitment to research? ,Percent of postdocs who are on temporary visas,Under 50%,2,77.8
3797,r007_9,Requires a full-time commitment to research? ,Percent of postdocs who are on temporary visas,50% or more,2,81.4
3797,r008_1,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are underrepresented minorities,None,2,89.2
3797,r008_2,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,91.7
3797,r008_3,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are underrepresented minorities,10% or more,2,94.1
3797,r008_4,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are women,Under 25%,2,90.0
3797,r008_5,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are women,25%–49%,2,92.2
3797,r008_6,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are women,50% or more,2,87.4
3797,r008_7,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are on temporary visas,None,2,90.9
3797,r008_8,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are on temporary visas,Under 50%,2,88.0
3797,r008_9,Requires that the postdoc work under the direction of a senior scholar? ,Percent of postdocs who are on temporary visas,50% or more,2,92.6
3797,r009_1,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are underrepresented minorities,None,2,85.8
3797,r009_2,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are underrepresented minorities,Under 10%,2,88.3
3797,r009_3,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are underrepresented minorities,10% or more,2,85.3
3797,r009_4,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are women,Under 25%,2,92.9
3797,r009_5,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are women,25%–49%,2,86.9
3797,r009_6,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are women,50% or more,2,83.5
3797,r009_7,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are on temporary visas,None,2,86.4
3797,r009_8,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are on temporary visas,Under 50%,2,84.6
3797,r009_9,"Is for a defined period of time (i.e., has a term limit)? ",Percent of postdocs who are on temporary visas,50% or more,2,88.1
3797,r010_1,Requires publication of research in scholarly journals? ,Percent of postdocs who are underrepresented minorities,None,2,61.5
3797,r010_2,Requires publication of research in scholarly journals? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,49.1
3797,r010_3,Requires publication of research in scholarly journals? ,Percent of postdocs who are underrepresented minorities,10% or more,2,66.2
3797,r010_4,Requires publication of research in scholarly journals? ,Percent of postdocs who are women,Under 25%,2,55.5
3797,r010_5,Requires publication of research in scholarly journals? ,Percent of postdocs who are women,25%–49%,2,51.9
3797,r010_6,Requires publication of research in scholarly journals? ,Percent of postdocs who are women,50% or more,2,61.2
3797,r010_7,Requires publication of research in scholarly journals? ,Percent of postdocs who are on temporary visas,None,2,61.4
3797,r010_8,Requires publication of research in scholarly journals? ,Percent of postdocs who are on temporary visas,Under 50%,2,56.4
3797,r010_9,Requires publication of research in scholarly journals? ,Percent of postdocs who are on temporary visas,50% or more,2,54.7
3797,r011_1,Requires mentorship for professional development? ,Percent of postdocs who are underrepresented minorities,None,2,75.0
3797,r011_2,Requires mentorship for professional development? ,Percent of postdocs who are underrepresented minorities,Under 10%,2,73.9
3797,r011_3,Requires mentorship for professional development? ,Percent of postdocs who are underrepresented minorities,10% or more,2,85.3
3797,r011_4,Requires mentorship for professional development? ,Percent of postdocs who are women,Under 25%,2,68.2
3797,r011_5,Requires mentorship for professional development? ,Percent of postdocs who are women,25%–49%,2,76.3
3797,r011_6,Requires mentorship for professional development? ,Percent of postdocs who are women,50% or more,2,78.6
3797,r011_7,Requires mentorship for professional development? ,Percent of postdocs who are on temporary visas,None,2,84.1
3797,r011_8,Requires mentorship for professional development? ,Percent of postdocs who are on temporary visas,Under 50%,2,70.9
