table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3183,r001,United States,United States,,,,1,"['83,496,348', '']","['44,455,265', '']","['4,495,452', '']","['21,109,703', '']","['5,053,576', '']","['5,683,937', '']","['2,698,415', '']"
3183,r002,United States -> Public,United States,Public,,,2,"['54,645,841', '']","['27,348,977', '']","['4,078,722', '']","['15,029,337', '']","['2,993,391', '']","['3,242,305', '']","['1,953,109', '']"
3183,r003,United States -> Private,United States,Private,,,2,"['28,850,507', '']","['17,106,288', '']","['416,730', '']","['6,080,366', '']","['2,060,185', '']","['2,441,632', '']","['745,306', '']"
3183,r004,United States -> Alabama,United States,Alabama,,,2,"['1,123,491', '']","['633,801', '']","['60,902', '']","['308,252', '']","['71,364', '']","['34,790', '']","['14,382', '']"
3183,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,102,929', '']","['618,976', '']","['58,329', '']","['305,599', '']","['71,364', '']","['34,790', '']","['13,871', '']"
3183,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['12,840', '']","['8,277', '']","['4,405', '']","['19', '']","['139', '']","['0', '']","['0', '']"
3183,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,577', '']","['2,577', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3183,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['231,619', '']","['64,333', '']","['31,171', '']","['117,941', '']","['6,232', '']","['1,413', '']","['10,529', '']"
3183,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['2,429', '']","['2,312', '']","['0', '']","['100', '']","['17', '']","['0', '']","['0', '']"
3183,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['607,863', '']","['398,403', '']","['11,434', '']","['106,085', '']","['60,048', '']","['31,893', '']","['0', '']"
3183,r011,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['109,744', '']","['85,211', '']","['1,378', '']","['21,663', '']","['1,069', '']","['301', '']","['122', '']"
3183,r012,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['83,317', '']","['37,916', '']","['9,791', '']","['30,801', '']","['2,799', '']","['977', '']","['1,033', '']"
3183,r013,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['52,540', '']","['19,947', '']","['150', '']","['28,990', '']","['1,060', '']","['206', '']","['2,187', '']"
3183,r014,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['20,562', '']","['14,825', '']","['2,573', '']","['2,653', '']","['0', '']","['0', '']","['511', '']"
3183,r015,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['20,562', '']","['14,825', '']","['2,573', '']","['2,653', '']","['0', '']","['0', '']","['511', '']"
3183,r016,United States -> Alaska,United States,Alaska,,,2,"['169,296', '']","['108,869', '']","['4,946', '']","['43,575', '']","['5,112', '']","['2,392', '']","['4,402', '']"
3183,r017,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['167,522', '']","['108,418', '']","['4,941', '']","['43,575', '']","['3,800', '']","['2,392', '']","['4,396', '']"
3183,r018,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['21,724', '']","['14,219', '']","['1,980', '']","['4,001', '']","['465', '']","['624', '']","['435', '']"
3183,r019,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['144,457', '']","['92,964', '']","['2,874', '']","['39,572', '']","['3,333', '']","['1,753', '']","['3,961', '']"
3183,r020,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,341', '']","['1,235', '']","['87', '']","['2', '']","['2', '']","['15', '']","['0', '']"
3183,r021,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['1,774', '']","['451', '']","['5', '']","['0', '']","['1,312', '']","['0', '']","['6', '']"
3183,r022,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['1,774', '']","['451', '']","['5', '']","['0', '']","['1,312', '']","['0', '']","['6', '']"
