table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_full_time_student,field_employed_in_s_e_or_s_e_related_occupationa,field_employed_in_non_s_e_occupation,field_not_employed,field_median_salary_for_full_time_employedb_
1179,r001,All S&E and health fields,All S&E and health fields,,,,1,3200000,581000,1279000,1092000,248000,50000
1179,r002,All S&E and health fields -> Female,All S&E and health fields,Female,,,2,1866000,375000,646000,686000,160000,45000
1179,r003,All S&E and health fields -> Male,All S&E and health fields,Male,,,2,1334000,206000,633000,407000,88000,56000
1179,r004,All S&E and health fields -> White,All S&E and health fields,White,,,2,2056000,326000,905000,717000,108000,50000
1179,r005,All S&E and health fields -> Asian,All S&E and health fields,Asian,,,2,313000,64000,125000,90000,35000,58000
1179,r006,All S&E and health fields -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Underrepresented minority<sup>c</sup>,,,2,736000,170000,214000,251000,100000,46000
1179,r007,All S&E and health fields -> Without disability,All S&E and health fields,Without disability,,,2,2869000,515000,1212000,968000,175000,50000
1179,r008,All S&E and health fields -> With disability,All S&E and health fields,With disability,,,2,331000,66000,67000,125000,73000,44000
1179,r009,All S&E and health fields -> Science,All S&E and health fields,Science,,,2,2081000,438000,577000,911000,154000,42000
1179,r010,All S&E and health fields -> Science -> Female,All S&E and health fields,Science,Female,,3,1199000,275000,235000,575000,114000,39000
1179,r011,All S&E and health fields -> Science -> Male,All S&E and health fields,Science,Male,,3,882000,163000,342000,336000,40000,49000
1179,r012,All S&E and health fields -> Science -> White,All S&E and health fields,Science,White,,3,1317000,262000,386000,598000,71000,41000
1179,r013,All S&E and health fields -> Science -> Asian,All S&E and health fields,Science,Asian,,3,196000,43000,63000,70000,20000,54000
1179,r014,All S&E and health fields -> Science -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Underrepresented minority<sup>c</sup>,,3,498000,116000,112000,212000,59000,42000
1179,r015,All S&E and health fields -> Science -> Without disability,All S&E and health fields,Science,Without disability,,3,1828000,382000,536000,794000,116000,42000
1179,r016,All S&E and health fields -> Science -> With disability,All S&E and health fields,Science,With disability,,3,254000,57000,41000,118000,38000,40000
1179,r017,All S&E and health fields -> Science -> Biological/life sciences,All S&E and health fields,Science,Biological/life sciences,,3,591000,187000,225000,141000,39000,36000
1179,r018,All S&E and health fields -> Science -> Biological/life sciences -> Female,All S&E and health fields,Science,Biological/life sciences,Female,4,323000,114000,123000,60000,27000,35000
1179,r019,All S&E and health fields -> Science -> Biological/life sciences -> Male,All S&E and health fields,Science,Biological/life sciences,Male,4,268000,73000,102000,81000,12000,37000
1179,r020,All S&E and health fields -> Science -> Biological/life sciences -> White,All S&E and health fields,Science,Biological/life sciences,White,4,375000,105000,152000,97000,22000,35000
1179,r021,All S&E and health fields -> Science -> Biological/life sciences -> Asian,All S&E and health fields,Science,Biological/life sciences,Asian,4,78000,23000,29000,20000,6000,46000
1179,r022,All S&E and health fields -> Science -> Biological/life sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Biological/life sciences,Underrepresented minority<sup>c</sup>,4,123000,55000,38000,20000,10000,36000
