table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8368,r001,Institutions,Institutions,,,,1,129,18.5,97,13.9
8368,r002,Schools,Schools,,,,1,147,18.7,106,13.5
8368,r003,Units,Units,,,,1,364,1.7,267,1.2
8368,r004,All individuals,All individuals,,,,1,2238,100.0,1077,100.0
8368,r005,All individuals -> Male,All individuals,Male,,,2,1052,47.0,467,43.4
8368,r006,All individuals -> Female,All individuals,Female,,,2,1186,53.0,610,56.6
8368,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,1200,53.6,na,na
8368,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,81,3.6,na,na
8368,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
8368,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,5,0.2,na,na
8368,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,208,9.3,na,na
8368,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,95,4.2,na,na
8368,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,3,0.1,na,na
8368,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,597,26.7,na,na
8368,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,28,1.3,na,na
8368,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,183,8.2,na,na
8368,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,1038,46.4,na,na
8368,r018,Primary source of support,Primary source of support,,,,1,,,,
8368,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,1059,47.3,na,na
8368,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,990,44.2,na,na
8368,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,8,0.4,na,na
8368,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,181,8.1,na,na
8368,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
8368,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,280,12.5,na,na
8368,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,1185,52.9,na,na
8368,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,215,9.6,na,na
8368,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,558,24.9,na,na
8368,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
8368,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1495,66.8,675,62.7
8368,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,311,13.9,132,12.3
8368,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,55,2.5,17,1.6
8368,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,377,16.8,253,23.5
8368,r033,Degree origin,Degree origin,,,,1,,,,
8368,r034,Degree origin -> United States,Degree origin,United States,,,2,848,37.9,na,na
8368,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,628,28.1,na,na
8368,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,762,34.0,na,na
