table_id,row_id,sex_and_enrollment_status_full_path,sex_and_enrollment_status_level_1,sex_and_enrollment_status_level_2,sex_and_enrollment_status_level_3,sex_and_enrollment_status_hierarchy_depth,field_all_undergraduates,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_or_unknown_race_or_ethnicity,field_temporary_resident
3237,r001,Number,Number,,,1,,,,,,,,,,
3237,r002,All enrolled,All enrolled,,,1,641207,92135,2073,67851,32945,971,347326,24338,15922,57646
3237,r003,All enrolled -> Female,All enrolled,Female,,2,145364,21302,511,18831,8630,209,74210,6412,3871,11388
3237,r004,All enrolled -> Male,All enrolled,Male,,2,495843,70833,1562,49020,24315,762,273116,17926,12051,46258
3237,r005,"All enrolled -> Full time, first year",All enrolled,"Full time, first year",,2,133005,19275,393,15217,7319,212,74422,5794,3020,7353
3237,r006,"All enrolled -> Full time, first year -> Female",All enrolled,"Full time, first year",Female,3,32069,4582,100,4466,1917,41,16857,1561,834,1711
3237,r007,"All enrolled -> Full time, first year -> Male",All enrolled,"Full time, first year",Male,3,100936,14693,293,10751,5402,171,57565,4233,2186,5642
3237,r008,Percent distribution,Percent distribution,,,1,,,,,,,,,,
3237,r009,All enrolled,All enrolled,,,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3237,r010,All enrolled -> Female,All enrolled,Female,,2,22.67,23.12,24.65,27.75,26.2,21.52,21.37,26.35,24.31,19.76
3237,r011,All enrolled -> Male,All enrolled,Male,,2,77.33,76.88,75.35,72.25,73.8,78.48,78.63,73.65,75.69,80.24
3237,r012,"All enrolled -> Full time, first year",All enrolled,"Full time, first year",,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3237,r013,"All enrolled -> Full time, first year -> Female",All enrolled,"Full time, first year",Female,3,24.11,23.77,25.45,29.35,26.19,19.34,22.65,26.94,27.62,23.27
3237,r014,"All enrolled -> Full time, first year -> Male",All enrolled,"Full time, first year",Male,3,75.89,76.23,74.55,70.65,73.81,80.66,77.35,73.06,72.38,76.73
