table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
7561,r001,Doctorate recipients reporting functional limitation status,Doctorate recipients reporting functional limitation status,,,,1,5126,11.3,1812,4.0,645,1.4,276,0.6,409,0.9,3029,6.7
7561,r002,Doctorate recipients reporting functional limitation status -> Field of doctorate,Doctorate recipients reporting functional limitation status,Field of doctorate,,,2,,,,,,,,,,,,
7561,r003,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,,3,3903,10.8,1368,3.8,466,1.3,187,0.5,284,0.8,2318,6.4
7561,r004,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Agricultural sciences and natural resources,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Agricultural sciences and natural resources,4,117,11.1,57,5.4,21,2.0,6,0.6,9,0.9,56,5.3
7561,r005,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Biological and biomedical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Biological and biomedical sciences,4,887,11.9,222,3.0,114,1.5,34,0.5,38,0.5,622,8.3
7561,r006,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Computer and information sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Computer and information sciences,4,184,9.9,89,4.8,19,1.0,11,0.6,19,1.0,81,4.3
7561,r007,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Engineering,4,686,8.2,365,4.4,94,1.1,32,0.4,63,0.8,289,3.5
7561,r008,"Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,"Geosciences, atmospheric, and ocean sciences",4,105,11.1,30,3.2,16,1.7,9,1.0,11,1.2,69,7.3
7561,r009,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Health sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Health sciences,4,235,10.5,85,3.8,34,1.5,16,0.7,22,1.0,129,5.8
7561,r010,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Mathematics and statistics,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Mathematics and statistics,4,171,10.1,67,3.9,21,1.2,7,0.4,13,0.8,89,5.2
7561,r011,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Multidisciplinary/ interdisciplinary sciences,4,123,10.8,43,3.8,11,1.0,5,0.4,7,0.6,76,6.7
7561,r012,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Physical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Physical sciences,4,444,10.3,144,3.3,46,1.1,11,0.3,18,0.4,277,6.4
7561,r013,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Psychology,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Psychology,4,392,13.1,90,3.0,42,1.4,21,0.7,28,0.9,277,9.3
