table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_engineering_fields,field_aerospace_aeronautical_and_astronautical_engineering,field_bioengineering_and_biomedical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_electronics_and_communications_engineering,field_industrial_and_manufacturing_engineering,field_materials_science_engineering,field_mechanical_engineering,field_other_engineering
1009,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,,,1,9843,378,1041,936,741,1900,253,958,1409,2227
1009,r002,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,,,,,2,,,,,,,,,,
1009,r003,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study,,,,3,2093,63,338,242,169,316,21,238,284,422
1009,r004,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment,,,,3,3510,162,216,281,247,845,106,277,482,894
1009,r005,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Seeking employment or study,,,,3,2954,103,348,321,215,499,90,312,449,617
1009,r006,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Other<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Other<sup>c</sup>,,,,3,270,11,51,19,20,56,9,23,27,54
1009,r007,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,,,,3,,,,,,,,,,
1009,r008,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Postdoc fellowship or research associateship,,,4,94.6,98.4,93.5,97.5,93.5,91.5,100.0,96.6,95.4,94.1
1009,r009,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Other or unknown<sup>e</sup>,,,4,5.4,1.6,6.5,2.5,6.5,8.5,0.0,3.4,4.6,5.9
1009,r010,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,,,,3,,,,,,,,,,
1009,r011,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Academe,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Academe,,,4,17.1,13.0,23.6,8.9,27.9,11.5,40.6,8.3,18.7,20.4
1009,r012,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Government,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Government,,,4,8.9,26.5,2.3,2.8,,5.9,9.4,,8.7,11.7
1009,r013,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Industry or business<sup>g</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Industry or business<sup>g</sup>,,,4,69.9,52.5,67.6,84.7,59.5,78.0,43.4,82.3,68.7,64.0
1009,r014,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Nonprofit organization,,,4,3.4,7.4,6.0,2.5,,3.7,6.6,,2.9,3.2
1009,r015,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Other or unknown<sup>h</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Other or unknown<sup>h</sup>,,,4,0.7,0.6,0.5,1.1,0.0,0.9,0.0,0.0,1.0,0.7
