table_id,row_id,country,a_lot,some,not_much,not_at_all,don_t_know_or_refused
6679,r001,"Weighted percentage among all top 16 R&D countries (n = 18,688)",0.7,0.7,0.4,0.2,0.4
6679,r002,"Belgium (n = 1,004)",1.7,1.7,0.7,0.1,0.5
6679,r003,"Norway (n = 1,000)",1.9,1.9,0.7,0.1,0.5
6679,r004,"Denmark (n = 1,000)",1.7,1.7,0.7,0.2,0.0
6679,r005,"Finland (n = 1,000)",1.9,1.9,0.8,0.4,0.2
6679,r006,"Germany (n = 1,000)",1.9,1.8,0.6,0.6,0.3
6679,r007,"Netherlands (n = 1,001)",1.9,1.8,1.2,0.4,0.0
6679,r008,"United States (n = 1,006)",2.0,1.9,0.8,0.6,1.1
6679,r009,"Sweden (n = 1,000)",1.9,0.2,0.6,0.4,0.5
6679,r010,"Austria (n = 1,000)",1.8,1.8,1.0,0.6,0.4
6679,r011,"France (n = 1,000)",1.9,2.0,0.8,0.4,0.4
6679,r012,"Israel (n = 1,010)",1.7,1.8,1.2,0.4,0.6
6679,r013,"Switzerland (n = 1,000)",1.8,2.0,1.0,0.6,0.8
6679,r014,"China (n = 3,649)",0.9,1.0,0.5,0.2,0.6
6679,r015,"South Korea (n = 1,014)",1.5,1.7,0.9,0.3,0.5
6679,r016,"Japan (n = 1,004)",1.5,1.8,0.9,0.3,0.9
6679,r017,"Taiwan (n = 1,000)",1.2,1.9,1.1,0.5,1.5
