table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9591,r001,U.S. citizens and permanent residents reporting graduate debt,U.S. citizens and permanent residents reporting graduate debt,,,,1,,,,,,,,,,,,,,,,,,,
9591,r002,U.S. citizens and permanent residents reporting graduate debt -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Total (number)<sup>a</sup>,,,2,33355,25434,714,6494,731,4216,704,1870,901,747,2967,3021,3069,7921,605,2951,2461,587,1317
9591,r003,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $30,000 (%)",,,2,20.3,16.6,15.4,10.8,7.8,7.2,5.8,36.6,8.3,13.8,5.8,38.1,26.5,32.2,26.6,39.3,24.7,26.2,35.5
9591,r004,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $70,000 (%)",,,2,12.2,9.8,8.7,5.3,4.2,3.0,2.4,23.3,4.3,8.4,2.8,26.4,16.6,19.9,19.0,24.2,14.4,15.2,23.3
9591,r005,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
9591,r006,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,Total (number)<sup>a</sup>,,3,3192,2415,68,703,41,349,59,152,55,78,245,341,324,777,45,312,256,57,107
9591,r007,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $30,000 (%)",,3,25.0,21.4,23.5,13.4,,9.7,13.6,36.8,,21.8,8.6,44.0,35.2,36.2,33.3,45.8,25.0,22.8,43.0
9591,r008,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $70,000 (%)",,3,15.3,12.5,10.3,6.3,,4.6,,21.1,,15.4,4.5,30.2,22.5,23.8,,30.1,14.8,,31.8
9591,r009,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
9591,r010,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,,,,,,,,,,,
