table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_january_2021,field_september_2021
6685,r001,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",,1,,
6685,r002,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Concerned about possible side effects","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Concerned about possible side effects,2,1.0,1.4
6685,r003,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Plan to wait and see if it is safe and may get it later ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Plan to wait and see if it is safe and may get it later ,2,0.8,1.4
6685,r004,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't trust COVID-19 vaccines ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't trust COVID-19 vaccines ,2,0.8,1.3
6685,r005,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't trust the government ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't trust the government ,2,1.0,1.4
6685,r006,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't know if COVID-19 vaccine will work  ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't know if COVID-19 vaccine will work  ,2,0.6,na
6685,r007,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't believe I need COVID-19 vaccine ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't believe I need COVID-19 vaccine ,2,0.7,1.4
6685,r008,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Think other people need it more right now ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Think other people need it more right now ,2,0.7,na
6685,r009,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't like vaccines ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't like vaccines ,2,0.5,na
6685,r010,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> My doctor has not recommended it  ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",My doctor has not recommended it  ,2,0.5,0.8
6685,r011,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Concerned about the cost of the COVID-19 vaccine ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Concerned about the cost of the COVID-19 vaccine ,2,0.5,0.5
6685,r012,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't know if a COVID-19 vaccine will protect me ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't know if a COVID-19 vaccine will protect me ,2,na,1.2
6685,r013,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> Don't think COVID-19 is that big of a threat ","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",Don't think COVID-19 is that big of a threat ,2,na,1.1
6685,r014,"Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341) -> It's hard for me to get a COVID-19 vaccine","Reasons why respondents probably or definitely do not intend to get a COVID-19 vaccine (January,<i> n</i> = 10,981; September, <i>n </i>= 4,341)",It's hard for me to get a COVID-19 vaccine,2,na,0.6
