table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_life_sciences,field_2023_agricultural_sciences,field_2023_biological_and_biomedical_sciences,field_2023_health_sciences,field_2023_natural_resources_and_conservation,field_2023_life_sciences_nec
12691,r001,All institutions,All institutions,,1,-,"['26,230,572', '']","['28,448,591', '']","['30,958,946', '']","['33,896,235', '']","['1,458,868', '']","['11,753,581', '']","['19,390,822', '']","['512,675', '']","['780,289', '']"
12691,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['714,341', '']","['765,565', '']","['844,281', '']","['897,607', '']","['0', '']","['279,015', '']","['618,592', '']","['0', '']","['0', '']"
12691,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['634,918', '']","['645,510', '']","['737,748', '']","['816,481', '']","['0', '']","['1,682', '']","['814,799', '']","['0', '']","['0', '']"
12691,r004,All institutions -> Duke U.,All institutions,Duke U.,2,3,"['568,232', '']","['638,716', '']","['752,563', '']","['807,184', '']","['0', '']","['272,094', '']","['520,614', '']","['5,414', '']","['9,062', '']"
12691,r005,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,4,"['590,430', '']","['628,092', '']","['706,791', '']","['792,983', '']","['361', '']","['255,129', '']","['537,455', '']","['0', '']","['38', '']"
12691,r006,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,5,"['577,785', '']","['644,430', '']","['707,840', '']","['765,293', '']","['126', '']","['538,801', '']","['216,864', '']","['0', '']","['9,502', '']"
12691,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['667,996', '']","['683,132', '']","['678,979', '']","['763,571', '']","['0', '']","['192,842', '']","['543,005', '']","['13,908', '']","['13,816', '']"
12691,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['562,474', '']","['611,343', '']","['662,559', '']","['739,861', '']","['0', '']","['217,140', '']","['521,080', '']","['1,584', '']","['57', '']"
12691,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,"['529,667', '']","['578,172', '']","['619,699', '']","['689,915', '']","['0', '']","['207,841', '']","['449,167', '']","['964', '']","['31,943', '']"
12691,r010,All institutions -> New York U.,All institutions,New York U.,2,9,"['353,092', '']","['446,533', '']","['559,581', '']","['670,216', '']","['0', '']","['218,335', '']","['450,355', '']","['0', '']","['1,526', '']"
12691,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['521,691', '']","['569,385', '']","['610,132', '']","['668,464', '']","['0', '']","['172,657', '']","['495,807', '']","['0', '']","['0', '']"
12691,r012,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,11,"['480,452', '']","['554,582', '']","['610,646', '']","['658,916', '']","['0', '']","['281,656', '']","['377,260', '']","['0', '']","['0', '']"
12691,r013,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,12,"['489,071', '']","['528,261', '']","['597,001', '']","['658,608', '']","['0', '']","['285,482', '']","['373,126', '']","['0', '']","['0', '']"
12691,r014,All institutions -> Yale U.,All institutions,Yale U.,2,13,"['512,821', '']","['570,441', '']","['608,877', '']","['650,783', '']","['0', '']","['167,992', '']","['478,074', '']","['4,717', '']","['0', '']"
12691,r015,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,14,"['413,628', '']","['465,019', '']","['577,453', '']","['642,446', '']","['0', '']","['49,008', '']","['593,438', '']","['0', '']","['0', '']"
12691,r016,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,15,"['459,909', '']","['523,747', '']","['617,601', '']","['639,872', '']","['0', '']","['24,945', '']","['614,927', '']","['0', '']","['0', '']"
12691,r017,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,16,"['547,904', '']","['549,127', '']","['602,777', '']","['631,452', '']","['5', '']","['203,273', '']","['390,777', '']","['10,314', '']","['27,083', '']"
12691,r018,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,17,"['413,212', '']","['484,119', '']","['551,132', '']","['623,875', '']","['0', '']","['142,026', '']","['481,107', '']","['0', '']","['742', '']"
12691,r019,All institutions -> Emory U.,All institutions,Emory U.,2,18,"['419,593', '']","['478,989', '']","['529,963', '']","['617,601', '']","['0', '']","['200,429', '']","['401,347', '']","['0', '']","['15,825', '']"
12691,r020,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,19,"['393,156', '']","['426,804', '']","['470,576', '']","['526,737', '']","['0', '']","['139,214', '']","['380,372', '']","['0', '']","['7,151', '']"
