table_id,row_id,time_period,type_of_nonprofit_organization_sup_a_sup_level_1,type_of_nonprofit_organization_sup_a_sup_level_2,type_of_nonprofit_organization_sup_a_sup_level_3,type_of_nonprofit_organization_sup_a_sup_hierarchy_depth,value
9805,r001_1,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,All organizations,3,"['212,995', '  ']"
9805,r001_2,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['126,859', '  ']"
9805,r001_3,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['66,559', '  ']"
9805,r001_4,Organization employees working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations,3,"['19,577', '  ']"
9805,r001_5,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,All organizations,3,"['196,418', '  ']"
9805,r001_6,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['114,871', '  ']"
9805,r001_7,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['64,075', '  ']"
9805,r001_8,Organization employees working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations,3,"['17,473', '  ']"
9805,r002_1,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,All organizations,3,"['12,497', '  ']"
9805,r002_2,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['3,543', '  ']"
9805,r002_3,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['3,956', '  ']"
9805,r002_4,Contract employees working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations,3,"['4,998', 'r']"
9805,r002_5,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,All organizations,3,"['12,550', '  ']"
9805,r002_6,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['3,096', '  ']"
9805,r002_7,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['5,664', '  ']"
9805,r002_8,Contract employees working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations,3,"['3,791', '  ']"
9805,r003_1,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,All organizations,3,"['16,158', '  ']"
9805,r003_2,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Healthcare,3,"['1,511', '  ']"
9805,r003_3,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Science and technology,3,"['10,836', '  ']"
9805,r003_4,Volunteers working on R&D,Type of nonprofit organizationa,FY 2020,Other nonprofit organizations,3,"['3,811', '  ']"
9805,r003_5,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,All organizations,3,"['20,804', '  ']"
9805,r003_6,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Healthcare,3,"['1,457', '  ']"
9805,r003_7,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Science and technology,3,"['10,005', '  ']"
9805,r003_8,Volunteers working on R&D,Type of nonprofit organizationa,FY 2021,Other nonprofit organizations,3,"['9,341', '  ']"
