table_id,row_id,state_or_territory_control_and_institution_full_path,state_or_territory_control_and_institution_level_1,state_or_territory_control_and_institution_level_2,state_or_territory_control_and_institution_level_3,state_or_territory_control_and_institution_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3051,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3051,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3051,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['104', '']","['35', '']","['7', '']","['1', '']","['20', '']","['0', '']","['0', '']","['1', '']","['35', '']","['5', '']","['0', '']","['0', '']","['0', '']"
3051,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['308', '']","['0', '']","['70', '']","['35', '']","['5', '']","['0', '']","['80', '']","['35', '']","['0', '']","['25', '']","['33', '']","['25', '']","['0', '']"
3051,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['389', '']","['91', '']","['22', '']","['7', '']","['112', '']","['3', '']","['49', '']","['*', '']","['51', '']","['50', '']","['4', '']","['0', '']","['0', '']"
3051,r006,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['780', '']","['0', '']","['214', '']","['4', '']","['41', '']","['0', '']","['496', '']","['*', '']","['0', '']","['12', '']","['10', '']","['2', '']","['0', '']"
3051,r007,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['278', '']","['1', '']","['15', '']","['24', '']","['136', '']","['22', '']","['2', '']","['5', '']","['1', '']","['71', '']","['1', '']","['1', '']","['0', '']"
3051,r008,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['278', '']","['0', '']","['65', '']","['6', '']","['106', '']","['11', '']","['3', '']","['*', '']","['6', '']","['62', '']","['8', '']","['10', '']","['0', '']"
3051,r009,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['218', '']","['1', '']","['97', '']","['3', '']","['27', '']","['4', '']","['51', '']","['*', '']","['0', '']","['12', '']","['6', '']","['18', '']","['0', '']"
3051,r010,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3051,r011,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['309', '']","['96', '']","['28', '']","['13', '']","['153', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3051,r012,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3051,r013,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3051,r014,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['90', '']","['0', '']","['26', '']","['5', '']","['31', '']","['4', '']","['2', '']","['*', '']","['3', '']","['6', '']","['3', '']","['10', '']","['0', '']"
