table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6420,r001,All agencies surveyed,All agencies surveyed,,,,,1,143102.7,36.1,23637.6,0.0,7394.5,112034.5
6420,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,,
6420,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,29356.1,0.0,20142.5,0.0,7220.5,1993.0
6420,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,150.3,0.0,150.3,0.0,0.0,0.0
6420,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Economic Research Service,All agencies surveyed,Departments,Department of Agriculture,Economic Research Service,,4,4095.9,0.0,4095.9,0.0,0.0,0.0
6420,r006,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,4166.8,0.0,1624.4,0.0,549.3,1993.0
6420,r007,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,20943.0,0.0,14271.8,0.0,6671.2,0.0
6420,r008,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,8799.0,0.0,0.0,0.0,173.9,8625.0
6420,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,8625.0,0.0,0.0,0.0,0.0,8625.0
6420,r010,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,173.9,0.0,0.0,0.0,173.9,0.0
6420,r011,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,66.0,0.0,66.0,0.0,0.0,0.0
6420,r012,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,66.0,0.0,66.0,0.0,0.0,0.0
6420,r013,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,,3,102444.1,36.1,3429.1,0.0,0.0,98978.9
6420,r014,All agencies surveyed -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies surveyed,Departments,Department of Health and Human Services,Administration for Community Living,,4,53372.5,0.0,0.0,0.0,0.0,53372.5
6420,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies surveyed,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,10152.3,36.1,3429.1,0.0,0.0,6687.1
6420,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies surveyed,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,270.0,0.0,0.0,0.0,0.0,270.0
6420,r017,All agencies surveyed -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies surveyed,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1188.7,0.0,0.0,0.0,0.0,1188.7
6420,r018,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,,4,34949.8,0.0,0.0,0.0,0.0,34949.8
6420,r019,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,2510.8,0.0,0.0,0.0,0.0,2510.8
6420,r020,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,2510.8,0.0,0.0,0.0,0.0,2510.8
6420,r021,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,,2,,,,,,
6420,r022,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,,3,2437.5,0.0,0.0,0.0,0.0,2437.5
