table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021_all_non_s_e_fields,field_2021_business_management_and_business_administration,field_2021_communication_and_communications_technologies,field_2021_education,field_2021_humanities,field_2021_law,field_2021_social_work,field_2021_visual_and_performing_arts,field_2021_other
8004,r001,All institutions,All institutions,,1,-,"['4,854,301', '']","['5,023,112', '']","['5,113,430', '']","['934,020', '']","['186,003', '']","['1,616,705', '']","['556,694', '']","['282,662', '']","['319,273', '']","['179,563', '']","['1,038,510', '']"
8004,r002,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,1,"['137,448', '']","['146,396', '']","['139,396', '']","['84,856', '']","['7,313', '']","['14,518', '']","['7,361', '']","['11,239', '']","['0', '']","['3,076', '']","['11,033', '']"
8004,r003,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,2,"['104,485', '']","['100,931', '']","['118,228', '']","['16,156', '']","['1,716', '']","['12,371', '']","['23,442', '']","['6,694', '']","['7,210', '']","['3,115', '']","['47,524', '']"
8004,r004,All institutions -> Harvard U.,All institutions,Harvard U.,2,3,"['110,578', '']","['123,639', '']","['109,083', '']","['32,862', '']","['2,769', '']","['43,542', '']","['9,961', '']","['18,388', '']","['0', '']","['1,561', '']","['0', '']"
8004,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['88,107', '']","['91,878', '']","['85,191', '']","['11,664', '']","['5,267', '']","['28,245', '']","['14,791', '']","['3,389', '']","['745', '']","['2,087', '']","['19,003', '']"
8004,r006,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,5,"['67,049', '']","['78,430', '']","['81,652', '']","['22,167', '']","['4,074', '']","['33,394', '']","['6,877', '']","['4,510', '']","['6,789', '']","['3,841', '']","['0', '']"
8004,r007,All institutions -> U. Kansas,All institutions,U. Kansas,2,6,"['70,001', '']","['76,326', '']","['80,837', '']","['1,015', '']","['866', '']","['62,676', '']","['2,513', '']","['18', '']","['12,905', '']","['112', '']","['732', '']"
8004,r008,All institutions -> Florida State U.,All institutions,Florida State U.,2,7,"['71,549', '']","['80,379', '']","['77,689', '']","['11,049', '']","['2,065', '']","['36,429', '']","['10,527', '']","['2,914', '']","['7,292', '']","['5,020', '']","['2,393', '']"
8004,r009,All institutions -> New York U.,All institutions,New York U.,2,8,"['89,471', '']","['89,103', '']","['76,810', '']","['5,973', '']","['0', '']","['21,308', '']","['12,109', '']","['23,641', '']","['5,391', '']","['778', '']","['7,610', '']"
8004,r010,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,9,"['77,934', '']","['85,569', '']","['73,658', '']","['100', '']","['11,124', '']","['35,093', '']","['3,206', '']","['870', '']","['14,831', '']","['530', '']","['7,904', '']"
8004,r011,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,10,"['24,766', '']","['28,285', '']","['72,243', '']","['0', '']","['17', '']","['23,357', '']","['18,381', '']","['0', '']","['1,596', '']","['11,962', '']","['16,930', '']"
8004,r012,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,11,"['70,687', '']","['71,962', '']","['72,037', '']","['23,736', '']","['3,886', '']","['6,477', '']","['9,863', '']","['5,502', '']","['974', '']","['4,817', '']","['16,782', '']"
8004,r013,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,12,"['69,347', '']","['76,064', '']","['71,402', '']","['14,424', '']","['9,375', '']","['33,070', '']","['569', '']","['4,199', '']","['7,481', '']","['2,284', '']","['0', '']"
8004,r014,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,13,"['76,182', '']","['70,284', '']","['70,185', '']","['4,969', '']","['8,910', '']","['16,080', '']","['6,706', '']","['1,092', '']","['11,835', '']","['168', '']","['20,425', '']"
8004,r015,All institutions -> U. South Florida<sup>a</sup>,All institutions,U. South Florida<sup>a</sup>,2,14,"['60,357', '']","['46,005', '']","['65,052', '']","['11,211', '']","['2,574', '']","['36,128', '']","['6,101', '']","['0', '']","['1,181', '']","['3,505', '']","['4,352', '']"
8004,r016,All institutions -> U. Georgia,All institutions,U. Georgia,2,15,"['62,627', '']","['63,130', '']","['64,523', '']","['22,849', '']","['4,086', '']","['9,368', '']","['8,725', '']","['4,597', '']","['2,017', '']","['5,609', '']","['7,272', '']"
8004,r017,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,16,"['66,759', '']","['67,324', '']","['59,610', '']","['6,002', '']","['0', '']","['31,557', '']","['5,259', '']","['1,418', '']","['0', '']","['360', '']","['15,014', '']"
8004,r018,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,17,"['52,848', '']","['54,061', '']","['59,506', '']","['4,522', '']","['443', '']","['21,418', '']","['2,350', '']","['721', '']","['7,539', '']","['984', '']","['21,529', '']"
8004,r019,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,18,"['56,841', '']","['54,234', '']","['58,429', '']","['14,856', '']","['4,208', '']","['29,044', '']","['5,471', '']","['2,743', '']","['0', '']","['1,994', '']","['113', '']"
8004,r020,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,19,"['65,516', '']","['48,429', '']","['55,952', '']","['10,962', '']","['1,065', '']","['8,979', '']","['1,874', '']","['0', '']","['0', '']","['39', '']","['33,033', '']"
8004,r021,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,20,"['37,919', '']","['51,003', '']","['55,440', '']","['2,539', '']","['2,146', '']","['5,232', '']","['6,692', '']","['6,894', '']","['29,003', '']","['120', '']","['2,814', '']"
