table_id,row_id,sex_race_ethnicity_and_field_of_highest_degree_full_path,sex_race_ethnicity_and_field_of_highest_degree_level_1,sex_race_ethnicity_and_field_of_highest_degree_level_2,sex_race_ethnicity_and_field_of_highest_degree_level_3,sex_race_ethnicity_and_field_of_highest_degree_level_4,sex_race_ethnicity_and_field_of_highest_degree_hierarchy_depth,field_s_e_occupations_all_s_e,field_s_e_occupations_in_field,field_s_e_occupations_out_of_field,field_s_e_related_occupations,field_non_s_e_occupations
1631,r001,All employed S&E highest degree holders,All employed S&E highest degree holders,,,,1,35.1,25.6,9.5,13.8,51.2
1631,r002,All employed S&E highest degree holders -> Female,All employed S&E highest degree holders,Female,,,2,,,,,
1631,r003,All employed S&E highest degree holders -> Female -> All S&E fields,All employed S&E highest degree holders,Female,All S&E fields,,3,23.0,17.5,5.8,13.3,63.3
1631,r004,All employed S&E highest degree holders -> Female -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Female,All S&E fields,Computer and mathematical sciences,4,45.6,43.3,2.2,11.2,43.2
1631,r005,"All employed S&E highest degree holders -> Female -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Female,All S&E fields,"Biological, agricultural, and environmental life sciences",4,25.3,18.3,7.0,33.2,41.4
1631,r006,All employed S&E highest degree holders -> Female -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Female,All S&E fields,Physical and related sciences,4,37.4,21.4,16.3,25.7,36.6
1631,r007,All employed S&E highest degree holders -> Female -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Female,All S&E fields,Social and related sciences,4,10.4,7.5,2.9,6.4,83.3
1631,r008,All employed S&E highest degree holders -> Female -> All S&E fields -> Engineering,All employed S&E highest degree holders,Female,All S&E fields,Engineering,4,54.4,34.6,19.8,10.5,35.1
1631,r009,All employed S&E highest degree holders -> Male,All employed S&E highest degree holders,Male,,,2,,,,,
1631,r010,All employed S&E highest degree holders -> Male -> All S&E fields,All employed S&E highest degree holders,Male,All S&E fields,,3,42.8,30.9,11.9,14.1,43.1
1631,r011,All employed S&E highest degree holders -> Male -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Male,All S&E fields,Computer and mathematical sciences,4,60.3,57.7,2.6,12.3,27.4
1631,r012,"All employed S&E highest degree holders -> Male -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Male,All S&E fields,"Biological, agricultural, and environmental life sciences",4,29.7,18.1,11.7,22.8,47.5
1631,r013,All employed S&E highest degree holders -> Male -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Male,All S&E fields,Physical and related sciences,4,48.5,29.1,19.4,16.5,35.0
1631,r014,All employed S&E highest degree holders -> Male -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Male,All S&E fields,Social and related sciences,4,16.0,7.1,8.9,7.5,76.5
1631,r015,All employed S&E highest degree holders -> Male -> All S&E fields -> Engineering,All employed S&E highest degree holders,Male,All S&E fields,Engineering,4,56.8,38.1,18.6,16.1,27.1
1631,r016,All employed S&E highest degree holders -> Asian,All employed S&E highest degree holders,Asian,,,2,,,,,
1631,r017,All employed S&E highest degree holders -> Asian -> All S&E fields,All employed S&E highest degree holders,Asian,All S&E fields,,3,50.4,32.5,17.9,15.9,33.7
1631,r018,All employed S&E highest degree holders -> Asian -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Asian,All S&E fields,Computer and mathematical sciences,4,65.1,62.0,3.0,10.9,24.1
1631,r019,"All employed S&E highest degree holders -> Asian -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Asian,All S&E fields,"Biological, agricultural, and environmental life sciences",4,36.2,27.0,9.4,32.2,31.6
1631,r020,All employed S&E highest degree holders -> Asian -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Asian,All S&E fields,Physical and related sciences,4,54.3,24.8,28.7,19.4,27.1
1631,r021,All employed S&E highest degree holders -> Asian -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Asian,All S&E fields,Social and related sciences,4,13.5,5.6,8.1,8.1,78.4
1631,r022,All employed S&E highest degree holders -> Asian -> All S&E fields -> Engineering,All employed S&E highest degree holders,Asian,All S&E fields,Engineering,4,62.4,27.7,34.6,16.9,20.7
1631,r023,All employed S&E highest degree holders -> American Indian or Alaska Native,All employed S&E highest degree holders,American Indian or Alaska Native,,,2,,,,,
1631,r024,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,,3,19.1,10.6,8.5,s,61.7
1631,r025,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Computer and mathematical sciences,4,s,s,s,s,s
1631,r026,"All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,"Biological, agricultural, and environmental life sciences",4,s,s,s,s,s
1631,r027,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Physical and related sciences,4,s,s,s,s,s
1631,r028,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Social and related sciences,4,s,s,s,s,84.2
