table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_any_innovation_number_yes,field_any_innovation_number_no,field_any_innovation_percent_yes,field_any_innovation_percent_no
2611,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    1,989,523 ', '&nbsp;']","['    2,614,083 ', '&nbsp;']","['    43.2 ', '&nbsp;']","['    56.8 ', '&nbsp;']"
2611,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2611,r003,All companies -> Race -> White,All companies,Race,White,3,"['    3,946,809 ', '&nbsp;']","['    1,699,605 ', '&nbsp;']","['    2,247,204 ', '&nbsp;']","['    43.1 ', '&nbsp;']","['    56.9 ', '&nbsp;']"
2611,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    460,617 ', '&nbsp;']","['    195,392 ', '&nbsp;']","['    265,225 ', '&nbsp;']","['    42.4 ', '&nbsp;']","['    57.6 ', '&nbsp;']"
2611,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    83,640 ', '&nbsp;']","['    40,826 ', '&nbsp;']","['    42,814 ', '&nbsp;']","['    48.8 ', '&nbsp;']","['    51.2 ', '&nbsp;']"
2611,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    19,983 ', '&nbsp;']","['    9,788 ', '&nbsp;']","['    10,196 ', '&nbsp;']","['    49.0 ', '&nbsp;']","['    51.0 ', '&nbsp;']"
2611,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    5,617 ', '&nbsp;']","['    2,786 ', '&nbsp;']","['    2,831 ', '&nbsp;']","['    49.6 ', '&nbsp;']","['    50.4 ', '&nbsp;']"
2611,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2611,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    242,652 ', '&nbsp;']","['    115,584 ', '&nbsp;']","['    127,068 ', '&nbsp;']","['    47.6 ', '&nbsp;']","['    52.4 ', '&nbsp;']"
2611,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    39,072 ', '&nbsp;']","['    19,051 ', '&nbsp;']","['    20,021 ', '&nbsp;']","['    48.8 ', '&nbsp;']","['    51.2 ', '&nbsp;']"
2611,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    4,229,882 ', '&nbsp;']","['    1,810,929 ', '&nbsp;']","['    2,418,953 ', '&nbsp;']","['    42.8 ', '&nbsp;']","['    57.2 ', '&nbsp;']"
2611,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2611,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    799,368 ', '&nbsp;']","['    357,829 ', '&nbsp;']","['    441,539 ', '&nbsp;']","['    44.8 ', '&nbsp;']","['    55.2 ', '&nbsp;']"
2611,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    68,687 ', '&nbsp;']","['    33,799 ', '&nbsp;']","['    34,889 ', '&nbsp;']","['    49.2 ', '&nbsp;']","['    50.8 ', '&nbsp;']"
2611,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    3,643,550 ', '&nbsp;']","['    1,553,936 ', '&nbsp;']","['    2,089,614 ', '&nbsp;']","['    42.6 ', '&nbsp;']","['    57.4 ', '&nbsp;']"
2611,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    92,001 ', 'i']","['    43,960 ', 'i']","['    48,041 ', 'i']","['    47.8 ', '&nbsp;']","['    52.2 ', '&nbsp;']"
