table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11659,r001,Doctorate recipients reporting master's degree,Doctorate recipients reporting master's degree,,,,1,73.2,68.0,77.9,44.6,74.7,74.4,68.9,80.9,68.8,76.4,50.3,89.0,89.0,93.5,87.8,96.6,91.2,93.8,95.3
11659,r002,Doctorate recipients reporting master's degree -> Sex,Doctorate recipients reporting master's degree,Sex,,,2,,,,,,,,,,,,,,,,,,,
11659,r003,Doctorate recipients reporting master's degree -> Sex -> Male,Doctorate recipients reporting master's degree,Sex,Male,,3,71.5,67.6,80.6,45.0,73.4,75.3,72.6,74.5,67.4,74.7,52.2,87.1,87.0,92.5,87.9,96.0,90.9,93.5,95.3
11659,r004,Doctorate recipients reporting master's degree -> Sex -> Female,Doctorate recipients reporting master's degree,Sex,Female,,3,75.0,68.5,75.6,44.3,78.9,71.7,64.3,83.5,72.3,79.2,46.5,89.6,90.8,94.2,87.7,96.8,91.5,94.1,95.3
11659,r005,Doctorate recipients reporting master's degree -> Citizenship status,Doctorate recipients reporting master's degree,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
11659,r006,Doctorate recipients reporting master's degree -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Citizenship status,U.S. citizen or permanent resident,,3,70.4,62.9,73.6,37.4,73.9,67.0,63.6,81.2,62.3,74.7,42.7,90.1,88.2,94.6,86.5,97.7,91.8,94.8,95.9
11659,r007,Doctorate recipients reporting master's degree -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Citizenship status,Temporary visa holder,,3,79.9,77.6,87.1,67.3,76.2,81.4,80.8,83.3,75.4,79.8,62.6,91.7,91.9,94.8,90.4,98.3,94.6,96.6,97.6
11659,r008,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
11659,r009,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,70.4,62.6,75.4,33.1,75.6,71.0,68.4,80.4,68.9,74.6,43.8,87.3,89.2,94.8,,97.9,92.1,,93.4
11659,r010,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
11659,r011,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,84.2,,,,,,,,-,,,88.9,,,,95.2,100.0,,
11659,r012,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,67.6,,77.8,,70.9,,,,,,,91.8,,,,96.0,92.7,97.4,94.5
11659,r013,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,85.4,77.5,,41.9,,75.5,66.7,90.6,,89.3,52.2,94.3,93.7,97.7,,,91.7,100.0,98.2
11659,r014,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,69.4,61.7,72.6,36.8,74.1,65.3,62.6,80.0,62.8,72.5,42.1,89.8,87.6,94.3,85.6,97.6,91.8,94.6,95.7
11659,r015,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,63.8,57.3,63.0,31.5,57.1,61.5,55.2,83.1,68.3,75.0,31.5,93.5,86.3,93.5,,,87.5,,
11659,r016,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,69.6,62.3,100.0,37.7,75.0,63.9,75.0,75.0,63.6,66.7,38.2,80.6,92.1,90.0,66.7,90.0,90.9,87.5,100.0
11659,r017,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,76.4,70.1,100.0,42.9,66.7,72.7,50.0,87.5,20.0,70.0,75.0,85.7,80.0,92.1,83.3,100.0,90.0,88.9,83.3
11659,r018,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,,,2,55.4,52.2,52.7,30.8,48.2,64.3,49.4,61.0,61.5,25.3,42.7,73.8,66.8,67.9,61.3,62.1,78.7,80.4,62.0
11659,r019,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,,3,,,,,,,,,,,,,,,,,,,
11659,r020,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Male,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Male,4,55.3,52.5,54.5,30.0,47.9,65.9,50.1,49.9,60.3,24.9,44.4,69.4,68.7,70.1,62.3,62.2,80.1,85.2,61.4
11659,r021,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Female,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Female,4,55.5,51.9,51.3,31.4,49.0,59.8,48.6,65.4,64.5,26.0,39.3,75.2,65.0,66.5,60.1,62.1,77.2,76.8,62.5
11659,r022,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,,3,,,,,,,,,,,,,,,,,,,
11659,r023,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,U.S. citizen or permanent resident,4,53.6,48.7,49.4,26.1,48.8,59.4,48.1,62.7,56.8,26.5,38.2,75.5,63.6,69.2,60.1,63.1,80.6,81.9,62.0
11659,r024,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,Temporary visa holder,4,60.6,59.4,59.9,45.9,48.5,69.7,53.3,59.0,66.9,24.8,50.4,71.9,74.8,68.6,63.7,63.4,76.7,82.2,65.8
11659,r025,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
11659,r026,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,53.6,49.0,50.8,24.7,53.3,64.5,47.4,55.6,62.3,23.9,38.4,73.8,65.7,67.8,61.1,61.6,78.4,81.3,61.0
11659,r027,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
11659,r028,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,52.6,,0.0,0.0,,,,,-,0.0,,66.7,,,,42.9,75.0,,
11659,r029,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,50.0,,48.9,30.5,45.1,59.5,,,,27.1,,77.5,,,,54.6,78.2,86.8,64.2
11659,r030,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,57.6,53.4,38.7,30.0,,,33.3,71.7,,30.4,46.7,69.5,50.2,64.1,,,72.2,90.9,58.6
11659,r031,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,54.2,48.9,50.3,25.7,51.2,58.9,49.2,63.6,58.7,26.9,37.7,76.5,65.9,71.3,63.7,63.7,82.3,82.2,63.4
