table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2019,field_2020,field_2021,field_2022
12471,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    11,859 ', '&nbsp;']","['19,307', '&nbsp;']","['13,003', '&nbsp;']","['19,882', '&nbsp;']"
12471,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['    12,718 ', '&nbsp;']","['18,940', 'r']","['20,908', '&nbsp;']","['16,856', '&nbsp;']"
12471,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['124', '&nbsp;']","['1,471', 'r']","['212', '&nbsp;']"
12471,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    114,922 ', '&nbsp;']","['77,276', '&nbsp;']","['145,741', '&nbsp;']","['163,959', '&nbsp;']"
12471,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    4,596,691 ', '&nbsp;']","['4,973,281', '&nbsp;']","['5,377,544', '&nbsp;']","['5,016,323', '&nbsp;']"
12471,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    225,813 ', '&nbsp;']","['392,416', '&nbsp;']","['143,063', '&nbsp;']","['305,962', '&nbsp;']"
12471,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    598,684 ', '&nbsp;']","['689,766', '&nbsp;']","['756,657', '&nbsp;']","['653,665', '&nbsp;']"
12471,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    327,921 ', '&nbsp;']","['468,557', '&nbsp;']","['535,950', '&nbsp;']","['478,466', '&nbsp;']"
12471,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['    270,764 ', '&nbsp;']","['221,209', '&nbsp;']","['220,707', '&nbsp;']","['175,199', '&nbsp;']"
12471,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    454,913 ', '&nbsp;']","['574,367', '&nbsp;']","['606,186', '&nbsp;']","['388,846', '&nbsp;']"
12471,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    1,435,159 ', '&nbsp;']","['1,122,622', '&nbsp;']","['1,616,190', '&nbsp;']","['1,414,970', '&nbsp;']"
12471,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,882,122 ', '&nbsp;']","['2,194,110', '&nbsp;']","['2,255,449', '&nbsp;']","['2,252,879', '&nbsp;']"
12471,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    175,639 ', '&nbsp;']","['162,996', '&nbsp;']","['172,582', '&nbsp;']","['137,272', '&nbsp;']"
12471,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    645,887 ', '&nbsp;']","['913,514', '&nbsp;']","['868,580', '&nbsp;']","['1,010,361', '&nbsp;']"
12471,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    1,026,911 ', '&nbsp;']","['1,099,371', '&nbsp;']","['1,193,678', '&nbsp;']","['1,085,263', '&nbsp;']"
12471,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    31,464 ', '&nbsp;']","['18,229', '&nbsp;']","['12,047', '&nbsp;']","['19,984', '&nbsp;']"
