table_id,row_id,_b_type_of_doctoral_degree_b_full_path,_b_type_of_doctoral_degree_b_level_1,_b_type_of_doctoral_degree_b_level_2,_b_type_of_doctoral_degree_b_level_3,_b_type_of_doctoral_degree_b_hierarchy_depth,field_total,field_male,field_female
3451,r001,Imputation rate (%),Imputation rate (%),,,1,,,
3451,r002,Imputation rate (%) -> All nonfaculty researchers,Imputation rate (%),All nonfaculty researchers,,2,9.5,9.9,9.2
3451,r003,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree,Imputation rate (%),All nonfaculty researchers,Doctoral degree,3,10.2,10.7,9.7
3451,r004,Imputation rate (%) -> All nonfaculty researchers -> Professional degree,Imputation rate (%),All nonfaculty researchers,Professional degree,3,9.6,9.5,9.6
3451,r005,Imputation rate (%) -> All nonfaculty researchers -> Dual degree,Imputation rate (%),All nonfaculty researchers,Dual degree,3,14.6,18.1,9.8
3451,r006,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree type unknown,Imputation rate (%),All nonfaculty researchers,Doctoral degree type unknown,3,9.6,8.8,10.6
3451,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,
3451,r008,Number imputed<sup>a</sup> -> All nonfaculty researchers,Number imputed<sup>a</sup>,All nonfaculty researchers,,2,2886,1779,1143
3451,r009,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree,3,2241,1453,820
3451,r010,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Professional degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Professional degree,3,175,85,88
3451,r011,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Dual degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Dual degree,3,67,50,18
3451,r012,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree type unknown,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree type unknown,3,584,290,294
