table_id,row_id,citizenship_ethnicity_and_race_full_path,citizenship_ethnicity_and_race_level_1,citizenship_ethnicity_and_race_level_2,citizenship_ethnicity_and_race_level_3,citizenship_ethnicity_and_race_level_4,citizenship_ethnicity_and_race_hierarchy_depth,field_2019_number,field_2019_percent,field_2021_number,field_2021_percent,field_change_2019_21_number,field_change_2019_21_percentage_point,field_change_2019_21_percent
7503,r001,All postdocs,All postdocs,,,,1,3335,100.0,3637,100.0,302,--,9.1
7503,r002,All postdocs -> Women,All postdocs,Women,,,2,859,25.8,980,26.9,121,1.2,14.1
7503,r003,All postdocs -> Men,All postdocs,Men,,,2,2476,74.2,2657,73.1,181,-1.2,7.3
7503,r004,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1429,42.8,1779,48.9,350,6.1,24.5
7503,r005,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,76,2.3,120,3.3,44,1.0,57.9
7503,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1311,39.3,1615,44.4,304,5.1,23.2
7503,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,0,0.0,2,0.1,2,0.1,na
7503,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,193,5.8,251,6.9,58,1.1,30.1
7503,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,38,1.1,38,1.0,0,-0.1,0.0
7503,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,2,0.1,1,0.0,-1,0.0,-50.0
7503,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,1043,31.3,1259,34.6,216,3.3,20.7
7503,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,35,1.0,64,1.8,29,0.7,82.9
7503,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,42,1.3,44,1.2,2,0.0,4.8
7503,r014,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Women,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Women,,3,385,11.5,534,14.7,149,3.1,38.7
7503,r015,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Men,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Men,,3,1044,31.3,1245,34.2,201,2.9,19.3
7503,r016,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1906,57.2,1858,51.1,-48,-6.1,-2.5
7503,r017,All postdocs -> Temporary visa holders -> Women,All postdocs,Temporary visa holders,Women,,3,474,14.2,446,12.3,-28,-2.0,-5.9
7503,r018,All postdocs -> Temporary visa holders -> Men,All postdocs,Temporary visa holders,Men,,3,1432,42.9,1412,38.8,-20,-4.1,-1.4
