table_id,row_id,state_or_location,rank,doctorate_recipients
1741,r001,California,1,6076
1741,r002,New York,2,4260
1741,r003,Texas,3,4074
1741,r004,Massachusetts,4,2946
1741,r005,Pennsylvania,5,2623
1741,r006,Illinois,6,2517
1741,r007,Florida,7,2346
1741,r008,Ohio,8,2051
1741,r009,Michigan,9,1953
1741,r010,North Carolina,10,1736
1741,r011,Indiana,11,1631
1741,r012,Virginia,12,1518
1741,r013,Georgia,13,1511
1741,r014,Minnesota,14,1437
1741,r015,Maryland,15,1365
1741,r016,New Jersey,16,1124
1741,r017,Wisconsin,17,1081
1741,r018,Colorado,18,1052
1741,r019,Missouri,19,978
1741,r020,Washington,20,964
1741,r021,Tennessee,21,955
1741,r022,Connecticut,22,786
1741,r023,Arizona,23,764
1741,r024,Iowa,24,743
1741,r025,Alabama,25,667
1741,r026,District of Columbia,26,588
1741,r027,Louisiana,27,576
1741,r028,South Carolina,28,568
1741,r029,Oregon,29,537
1741,r030,Kansas,30,534
1741,r031,Utah,31,512
1741,r032,Oklahoma,32,504
1741,r033,Kentucky,33,494
1741,r034,Mississippi,34,471
1741,r035,Nebraska,35,341
1741,r036,Rhode Island,36,326
1741,r037,New Mexico,37,322
1741,r038,Arkansas,38,266
1741,r039,Nevada,39,240
1741,r040,Delaware,40,238
1741,r041,West Virginia,41,219
1741,r042,Hawaii,42,201
1741,r043,North Dakota,43,193
1741,r044,New Hampshire,44,165
1741,r045,Puerto Rico,45,148
1741,r046,South Dakota,46,114
1741,r047,Montana,47,112
1741,r048,Wyoming,48,102
1741,r049,Idaho,49,97
1741,r050,Vermont,50,63
1741,r051,Alaska,51,56
1741,r052,Maine,52,50
