table_id,row_id,factors_preventing_innovation_full_path,factors_preventing_innovation_level_1,factors_preventing_innovation_level_2,factors_preventing_innovation_hierarchy_depth,field_all_companies,field_micro_companies_1_9_employees_,field_small_companies_10_49_employees_,field_medium_companies_50_249_employees_,field_large_companies_250_employees_
2627,r001,Non-innovating companies that considered innovating (number of companies),Non-innovating companies that considered innovating (number of companies),,1,"['    43,615 ', '&nbsp;']","['    32,826 ', '&nbsp;']","['    8,833 ', '&nbsp;']","['    1,663 ', '&nbsp;']","['    293 ', '&nbsp;']"
2627,r002,Non-innovating companies that considered innovating (number of companies) -> Lack of internal finance,Non-innovating companies that considered innovating (number of companies),Lack of internal finance,2,"['    80.4 ', '&nbsp;']","['    82.2 ', '&nbsp;']","['    75.6 ', '&nbsp;']","['    71.5 ', '&nbsp;']","['    66.8 ', '&nbsp;']"
2627,r003,Non-innovating companies that considered innovating (number of companies) -> Lack of credit or private equity,Non-innovating companies that considered innovating (number of companies),Lack of credit or private equity,2,"['    60.6 ', '&nbsp;']","['    62.9 ', '&nbsp;']","['    55.2 ', '&nbsp;']","['    49.1 ', '&nbsp;']","['    41.2 ', 'r']"
2627,r004,Non-innovating companies that considered innovating (number of companies) -> Innovation costs too high,Non-innovating companies that considered innovating (number of companies),Innovation costs too high,2,"['    82.7 ', '&nbsp;']","['    83.8 ', '&nbsp;']","['    79.9 ', '&nbsp;']","['    75.4 ', '&nbsp;']","['    83.5 ', '&nbsp;']"
2627,r005,Non-innovating companies that considered innovating (number of companies) -> Lack of skilled employees within the business,Non-innovating companies that considered innovating (number of companies),Lack of skilled employees within the business,2,"['    75.1 ', '&nbsp;']","['    74.5 ', '&nbsp;']","['    77.3 ', '&nbsp;']","['    75.9 ', '&nbsp;']","['    74.6 ', '&nbsp;']"
2627,r006,Non-innovating companies that considered innovating (number of companies) -> Lack of collaboration partners,Non-innovating companies that considered innovating (number of companies),Lack of collaboration partners,2,"['    56.5 ', '&nbsp;']","['    56.4 ', '&nbsp;']","['    57.1 ', '&nbsp;']","['    54.6 ', '&nbsp;']","['    58.1 ', 'r']"
2627,r007,Non-innovating companies that considered innovating (number of companies) -> Difficulties in obtaining government grants or subsidies,Non-innovating companies that considered innovating (number of companies),Difficulties in obtaining government grants or subsidies,2,"['    39.8 ', '&nbsp;']","['    41.4 ', '&nbsp;']","['    36.6 ', '&nbsp;']","['    29.0 ', '&nbsp;']","['    22.3 ', '&nbsp;']"
2627,r008,Non-innovating companies that considered innovating (number of companies) -> Uncertain market demand for your ideas,Non-innovating companies that considered innovating (number of companies),Uncertain market demand for your ideas,2,"['    63.6 ', '&nbsp;']","['    63.9 ', '&nbsp;']","['    62.8 ', '&nbsp;']","['    64.1 ', '&nbsp;']","['    60.7 ', 'r']"
2627,r009,Non-innovating companies that considered innovating (number of companies) -> Too much competition in your market,Non-innovating companies that considered innovating (number of companies),Too much competition in your market,2,"['    68.9 ', '&nbsp;']","['    69.1 ', '&nbsp;']","['    67.7 ', '&nbsp;']","['    72.1 ', '&nbsp;']","['    63.8 ', 'r']"
2627,r010,Non-innovating companies that considered innovating (number of companies) -> Legislation or regulation that generated excessive burden,Non-innovating companies that considered innovating (number of companies),Legislation or regulation that generated excessive burden,2,"['    51.8 ', '&nbsp;']","['    52.0 ', '&nbsp;']","['    52.3 ', '&nbsp;']","['    45.9 ', '&nbsp;']","['    52.2 ', 'r']"
2627,r011,Non-innovating companies that considered innovating (number of companies) -> Legislation or regulation that created uncertainty,Non-innovating companies that considered innovating (number of companies),Legislation or regulation that created uncertainty,2,"['    52.4 ', '&nbsp;']","['    52.6 ', '&nbsp;']","['    52.3 ', '&nbsp;']","['    49.8 ', '&nbsp;']","['    51.7 ', 'r']"
2627,r012,Non-innovating companies that considered innovating (number of companies) -> Legislation or regulation that lacked consistency across the United States,Non-innovating companies that considered innovating (number of companies),Legislation or regulation that lacked consistency across the United States,2,"['    46.1 ', '&nbsp;']","['    46.4 ', '&nbsp;']","['    45.9 ', '&nbsp;']","['    41.8 ', '&nbsp;']","['    41.3 ', 'r']"
