table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10158,r001,All institutions,All institutions,,1,-,"['3,634,675', '']","['125,602', '']","['650,088', '']","['675,588', '']","['26,827', '']","['99,617', '']","['71,406', '']","['267,305', '']","['44,996', '']","['1,040,110', '']","['633,136', '']"
10158,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['172,209', '']","['26,915', '']","['2,965', '']","['11,868', '']","['9,436', '']","['5,469', '']","['0', '']","['393', '']","['2,675', '']","['109,815', '']","['2,673', '']"
10158,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['99,637', '']","['199', '']","['61,587', '']","['603', '']","['236', '']","['23,830', '']","['95', '']","['1,371', '']","['189', '']","['7,999', '']","['3,528', '']"
10158,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['86,679', '']","['8,261', '']","['1,165', '']","['2,060', '']","['4', '']","['3,338', '']","['158', '']","['3,388', '']","['0', '']","['66,193', '']","['2,112', '']"
10158,r005,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,4,"['80,517', '']","['2,799', '']","['6,523', '']","['9,183', '']","['0', '']","['681', '']","['12,126', '']","['34,166', '']","['0', '']","['5,194', '']","['9,845', '']"
10158,r006,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,5,"['77,775', '']","['5,544', '']","['34,802', '']","['4,731', '']","['0', '']","['4,368', '']","['155', '']","['3,471', '']","['408', '']","['18,933', '']","['5,363', '']"
10158,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['75,853', '']","['1,644', '']","['36,846', '']","['16,642', '']","['48', '']","['54', '']","['563', '']","['1,822', '']","['0', '']","['10,451', '']","['7,783', '']"
10158,r008,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,7,"['74,846', '']","['1,920', '']","['10,485', '']","['12,888', '']","['0', '']","['576', '']","['170', '']","['2,166', '']","['2,893', '']","['27,012', '']","['16,736', '']"
10158,r009,All institutions -> Utah State U.,All institutions,Utah State U.,2,8,"['66,680', '']","['0', '']","['33', '']","['5,492', '']","['29', '']","['0', '']","['262', '']","['1', '']","['0', '']","['60,738', '']","['125', '']"
10158,r010,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,9,"['64,568', '']","['111', '']","['412', '']","['14,113', '']","['8', '']","['4', '']","['44', '']","['2,911', '']","['10,753', '']","['25,360', '']","['10,852', '']"
10158,r011,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,10,"['62,932', '']","['7,831', '']","['2,479', '']","['5,347', '']","['332', '']","['368', '']","['723', '']","['2,082', '']","['0', '']","['41,382', '']","['2,388', '']"
10158,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['54,921', '']","['626', '']","['23,556', '']","['12,259', '']","['235', '']","['956', '']","['253', '']","['2,825', '']","['0', '']","['4,900', '']","['9,311', '']"
10158,r013,All institutions -> Clemson U.,All institutions,Clemson U.,2,12,"['50,249', '']","['685', '']","['0', '']","['8,375', '']","['130', '']","['2,578', '']","['1,137', '']","['3,635', '']","['0', '']","['28,511', '']","['5,198', '']"
10158,r014,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,13,"['49,088', '']","['937', '']","['23,104', '']","['12,482', '']","['38', '']","['387', '']","['4', '']","['479', '']","['607', '']","['6,784', '']","['4,266', '']"
