table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_doctoral_degree_types,field_doctoral_degree,field_professional_degree,field_dual_degree,field_doctoral_degree_type_unknown
3449,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,
3449,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,4.5,6.5,9.2,3.1,9.7
3449,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,26.1,17.7,30.6,8.6,50.1
3449,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,8.4,8.8,6.6,2.8,9.8
3449,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,8.8,8.5,13.9,8.1,8.0
3449,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,7.5,7.6,3.0,6.2,11.0
3449,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents,3,10.3,11.1,14.0,3.3,21.6
3449,r008,Imputation rate (%) -> All postdoctoral appointees -> Foreign nationals with temporary visa,Imputation rate (%),All postdoctoral appointees,Foreign nationals with temporary visa,3,4.6,6.2,4.0,3.0,9.2
3449,r009,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,
3449,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,2986,3276,397,59,963
3449,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,1887,819,253,13,802
3449,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3369,2840,79,33,550
3449,r013,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,310,190,83,11,45
3449,r014,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1154,843,50,27,236
3449,r015,Number imputed<sup>a</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents,Number imputed<sup>a</sup>,All postdoctoral appointees,U.S. citizens and permanent residents,3,3029,2330,347,26,1103
3449,r016,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Foreign nationals with temporary visa,Number imputed<sup>a</sup>,All postdoctoral appointees,Foreign nationals with temporary visa,3,1691,1812,73,34,439
