table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5443,r001,All institutions,All institutions,,1,-,"['25,397,976', '']","['126,088', '']","['51,293', '']","['22,249,750', '']","['65,383', '']","['599,475', '']","['578,882', '']","['404,318', '']","['103,213', '']","['936,241', '']","['283,333', '']"
5443,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['693,055', '']","['3,005', '']","['9,198', '']","['634,323', '']","['24', '']","['4,171', '']","['4,328', '']","['126', '']","['435', '']","['37,283', '']","['162', '']"
5443,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['673,867', '']","['1,957', '']","['2,116', '']","['603,163', '']","['1,613', '']","['13,350', '']","['5,190', '']","['2,535', '']","['0', '']","['25,810', '']","['18,133', '']"
5443,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['624,363', '']","['0', '']","['0', '']","['591,846', '']","['0', '']","['32,517', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5443,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['613,008', '']","['1,820', '']","['26', '']","['507,854', '']","['188', '']","['10,075', '']","['4,599', '']","['66,519', '']","['111', '']","['19,485', '']","['2,331', '']"
5443,r006,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,5,"['592,887', '']","['419', '']","['9', '']","['556,452', '']","['1,312', '']","['8,110', '']","['4,734', '']","['5,640', '']","['0', '']","['14,350', '']","['1,861', '']"
5443,r007,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,6,"['587,352', '']","['2,447', '']","['5,818', '']","['541,348', '']","['1,233', '']","['4,214', '']","['14,307', '']","['1,741', '']","['1,280', '']","['11,272', '']","['3,692', '']"
5443,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['579,119', '']","['294', '']","['1,085', '']","['538,293', '']","['291', '']","['4,982', '']","['3,481', '']","['31', '']","['0', '']","['18,248', '']","['12,414', '']"
5443,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['570,531', '']","['1,601', '']","['0', '']","['510,575', '']","['1,913', '']","['3,612', '']","['5,712', '']","['15,449', '']","['10', '']","['31,154', '']","['505', '']"
5443,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['556,113', '']","['8,065', '']","['220', '']","['491,912', '']","['710', '']","['9,177', '']","['12,398', '']","['14,625', '']","['0', '']","['9,124', '']","['9,882', '']"
5443,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['551,284', '']","['317', '']","['185', '']","['502,177', '']","['1,434', '']","['19,610', '']","['8,601', '']","['146', '']","['0', '']","['18,787', '']","['27', '']"
5443,r012,All institutions -> Yale U.,All institutions,Yale U.,2,11,"['507,423', '']","['82', '']","['0', '']","['486,932', '']","['456', '']","['6,947', '']","['4,611', '']","['180', '']","['0', '']","['7,911', '']","['304', '']"
5443,r013,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,12,"['506,937', '']","['521', '']","['0', '']","['470,418', '']","['46', '']","['8,955', '']","['4,432', '']","['78', '']","['0', '']","['8,156', '']","['14,331', '']"
5443,r014,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,13,"['466,272', '']","['1,596', '']","['0', '']","['427,090', '']","['293', '']","['8,676', '']","['10,485', '']","['4,612', '']","['4,010', '']","['6,658', '']","['2,852', '']"
5443,r015,All institutions -> Harvard U.,All institutions,Harvard U.,2,14,"['452,679', '']","['5,289', '']","['13,978', '']","['367,301', '']","['14,657', '']","['13,921', '']","['1,547', '']","['19,567', '']","['248', '']","['15,615', '']","['556', '']"
5443,r016,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,15,"['449,744', '']","['0', '']","['0', '']","['449,744', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5443,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['442,934', '']","['835', '']","['2,050', '']","['383,230', '']","['0', '']","['15,378', '']","['9,182', '']","['0', '']","['0', '']","['31,791', '']","['468', '']"
5443,r018,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,17,"['428,884', '']","['0', '']","['0', '']","['391,789', '']","['55', '']","['9,683', '']","['5,029', '']","['0', '']","['0', '']","['16,064', '']","['6,264', '']"
5443,r019,All institutions -> Emory U.,All institutions,Emory U.,2,18,"['416,675', '']","['63', '']","['406', '']","['399,944', '']","['698', '']","['3,847', '']","['3,437', '']","['249', '']","['0', '']","['7,237', '']","['794', '']"
5443,r020,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,19,"['402,269', '']","['0', '']","['0', '']","['369,573', '']","['0', '']","['5,917', '']","['1,370', '']","['5,182', '']","['5,780', '']","['13,563', '']","['884', '']"
5443,r021,All institutions -> New York U.,All institutions,New York U.,2,20,"['368,652', '']","['1,031', '']","['0', '']","['333,165', '']","['1,080', '']","['5,194', '']","['19,414', '']","['121', '']","['0', '']","['1,015', '']","['7,632', '']"
5443,r022,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,21,"['364,173', '']","['50', '']","['10', '']","['298,792', '']","['168', '']","['7,057', '']","['5,177', '']","['18,140', '']","['20,857', '']","['13,122', '']","['800', '']"
5443,r023,All institutions -> U. Southern California,All institutions,U. Southern California,2,22,"['348,029', '']","['7,297', '']","['0', '']","['296,397', '']","['105', '']","['2,362', '']","['2,835', '']","['22,471', '']","['0', '']","['10,809', '']","['5,753', '']"
5443,r024,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,23,"['339,488', '']","['1,256', '']","['620', '']","['300,698', '']","['75', '']","['2,184', '']","['5,647', '']","['7,942', '']","['0', '']","['13,703', '']","['7,363', '']"
5443,r025,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,24,"['337,054', '']","['938', '']","['292', '']","['280,247', '']","['681', '']","['5,930', '']","['18,414', '']","['9,901', '']","['84', '']","['15,471', '']","['5,096', '']"
5443,r026,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,25,"['332,215', '']","['385', '']","['0', '']","['320,707', '']","['0', '']","['364', '']","['4,108', '']","['113', '']","['0', '']","['5,407', '']","['1,131', '']"
5443,r027,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,26,"['323,192', '']","['34', '']","['0', '']","['308,215', '']","['67', '']","['1,228', '']","['575', '']","['1,821', '']","['88', '']","['11,092', '']","['72', '']"
5443,r028,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,27,"['319,196', '']","['31', '']","['214', '']","['311,933', '']","['57', '']","['574', '']","['1,455', '']","['47', '']","['0', '']","['2,954', '']","['1,931', '']"
5443,r029,All institutions -> Cornell U.,All institutions,Cornell U.,2,28,"['316,779', '']","['348', '']","['0', '']","['272,494', '']","['44', '']","['23,798', '']","['2,882', '']","['2,555', '']","['0', '']","['14,269', '']","['389', '']"
5443,r030,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,29,"['309,204', '']","['435', '']","['187', '']","['268,071', '']","['327', '']","['12,013', '']","['3,910', '']","['2,432', '']","['4,120', '']","['7,492', '']","['10,217', '']"
5443,r031,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,30,"['304,884', '']","['0', '']","['0', '']","['295,766', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['9,118', '']","['0', '']"
5443,r032,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,31,"['265,696', '']","['1,313', '']","['0', '']","['248,512', '']","['210', '']","['6,148', '']","['4,531', '']","['2,545', '']","['413', '']","['1,592', '']","['432', '']"
