table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_hierarchy_depth,value
1780,r001,All doctorate recipients (number) -> 1998,Totala,,,1,42636
1780,r002,All doctorate recipients (number) -> 1998,Sex,Male,,2,24628
1780,r003,All doctorate recipients (number) -> 1998,Sex,Female,,2,17847
1780,r004,All doctorate recipients (number) -> 1998,Citizenship status,U.S. citizen or permanent resident,,2,31204
1780,r005,All doctorate recipients (number) -> 1998,Citizenship status,Temporary visa holder,,2,9461
1780,r006,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Hispanic or Latino,,2,1332
1780,r007,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,190
1780,r008,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,2728
1780,r009,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1603
1780,r010,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,24284
1780,r011,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,na
1780,r012,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,416
1780,r013,All doctorate recipients (number) -> 1998,U.S. citizens and permanent residents,Ethnicity not reported,,2,651
1780,r014,All doctorate recipients (number) -> 2003,Totala,,,1,40762
1780,r015,All doctorate recipients (number) -> 2003,Sex,Male,,2,22256
1780,r016,All doctorate recipients (number) -> 2003,Sex,Female,,2,18506
1780,r017,All doctorate recipients (number) -> 2003,Citizenship status,U.S. citizen or permanent resident,,2,28170
1780,r018,All doctorate recipients (number) -> 2003,Citizenship status,Temporary visa holder,,2,10597
1780,r019,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Hispanic or Latino,,2,1435
1780,r020,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,136
1780,r021,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,2033
1780,r022,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1723
1780,r023,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,21162
1780,r024,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,363
1780,r025,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,354
1780,r026,All doctorate recipients (number) -> 2003,U.S. citizens and permanent residents,Ethnicity not reported,,2,964
1780,r027,All doctorate recipients (number) -> 2008,Totala,,,1,48776
1780,r028,All doctorate recipients (number) -> 2008,Sex,Male,,2,26271
1780,r029,All doctorate recipients (number) -> 2008,Sex,Female,,2,22494
1780,r030,All doctorate recipients (number) -> 2008,Citizenship status,U.S. citizen or permanent resident,,2,30844
1780,r031,All doctorate recipients (number) -> 2008,Citizenship status,Temporary visa holder,,2,15261
1780,r032,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Hispanic or Latino,,2,1773
1780,r033,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,115
1780,r034,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,2507
1780,r035,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1961
1780,r036,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,22835
1780,r037,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,506
1780,r038,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,343
1780,r039,All doctorate recipients (number) -> 2008,U.S. citizens and permanent residents,Ethnicity not reported,,2,804
1780,r040,All doctorate recipients (number) -> 2013,Totala,,,1,52703
1780,r041,All doctorate recipients (number) -> 2013,Sex,Male,,2,28326
1780,r042,All doctorate recipients (number) -> 2013,Sex,Female,,2,24365
1780,r043,All doctorate recipients (number) -> 2013,Citizenship status,U.S. citizen or permanent resident,,2,33964
1780,r044,All doctorate recipients (number) -> 2013,Citizenship status,Temporary visa holder,,2,15674
1780,r045,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Hispanic or Latino,,2,2135
1780,r046,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,119
1780,r047,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,2892
1780,r048,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,2172
1780,r049,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,24749
1780,r050,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,858
1780,r051,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,279
1780,r052,All doctorate recipients (number) -> 2013,U.S. citizens and permanent residents,Ethnicity not reported,,2,760
1780,r053,All doctorate recipients (number) -> 2018,Totala,,,1,55195
1780,r054,All doctorate recipients (number) -> 2018,Sex,Male,,2,29798
